ID	Mean_GPA	Mean_CD36	Number	Plate	Row	Col	MOLENAME	CAS	Pathways	Target	Receptor	Genesymbol	Target_Group	GROUP	GPA	CD36	LOGFC_GPA	LOGFC_CD36
F058-0423	12.08978149	9.177419538	57	plate1	F	8	F058-0423	F058-0423	Chromatin/Epigenetic	Histone Acetyltransferase	Histone acetyltransferase GCN5	"KAT2A,KAT2B"	Histone acetyltransferase and histone deacetylases	EXP	12.08978149	9.177419538	-0.707218512	-0.482080462
G070-0228	12.11699368	9.209453366	58	plate1	F	9	G070-0228	G070-0228	Chromatin/Epigenetic	Histone Methyltransferase	"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3"	NA	Histone methyltransferase and histone demethylase	EXP	12.11699368	9.209453366	-0.680006322	-0.450046634
T0158	14.89467568	8.784634846	76	plate1	H	7	Mitoxantrone hydrochloride	70476-82-3	DNA Damage/DNA Repair	Topoisomerase inhibitor	Topo II	"TOP2A, TOP2B"	"Topoisomerase(TOP1, 2A,2B)"	EXP	14.89467568	8.784634846	2.097675684	-0.874865154
T1272	14.1204809	9.712527	88	plate2	A	9	Cytarabine	147-94-4	DNA Damage/DNA Repair	DNA/RNA Synthesis inhibitor	DNA synthesis	NA	Others	EXP	14.1204809	9.712527	1.323480898	0.053027
T1521	13.72227389	9.394462695	191	plate3	D	2	Hydroxy Camptothecine	64439-81-2	DNA Damage/DNA Repair	Topoisomerase inhibitor	Topo I	TOP1	"Topoisomerase(TOP1, 2A,2B)"	EXP	13.72227389	9.394462695	0.925273891	-0.265037305
T1523	13.36070994	10.03479896	97	plate2	B	8	Teniposide	29767-20-2	DNA Damage/DNA Repair	Topoisomerase inhibitor	Topo II	"TOP2A, TOP2B"	"Topoisomerase(TOP1, 2A,2B)"	EXP	13.36070994	10.03479896	0.563709939	0.375298963
T1818	12.15006458	8.144658243	138	plate2	F	9	Tenovin-6	1011557-82-6	Chromatin/Epigenetic; DNA Damage/DNA Repair	Sirtuin inhibitor	SIRT1; SIRT2; SIRT3	SIRT1; SIRT2; SIRT3	Histone acetyltransferase and histone deacetylases	EXP	12.15006458	8.144658243	-0.646935421	-1.514841757
T1873	13.30178196	10.16867212	164	plate3	A	5	Tenovin3	1011301-27-1	Chromatin/Epigenetic; DNA Damage/DNA Repair	Sirtuin inhibitor	SIRT2	SIRT2	Histone acetyltransferase and histone deacetylases	EXP	13.30178196	10.16867212	0.504781962	0.509172118
T1959	13.37272905	9.864186145	166	plate3	A	7	BIX 01294 Trihydrochloride	1392399-03-9	Chromatin/Epigenetic	Histone Methyltransferase inhibitor	G9a	EHMT2	Histone methyltransferase and histone demethylase	EXP	13.37272905	9.864186145	0.575729053	0.204686145
T2354	13.3411018	10.00281502	163	plate3	A	4	UNC0631	1320288-19-4	Chromatin/Epigenetic	Histone Methyltransferase inhibitor	G9a	EHMT2	Histone methyltransferase and histone demethylase	EXP	13.3411018	10.00281502	0.544101799	0.343315016
T2649	13.41837972	9.905387005	165	plate3	A	6	MI2	1271738-62-5	Chromatin/Epigenetic	Histone Methyltransferase inhibitor	Menin-MLL	MEN1/KMT2A	Histone methyltransferase and histone demethylase	EXP	13.41837972	9.905387005	0.621379719	0.245887005
T3257	13.59968043	10.03617361	194	plate3	D	5	UNC0638	1255580-76-7	Chromatin/Epigenetic	Histone Methyltransferase inhibitor	G9a/GLP	EHMT2/EHMT1	Histone methyltransferase and histone demethylase	EXP	13.59968043	10.03617361	0.802680431	0.376673613
T3712	13.42836017	9.588714636	231	plate3	H	2	Mivebresib	1445993-26-9	Chromatin/Epigenetic	Epigenetic Reader Domain inhibitor	BET	BRD4	Bromodomain proteins (BRD)	EXP	13.42836017	9.588714636	0.631360173	-0.070785364
T4166	13.36959735	9.881113961	261	plate4	C	2	UNC0642	1481677-78-4	Chromatin/Epigenetic	Histone Methyltransferase inhibitor	G9a/GLP	EHMT2/EHMT1	Histone methyltransferase and histone demethylase	EXP	13.36959735	9.881113961	0.572597346	0.221613961
T4418	10.90237511	6.714245518	286	plate4	E	7	GSK2879552 2HCl (1401966-69-5(free base))	T4418	Chromatin/Epigenetic	Histone Demethylase	LSD1	KDM1A	Histone methyltransferase and histone demethylase	EXP	10.90237511	6.714245518	-1.894624886	-2.945254482
T5434	15.10840194	8.832890014	330	plate5	A	11	ARV-825	1818885-28-7	Chromatin/Epigenetic	Epigenetic Reader Domain	BRD4	BRD4	Bromodomain proteins (BRD)	EXP	15.10840194	8.832890014	2.31140194	-0.826609986
T5442	14.05299251	8.906890596	331	plate5	B	2	A1874	2064292-12-0	Chromatin/Epigenetic;PROTAC	Epigenetic Reader Domain;PROTAC	BRD4;PROTAC	BRD4	Bromodomain proteins (BRD)	EXP	14.05299251	8.906890596	1.25599251	-0.752609404
T5605	13.56854995	9.83447105	327	plate5	A	8	EZM 2302	1628830-21-6	Chromatin/Epigenetic	Histone Methyltransferase	Coactivator Associated Arginine Methyltransferase 1 (CARM1)CARM1	CARM1	Histone methyltransferase and histone demethylase	EXP	13.56854995	9.83447105	0.771549948	0.17497105
