Term	type
PARP1	Red
PARP2	Red
PARP3	Red
JAK1	Yellow
JAK2	Yellow
JAK3	Yellow
TYK2	Yellow
BRD9	Lime Green
CARM1	Lime Green
HDAC11	Lime Green
HDAC2	Lime Green
HDAC8	Lime Green
KDM1A	Lime Green
KDM4A	Lime Green
KDM4E	Lime Green
PLK1	Green
PLK3	Green
TOP1	Green
TOP2A	Green
TOP2B	Green
BAZ2B	Blue
BRD2	Blue
BRD3	Blue
BRD4	Blue
BRD7	Blue
CREBBP	Blue
EED	Blue
EHMT1	Blue
EHMT2	Blue
EP300	Blue
HDAC1	Blue
HDAC10	Blue
HDAC3	Blue
HDAC4	Blue
HDAC5	Blue
HDAC6	Blue
HDAC7	Blue
HDAC9	Blue
KAT2A	Blue
KAT2B	Blue
KMT2A	Blue
MEN1	Blue
NCOR2	Blue
SETD2	Blue
SIRT1	Blue
SIRT2	Blue
SIRT3	Blue
PLK2	Purple
F058-0423	drug
G070-0228	drug
T0158	drug
T1272	drug
T1521	drug
T1523	drug
T1818	drug
T1873	drug
T1959	drug
T2354	drug
T2649	drug
T3257	drug
T3712	drug
T4166	drug
T4418	drug
T5434	drug
T5442	drug
T5605	drug
T5825	drug
T6021	drug
T6073	drug
T6127	drug
T6173	drug
T6228	drug
T6371	drug
T6588	drug
T6628	drug
T6790	drug
T6811	drug
T2512	drug
T6922	drug
T2383	drug
T6055	drug
T6279	drug
T4389	drug
T0431	drug
T7942	drug
8013-0848	drug
G395-0811	drug
G402-0070	drug
G856-1908	drug
T2072	drug
T2110	drug
T2120	drug
T5347	drug
T2315	drug
T2442	drug
T7385	drug
T2S0300	drug
T3458	drug
T3504	drug
T5440	drug
T5618	drug
T6980	drug
T6026	drug
T6032	drug
T7664	drug
T3509	drug
T6783	drug
T7378	drug
Y020-0921	drug
Y031-4527	drug

