ID	MOLENAME	CAS	Genesymbol
F058-0423	F058-0423	F058-0423	KAT2A
F058-0423	F058-0423	F058-0423	KAT2B
T0158	Mitoxantrone hydrochloride	70476-82-3	TOP2A
T0158	Mitoxantrone hydrochloride	70476-82-3	TOP2B
T1521	Hydroxy Camptothecine	64439-81-2	TOP1
T1523	Teniposide	29767-20-2	TOP2A
T1523	Teniposide	29767-20-2	TOP2B
T1818	Tenovin-6	1011557-82-6	SIRT1
T1818	Tenovin-6	1011557-82-6	SIRT2
T1818	Tenovin-6	1011557-82-6	SIRT3
T1873	Tenovin3	1011301-27-1	SIRT2
T1959	BIX 01294 Trihydrochloride	1392399-03-9	EHMT2
T2354	UNC0631	1320288-19-4	EHMT2
T2649	MI2	1271738-62-5	MEN1
T2649	MI2	1271738-62-5	KMT2A
T3257	UNC0638	1255580-76-7	EHMT2
T3257	UNC0638	1255580-76-7	EHMT1
T3712	Mivebresib	1445993-26-9	BRD4
T4166	UNC0642	1481677-78-4	EHMT2
T4166	UNC0642	1481677-78-4	EHMT1
T4418	GSK2879552 2HCl (1401966-69-5(free base))	T4418	KDM1A
T5434	ARV-825	1818885-28-7	BRD4
T5442	A1874	2064292-12-0	BRD4
T5605	EZM 2302	1628830-21-6	CARM1
T5825	ORY-1001(trans)	1431303-72-8	KDM1A
T6021	GSK1324726A	1300031-52-0	BRD2
T6021	GSK1324726A	1300031-52-0	BRD3
T6021	GSK1324726A	1300031-52-0	BRD4
T6073	OG-L002	1357302-64-7	KDM1A
T6127	Rucaparib Phosphate	459868-92-9	PARP1
T6127	Rucaparib Phosphate	459868-92-9	PARP2
T6127	Rucaparib Phosphate	459868-92-9	PARP3
T6173	BI 2536	755038-02-9	BRD4
T6173	BI 2536	755038-02-9	PLK1
T6173	BI 2536	755038-02-9	PLK2
T6173	BI 2536	755038-02-9	PLK3
T6228	Irinotecan	97682-44-5	TOP1
T6371	AGK2	304896-28-4	SIRT2
T6588	Mitoxantrone	65271-80-9	TOP2A
T6588	Mitoxantrone	65271-80-9	TOP2B
T6628	Pirarubicin	72496-41-4	TOP2A
T6628	Pirarubicin	72496-41-4	TOP2B
T6790	BMS911543	1271022-90-2	JAK2
T6790	BMS911543	1271022-90-2	SET2
T6790	BMS911543	1271022-90-2	TYK2
T6790	BMS911543	1271022-90-2	JAK3
T6790	BMS911543	1271022-90-2	JAK1
T6811	CPI637	1884712-47-3	CREBBP
T6811	CPI637	1884712-47-3	EP300
T2512	Mocetinostat	726169-73-9	HDAC1
T2512	Mocetinostat	726169-73-9	HDAC11
T2512	Mocetinostat	726169-73-9	HDAC2
T2512	Mocetinostat	726169-73-9	HDAC3
T6922	ORY1001	1431326-61-2	KDM1A
T2383	Panobinostat	404950-80-7	HDAC1
T2383	Panobinostat	404950-80-7	HDAC2
T2383	Panobinostat	404950-80-7	HDAC3
T2383	Panobinostat	404950-80-7	HDAC4
T2383	Panobinostat	404950-80-7	HDAC5
T2383	Panobinostat	404950-80-7	HDAC6
T2383	Panobinostat	404950-80-7	HDAC7
T2383	Panobinostat	404950-80-7	HDAC8
T2383	Panobinostat	404950-80-7	HDAC9
T2383	Panobinostat	404950-80-7	HDAC10
T2383	Panobinostat	404950-80-7	HDAC11
T6055	Quisinostat	875320-29-9	HDAC1
T6055	Quisinostat	875320-29-9	HDAC10
T6055	Quisinostat	875320-29-9	HDAC11
T6055	Quisinostat	875320-29-9	HDAC2
T6055	Quisinostat	875320-29-9	HDAC3
T6055	Quisinostat	875320-29-9	HDAC4
T6055	Quisinostat	875320-29-9	HDAC5
T6055	Quisinostat	875320-29-9	HDAC8
T6279	Givinostat hydrochloride monohydrate	732302-99-7	HDAC1
T6279	Givinostat hydrochloride monohydrate	732302-99-7	HDAC3
T4389	SR4370	1816294-67-3	HDAC1
T4389	SR4370	1816294-67-3	HDAC2
T4389	SR4370	1816294-67-3	HDAC3
T0431	PCI24781	783355-60-2	HDAC1
T0431	PCI24781	783355-60-2	HDAC10
T0431	PCI24781	783355-60-2	HDAC2
T0431	PCI24781	783355-60-2	HDAC3
T0431	PCI24781	783355-60-2	NCOR2
T0431	PCI24781	783355-60-2	HDAC6
T7942	Tranylcypromine (hemisulfate)	13492-01-8	KDM1A
8013-0848	8013-0848	8013-0848	KDM4E
G395-0811	G395-0811	G395-0811	KAT2A
G395-0811	G395-0811	G395-0811	KAT2B
G402-0070	G402-0070	G402-0070	BAZ2B
G856-1908	G856-1908	G856-1908	BAZ2B
T2072	BET bromodomain inhibitor	1505453-59-7	BRD2
T2072	BET bromodomain inhibitor	1505453-59-7	BRD3
T2072	BET bromodomain inhibitor	1505453-59-7	BRD4
T2110	(+)-JQ-1	1268524-70-4	BRD4
T2120	I-BET151	1300031-49-5	BRD2
T2120	I-BET151	1300031-49-5	BRD3
T2120	I-BET151	1300031-49-5	BRD4
T5347	CXD-101	934828-12-3	HDAC1
T5347	CXD-101	934828-12-3	HDAC3
T5347	CXD-101	934828-12-3	HDAC2
T2315	GSK-LSD1 dihydrochloride	1431368-48-7	KDM1A
T2442	CPI203	202591-23-9	BRD4
T7385	WT-161	1206731-57-8	HDAC6
T2S0300	Hydrocoumarin	119-84-6	SIRT1
T2S0300	Hydrocoumarin	119-84-6	SIRT2
T3458	EED226	2083627-02-3	EED
T3504	AZD5153 6-Hydroxy-2-naphthoic acid	1869912-40-2	BRD4
T5440	Dbet57	1883863-52-2	BRD4
T5618	AK-1	330461-64-8	SIRT2
T6980	Scriptaid	287383-59-9	HDAC1
T6980	Scriptaid	287383-59-9	HDAC2
T6980	Scriptaid	287383-59-9	HDAC3
T6026	CPI203	1446144-04-2	BRD4
T6032	Birabresib	202590-98-5	BRD2
T6032	Birabresib	202590-98-5	BRD3
T6032	Birabresib	202590-98-5	BRD4
T7664	Pyroxamide	382180-17-8	HDAC1
T3509	ACY738	1375465-91-0	HDAC6
T6783	BI7273	1883429-21-7	BRD7
T6783	BI7273	1883429-21-7	BRD9
T7378	BRD9539	1374601-41-8	EHMT2
Y020-0921	Y020-0921	Y020-0921	KDM4E
Y031-4527	Y031-4527	Y031-4527	KDM4A
