Term	type
T0158	drug
T0158	drug
T1521	drug
T1523	drug
T1523	drug
T1873	drug
T1959	drug
T2354	drug
T2649	drug
T2649	drug
T3257	drug
T3257	drug
T3712	drug
T4166	drug
T4166	drug
T5434	drug
T5442	drug
T5605	drug
T6021	drug
T6021	drug
T6021	drug
T6173	drug
T6173	drug
T6173	drug
T6173	drug
T6228	drug
T6371	drug
T6588	drug
T6588	drug
T6628	drug
T6628	drug
T1818	drug
T1818	drug
T1818	drug
T4418	drug
T5825	drug
T6073	drug
T6811	drug
T6811	drug
T6922	drug
T2383	drug
T2383	drug
T2383	drug
T2383	drug
T2383	drug
T2383	drug
T2383	drug
T2383	drug
T2383	drug
T2383	drug
T2383	drug
T6055	drug
T6055	drug
T6055	drug
T6055	drug
T6055	drug
T6055	drug
T6055	drug
T6055	drug
T6279	drug
T6279	drug
T4389	drug
T4389	drug
T4389	drug
T0431	drug
T0431	drug
T0431	drug
T0431	drug
T0431	drug
T0431	drug
T7942	drug
TOP2A	gene
TOP2B	gene
TOP1	gene
TOP2B	gene
TOP2A	gene
SIRT2	gene
EHMT2	gene
EHMT2	gene
MEN1	gene
KMT2A	gene
EHMT2	gene
EHMT1	gene
BRD4	gene
EHMT2	gene
EHMT1	gene
BRD4	gene
BRD4	gene
CARM1	gene
BRD2	gene
BRD3	gene
BRD4	gene
BRD4	gene
PLK1	gene
PLK2	gene
PLK3	gene
TOP1	gene
SIRT2	gene
TOP2A	gene
TOP2B	gene
TOP2A	gene
TOP2B	gene
SIRT1	gene
SIRT2	gene
SIRT3	gene
KDM1A	gene
KDM1A	gene
KDM1A	gene
CREBBP	gene
EP300	gene
KDM1A	gene
HDAC1	gene
HDAC2	gene
HDAC3	gene
HDAC4	gene
HDAC5	gene
HDAC6	gene
HDAC7	gene
HDAC8	gene
HDAC9	gene
HDAC10	gene
HDAC11	gene
HDAC1	gene
HDAC10	gene
HDAC11	gene
HDAC2	gene
HDAC3	gene
HDAC4	gene
HDAC5	gene
HDAC8	gene
HDAC1	gene
HDAC3	gene
HDAC1	gene
HDAC2	gene
HDAC3	gene
HDAC1	gene
HDAC10	gene
HDAC2	gene
HDAC3	gene
NCOR2	gene
HDAC6	gene
KDM1A	gene
