ID	Mean_GPA	Mean_CD36	Number	Plate	Row	Col	MOLENAME	CAS	Pathways	Target	Receptor	Genesymbol	Target_Group	GROUP	GPA	CD36	LOGFC_GPA	LOGFC_CD36
T0158	14.89467568	8.784634846	76	plate1	H	7	Mitoxantrone hydrochloride	70476-82-3	DNA Damage/DNA Repair	Topoisomerase inhibitor	Topo II	TOP2A, TOP2B	Topoisomerase(TOP1, 2A,2B)	EXP	14.89467568	8.784634846	2.097675684	-0.874865154
T1272	14.1204809	9.712527	88	plate2	A	9	Cytarabine	147-94-4	DNA Damage/DNA Repair	DNA/RNA Synthesis inhibitor	DNA synthesis	NA	Others	EXP	14.1204809	9.712527	1.323480898	0.053027
T1521	13.72227389	9.394462695	191	plate3	D	2	Hydroxy Camptothecine	64439-81-2	DNA Damage/DNA Repair	Topoisomerase inhibitor	Topo I	TOP1	Topoisomerase(TOP1, 2A,2B)	EXP	13.72227389	9.394462695	0.925273891	-0.265037305
T1523	13.36070994	10.03479896	97	plate2	B	8	Teniposide	29767-20-2	DNA Damage/DNA Repair	Topoisomerase inhibitor	Topo II	TOP2A, TOP2B	Topoisomerase(TOP1, 2A,2B)	EXP	13.36070994	10.03479896	0.563709939	0.375298963
T1873	13.30178196	10.16867212	164	plate3	A	5	Tenovin3	1011301-27-1	Chromatin/Epigenetic; DNA Damage/DNA Repair	Sirtuin inhibitor	SIRT2	SIRT2	Histone acetyltransferase and histone deacetylases	EXP	13.30178196	10.16867212	0.504781962	0.509172118
T1959	13.37272905	9.864186145	166	plate3	A	7	BIX 01294 Trihydrochloride	1392399-03-9	Chromatin/Epigenetic	Histone Methyltransferase inhibitor	G9a	EHMT2	Histone methyltransferase and histone demethylase	EXP	13.37272905	9.864186145	0.575729053	0.204686145
T2354	13.3411018	10.00281502	163	plate3	A	4	UNC0631	1320288-19-4	Chromatin/Epigenetic	Histone Methyltransferase inhibitor	G9a	EHMT2	Histone methyltransferase and histone demethylase	EXP	13.3411018	10.00281502	0.544101799	0.343315016
T2649	13.41837972	9.905387005	165	plate3	A	6	MI2	1271738-62-5	Chromatin/Epigenetic	Histone Methyltransferase inhibitor	Menin-MLL	MEN1/KMT2A	Histone methyltransferase and histone demethylase	EXP	13.41837972	9.905387005	0.621379719	0.245887005
T3257	13.59968043	10.03617361	194	plate3	D	5	UNC0638	1255580-76-7	Chromatin/Epigenetic	Histone Methyltransferase inhibitor	G9a/GLP	EHMT2/EHMT1	Histone methyltransferase and histone demethylase	EXP	13.59968043	10.03617361	0.802680431	0.376673613
T3712	13.42836017	9.588714636	231	plate3	H	2	Mivebresib	1445993-26-9	Chromatin/Epigenetic	Epigenetic Reader Domain inhibitor	BET	BRD4	Bromodomain proteins (BRD)	EXP	13.42836017	9.588714636	0.631360173	-0.070785364
T4166	13.36959735	9.881113961	261	plate4	C	2	UNC0642	1481677-78-4	Chromatin/Epigenetic	Histone Methyltransferase inhibitor	G9a/GLP	EHMT2/EHMT1	Histone methyltransferase and histone demethylase	EXP	13.36959735	9.881113961	0.572597346	0.221613961
T5434	15.10840194	8.832890014	330	plate5	A	11	ARV-825	1818885-28-7	Chromatin/Epigenetic	Epigenetic Reader Domain	BRD4	BRD4	Bromodomain proteins (BRD)	EXP	15.10840194	8.832890014	2.31140194	-0.826609986
T5442	14.05299251	8.906890596	331	plate5	B	2	A1874	2064292-12-0	Chromatin/Epigenetic;PROTAC	Epigenetic Reader Domain;PROTAC	BRD4;PROTAC	BRD4	Bromodomain proteins (BRD)	EXP	14.05299251	8.906890596	1.25599251	-0.752609404
T5605	13.56854995	9.83447105	327	plate5	A	8	EZM 2302	1628830-21-6	Chromatin/Epigenetic	Histone Methyltransferase	Coactivator Associated Arginine Methyltransferase 1 (CARM1)CARM1	CARM1	Histone methyltransferase and histone demethylase	EXP	13.56854995	9.83447105	0.771549948	0.17497105
T6021	13.31047078	9.038918989	179	plate3	B	10	GSK1324726A	1300031-52-0	Chromatin/Epigenetic	Epigenetic Reader Domain inhibitor	BRD2; BRD3; BRD4	BRD2; BRD3; BRD4	Bromodomain proteins (BRD)	EXP	13.31047078	9.038918989	0.513470777	-0.620581011
T6173	13.8837888	9.37286506	130	plate2	E	11	BI 2536	755038-02-9	Cell Cycle/Checkpoint; Chromatin/Epigenetic	Epigenetic Reader Domain; PLK	BRD4; PLK1; PLK2; PLK3	BRD4; PLK1; PLK2; PLK3	Bromodomain proteins (BRD)	EXP	13.8837888	9.37286506	1.086788803	-0.28663494
T6228	13.34332454	9.804131021	129	plate2	E	10	Irinotecan	97682-44-5	DNA Damage/DNA Repair	Topoisomerase inhibitor	Topo I	TOP1	Topoisomerase(TOP1, 2A,2B)	EXP	13.34332454	9.804131021	0.546324536	0.144631021
T6371	14.3662539	9.642051693	265	plate4	C	6	AGK2	304896-28-4	Chromatin/Epigenetic; DNA Damage/DNA Repair	Sirtuin inhibitor	SIRT2	SIRT2	Histone acetyltransferase and histone deacetylases	EXP	14.3662539	9.642051693	1.569253903	-0.017448307
T6588	14.20212382	9.567956075	256	plate4	B	7	Mitoxantrone	65271-80-9	DNA Damage/DNA Repair;Cytoskeletal Signaling	Topoisomerase inhibitor;PKC	Topo II;PKC	TOP2A, TOP2B	Topoisomerase(TOP1, 2A,2B)	EXP	14.20212382	9.567956075	1.405123824	-0.091543925
T6628	14.68068917	9.603626345	241	plate4	A	2	Pirarubicin	72496-41-4	DNA Damage/DNA Repair	Topoisomerase inhibitor	Topo II	TOP2A, TOP2B	Topoisomerase(TOP1, 2A,2B)	EXP	14.68068917	9.603626345	1.883689169	-0.055873655
T1818	12.15006458	8.144658243	138	plate2	F	9	Tenovin-6	1011557-82-6	Chromatin/Epigenetic; DNA Damage/DNA Repair	Sirtuin inhibitor	SIRT1; SIRT2; SIRT3	SIRT1; SIRT2; SIRT3	Histone acetyltransferase and histone deacetylases	EXP	12.15006458	8.144658243	-0.646935421	-1.514841757
T4418	10.90237511	6.714245518	286	plate4	E	7	GSK2879552 2HCl (1401966-69-5(free base))	T4418	Chromatin/Epigenetic	Histone Demethylase	LSD1	KDM1A	Histone methyltransferase and histone demethylase	EXP	10.90237511	6.714245518	-1.894624886	-2.945254482
T5825	11.46096776	7.21916852	344	plate5	C	5	ORY-1001(trans)	1431303-72-8	Chromatin/Epigenetic	Histone Demethylase	LSD1/KDM1A	KDM1A	Histone methyltransferase and histone demethylase	EXP	11.46096776	7.21916852	-1.336032237	-2.44033148
T6073	11.85408918	7.727920455	250	plate4	A	11	OG-L002	1357302-64-7	Chromatin/Epigenetic	Histone Demethylase inhibitor	LSD1	KDM1A	Histone methyltransferase and histone demethylase	EXP	11.85408918	7.727920455	-0.94291082	-1.931579545
T6811	12.04814625	9.005624549	237	plate3	H	8	CPI637	1884712-47-3	Chromatin/Epigenetic	Epigenetic Reader Domain inhibitor	CBP; EP300;BRD4	CREBBP, EP300	Histone acetyltransferase and histone deacetylases	EXP	12.04814625	9.005624549	-0.748853746	-0.653875451
T6922	11.03066714	6.411087227	229	plate3	G	10	ORY1001	1431326-61-2	Chromatin/Epigenetic	Histone Demethylase inhibitor	LSD1/KDM1A	KDM1A	Histone methyltransferase and histone demethylase	EXP	11.03066714	6.411087227	-1.766332864	-3.248412773
T2383	12.08015131	7.77478706	107	plate2	C	8	Panobinostat	404950-80-7	Chromatin/Epigenetic; DNA Damage/DNA Repair	HDAC	HDAC	HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HDAC10,HDAC11	Histone acetyltransferase and histone deacetylases	EXP	12.08015131	7.77478706	-0.71684869	-1.88471294
T6055	12.03239017	8.312882955	243	plate4	A	4	Quisinostat	875320-29-9	Chromatin/Epigenetic; DNA Damage/DNA Repair; NF-扛b	HDAC inhibitor	HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC8	HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC8	Histone acetyltransferase and histone deacetylases	EXP	12.03239017	8.312882955	-0.764609831	-1.346617045
T6279	11.84627391	8.754887502	269	plate4	C	10	Givinostat hydrochloride monohydrate	732302-99-7	Chromatin/Epigenetic; DNA Damage/DNA Repair; NF-扛b	HDAC inhibitor	HDAC （HD1-A; HD1-B; HD2为植物基因）	HDAC1,HDAC3	Histone acetyltransferase and histone deacetylases	EXP	11.84627391	8.754887502	-0.950726089	-0.904612498
T4389	11.20579325	7.622051819	282	plate4	E	3	SR4370	1816294-67-3	Chromatin/Epigenetic;DNA Damage/DNA Repair	HDAC inhibitor	HDAC1; HDAC2; HDAC3	HDAC1; HDAC2; HDAC3	Histone acetyltransferase and histone deacetylases	EXP	11.20579325	7.622051819	-1.591206751	-2.037448181
T0431	10.67860014	7.781359714	120	plate2	D	11	PCI24781	783355-60-2	Chromatin/Epigenetic; DNA Damage/DNA Repair; NF-扛b	HDAC inhibitor	HDAC1; HDAC10; HDAC2; HDAC3/SMRT; HDAC6	HDAC1; HDAC10; HDAC2; HDAC3/NCOR2; HDAC6	Histone acetyltransferase and histone deacetylases	EXP	10.67860014	7.781359714	-2.118399861	-1.878140286
T7942	12.25709314	8.527477006	350	plate5	C	11	Tranylcypromine (hemisulfate)	13492-01-8	Metabolism;Chromatin/Epigenetic	MAO;Histone Demethylase	MAO;LSD1	KDM1A	Histone methyltransferase and histone demethylase	EXP	12.25709314	8.527477006	-0.539906856	-1.132022994
