ID	MOLENAME	CAS	Genesymbol
T0158	Mitoxantrone hydrochloride	70476-82-3	TOP2A
T0158	Mitoxantrone hydrochloride	70476-82-3	TOP2B
T1521	Hydroxy Camptothecine	64439-81-2	TOP1
T1523	Teniposide	29767-20-2	TOP2B
T1523	Teniposide	29767-20-2	TOP2A
T1873	Tenovin3	1011301-27-1	SIRT2
T1959	BIX 01294 Trihydrochloride	1392399-03-9	EHMT2
T2354	UNC0631	1320288-19-4	EHMT2
T2649	MI2	1271738-62-5	MEN1
T2649	MI2	1271738-62-5	KMT2A
T3257	UNC0638	1255580-76-7	EHMT2
T3257	UNC0638	1255580-76-7	EHMT1
T3712	Mivebresib	1445993-26-9	BRD4
T4166	UNC0642	1481677-78-4	EHMT2
T4166	UNC0642	1481677-78-4	EHMT1
T5434	ARV-825	1818885-28-7	BRD4
T5442	A1874	2064292-12-0	BRD4
T5605	EZM 2302	1628830-21-6	CARM1
T6021	GSK1324726A	1300031-52-0	BRD2
T6021	GSK1324726A	1300031-52-0	BRD3
T6021	GSK1324726A	1300031-52-0	BRD4
T6173	BI 2536	755038-02-9	BRD4
T6173	BI 2536	755038-02-9	PLK1
T6173	BI 2536	755038-02-9	PLK2
T6173	BI 2536	755038-02-9	PLK3
T6228	Irinotecan	97682-44-5	TOP1
T6371	AGK2	304896-28-4	SIRT2
T6588	Mitoxantrone	65271-80-9	TOP2A
T6588	Mitoxantrone	65271-80-9	TOP2B
T6628	Pirarubicin	72496-41-4	TOP2A
T6628	Pirarubicin	72496-41-4	TOP2B
T1818	Tenovin-6	1011557-82-6	SIRT1
T1818	Tenovin-6	1011557-82-6	SIRT2
T1818	Tenovin-6	1011557-82-6	SIRT3
T4418	GSK2879552 2HCl (1401966-69-5(free base))	T4418	KDM1A
T5825	ORY-1001(trans)	1431303-72-8	KDM1A
T6073	OG-L002	1357302-64-7	KDM1A
T6811	CPI637	1884712-47-3	CREBBP
T6811	CPI637	1884712-47-3	EP300
T6922	ORY1001	1431326-61-2	KDM1A
T2383	Panobinostat	404950-80-7	HDAC1
T2383	Panobinostat	404950-80-7	HDAC2
T2383	Panobinostat	404950-80-7	HDAC3
T2383	Panobinostat	404950-80-7	HDAC4
T2383	Panobinostat	404950-80-7	HDAC5
T2383	Panobinostat	404950-80-7	HDAC6
T2383	Panobinostat	404950-80-7	HDAC7
T2383	Panobinostat	404950-80-7	HDAC8
T2383	Panobinostat	404950-80-7	HDAC9
T2383	Panobinostat	404950-80-7	HDAC10
T2383	Panobinostat	404950-80-7	HDAC11
T6055	Quisinostat	875320-29-9	HDAC1
T6055	Quisinostat	875320-29-9	HDAC10
T6055	Quisinostat	875320-29-9	HDAC11
T6055	Quisinostat	875320-29-9	HDAC2
T6055	Quisinostat	875320-29-9	HDAC3
T6055	Quisinostat	875320-29-9	HDAC4
T6055	Quisinostat	875320-29-9	HDAC5
T6055	Quisinostat	875320-29-9	HDAC8
T6279	Givinostat hydrochloride monohydrate	732302-99-7	HDAC1
T6279	Givinostat hydrochloride monohydrate	732302-99-7	HDAC3
T4389	SR4370	1816294-67-3	HDAC1
T4389	SR4370	1816294-67-3	HDAC2
T4389	SR4370	1816294-67-3	HDAC3
T0431	PCI24781	783355-60-2	HDAC1
T0431	PCI24781	783355-60-2	HDAC10
T0431	PCI24781	783355-60-2	HDAC2
T0431	PCI24781	783355-60-2	HDAC3
T0431	PCI24781	783355-60-2	NCOR2
T0431	PCI24781	783355-60-2	HDAC6
T7942	Tranylcypromine (hemisulfate)	13492-01-8	KDM1A
