ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05203	Viral carcinogenesis	15/33	204/8642	1.67908249227849e-16	8.73122895984817e-15	3.88840156106599e-15	8850/2648/9734/55869/51564/10013/10014/9759/8841/3066/79885/83933/3065/1387/2033	15
hsa05034	Alcoholism	11/33	188/8642	4.91765219041689e-11	1.01215206341225e-09	4.50755979657279e-10	9734/55869/51564/10013/10014/9759/8841/3066/79885/83933/3065	11
hsa04613	Neutrophil extracellular trap formation	11/33	191/8642	5.83933882737838e-11	1.01215206341225e-09	4.50755979657279e-10	9734/55869/51564/10013/10014/9759/8841/3066/79885/83933/3065	11
hsa04330	Notch signaling pathway	7/33	62/8642	2.5497056475956e-09	3.31461734187428e-08	1.47614537492377e-08	9612/8850/2648/3066/3065/1387/2033	7
hsa04919	Thyroid hormone signaling pathway	7/33	121/8642	2.7994531840057e-07	2.91143131136593e-06	1.29658884311843e-06	8850/2648/8841/3066/3065/1387/2033	7
hsa04068	FoxO signaling pathway	6/33	131/8642	8.56166686008975e-06	7.42011127874445e-05	3.30450299863113e-05	23411/1387/1263/10769/5347/2033	6
hsa03083	Polycomb repressive complex	5/33	84/8642	1.47453220197498e-05	0.000109536677860999	4.87815164563153e-05	3066/3065/8726/1387/2033	5
hsa04110	Cell cycle	6/33	157/8642	2.4115906782351e-05	0.000156753394085282	6.98092038436477e-05	55869/3066/3065/1387/5347/2033	6
hsa03082	ATP-dependent chromatin remodeling	5/33	117/8642	7.31801978534562e-05	0.00042281892093108	0.000188299924301291	3066/3065/29117/29994/65980	5
hsa03250	Viral life cycle - HIV-1	4/33	63/8642	8.95605912261828e-05	0.00046571507437615	0.000207403474418529	8850/2648/1387/2033	4
hsa05206	MicroRNAs in cancer	7/33	310/8642	0.000136479767147961	0.000645177081063087	0.000287325825574654	23411/10014/9759/3066/3065/1387/2033	7
hsa00760	Nicotinate and nicotinamide metabolism	3/33	37/8642	0.000360827679572234	0.00156358661147968	0.000696334118472733	22933/23411/23410	3
hsa04350	TGF-beta signaling pathway	4/33	108/8642	0.00071405529257486	0.00285622117029944	0.00127200133090258	3066/3065/1387/2033	4
hsa04213	Longevity regulating pathway - multiple species	3/33	61/8642	0.00157030629710048	0.00583256624637322	0.00259749913806095	23411/3066/3065	3
hsa00310	Lysine degradation	3/33	63/8642	0.00172369189350663	0.00597546523082297	0.00266113836190497	4297/10919/79813	3
hsa05031	Amphetamine addiction	3/33	69/8642	0.00223909095263394	0.0072770455960603	0.00324078953670702	23411/3066/3065	3
hsa04211	Longevity regulating pathway	3/33	89/8642	0.00460818133688709	0.0140956135010664	0.00627739872517127	23411/10919/79813	3
hsa05202	Transcriptional misregulation in cancer	4/33	193/8642	0.00594482396266009	0.0171739358921291	0.00764831153090772	4221/4297/3066/3065	4
hsa04922	Glucagon signaling pathway	3/33	107/8642	0.00768780816403788	0.0210403170805247	0.00937018169578025	23411/1387/2033	3
hsa05166	Human T-cell leukemia virus 1 infection	4/33	222/8642	0.00966980158012051	0.0251414841083133	0.011196612355929	8850/2648/1387/2033	4
hsa04720	Long-term potentiation	2/33	67/8642	0.0267881614138731	0.0612948951086136	0.0272973217082895	1387/2033	2
hsa05016	Huntington disease	4/33	306/8642	0.028106044118977	0.0612948951086136	0.0272973217082895	3066/3065/1387/2033	4
hsa04310	Wnt signaling pathway	3/33	174/8642	0.0281277658296256	0.0612948951086136	0.0272973217082895	23411/1387/2033	3
hsa05211	Renal cell carcinoma	2/33	69/8642	0.0282899515885909	0.0612948951086136	0.0272973217082895	1387/2033	2
hsa05152	Tuberculosis	3/33	180/8642	0.0306813924278541	0.0627859526335813	0.0279613554238621	1387/1263/2033	3
hsa01524	Platinum drug resistance	2/33	73/8642	0.0313929763167907	0.0627859526335813	0.0279613554238621	7153/7155	2
hsa05220	Chronic myeloid leukemia	2/33	76/8642	0.0338050601705718	0.0651060418099901	0.0289945935186191	3066/3065	2
hsa05165	Human papillomavirus infection	4/33	331/8642	0.0360561802870661	0.0669614776759799	0.0298209009893028	3066/3065/1387/2033	4
hsa05169	Epstein-Barr virus infection	3/33	202/8642	0.0410625638567801	0.0736294248466402	0.0327904321179369	9612/3066/3065	3
hsa04520	Adherens junction	2/33	93/8642	0.0487551562073204	0.0845089374260221	0.0376355591775807	1387/2033	2
hsa05215	Prostate cancer	2/33	97/8642	0.0525677006750689	0.0881780785517285	0.0392695896384216	1387/2033	2
hsa04916	Melanogenesis	2/33	101/8642	0.0564842761164251	0.0917869486891908	0.0408767787684655	1387/2033	2
hsa04066	HIF-1 signaling pathway	2/33	109/8642	0.0646143081157777	0.101816485515771	0.0453433741163352	1387/2033	2
hsa04935	Growth hormone synthesis, secretion and action	2/33	120/8642	0.0763936208610461	0.116837302493365	0.0520328067784215	1387/2033	2
hsa04371	Apelin signaling pathway	2/33	139/8642	0.098183057286014	0.145871970824935	0.0649632258734529	10014/9759	2
hsa04934	Cushing syndrome	2/33	155/8642	0.117736251078169	0.170063473779577	0.0757367696994069	4221/4297	2
hsa05161	Hepatitis B	2/33	162/8642	0.126585076647111	0.177903350963507	0.0792282129796994	1387/2033	2
hsa04630	JAK-STAT signaling pathway	2/33	166/8642	0.131713470806778	0.180239486367169	0.0802685971675654	1387/2033	2
hsa05164	Influenza A	2/33	171/8642	0.138192608856822	0.184256811809097	0.0820576894696382	1387/2033	2
hsa05167	Kaposi sarcoma-associated herpesvirus infection	2/33	194/8642	0.168846551450023	0.21950051688503	0.0977532666289608	1387/2033	2
hsa04024	cAMP signaling pathway	2/33	225/8642	0.211795611306313	0.268618824095811	0.119627816398944	1387/2033	2
hsa05230	Central carbon metabolism in cancer	1/33	70/8642	0.235771049674749	0.291907013883023	0.129999075008634	23410	1
hsa04914	Progesterone-mediated oocyte maturation	1/33	102/8642	0.324661718383673	0.389847759113411	0.173616410941195	5347	1
hsa04625	C-type lectin receptor signaling pathway	1/33	104/8642	0.329871180788271	0.389847759113411	0.173616410941195	1263	1
hsa04152	AMPK signaling pathway	1/33	121/8642	0.37260613681372	0.430567091429187	0.191750526547411	23411	1
hsa04114	Oocyte meiosis	1/33	131/8642	0.396497048141508	0.448214054420835	0.19960949792021	5347	1
hsa04936	Alcoholic liver disease	1/33	142/8642	0.421758171223705	0.466626061779419	0.207809177310672	23411	1
hsa04148	Efferocytosis	1/33	156/8642	0.452429250581504	0.480129000617106	0.213822631853772	23411	1
hsa04218	Cellular senescence	1/33	156/8642	0.452429250581504	0.480129000617106	0.213822631853772	23411	1
hsa05225	Hepatocellular carcinoma	1/33	168/8642	0.477458075153694	0.496556398159842	0.22113847691329	29117	1
hsa04714	Thermogenesis	1/33	232/8642	0.593310110452689	0.604943642030192	0.269408099689559	23028	1
hsa05014	Amyotrophic lateral sclerosis	1/33	364/8642	0.758954777022918	0.758954777022918	0.337996054544619	10013	1
