ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-350054	Notch-HLH transcription pathway	15/35	28/10955	3.9972226160912e-32	9.75322318326252e-30	4.29175480885581e-30	NCOR2/KAT2B/KAT2A/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/CREBBP	15
R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	16/35	48/10955	4.27022899130665e-30	5.20967936939411e-28	2.29243872164883e-28	NCOR2/KAT2B/KAT2A/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/CREBBP/EP300	16
R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	16/35	58/10955	1.48963937045547e-28	5.19245723415908e-27	2.28486038776629e-27	NCOR2/KAT2B/KAT2A/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/CREBBP/EP300	16
R-HSA-2644603	Signaling by NOTCH1 in Cancer	16/35	58/10955	1.48963937045547e-28	5.19245723415908e-27	2.28486038776629e-27	NCOR2/KAT2B/KAT2A/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/CREBBP/EP300	16
R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	16/35	58/10955	1.48963937045547e-28	5.19245723415908e-27	2.28486038776629e-27	NCOR2/KAT2B/KAT2A/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/CREBBP/EP300	16
R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	16/35	58/10955	1.48963937045547e-28	5.19245723415908e-27	2.28486038776629e-27	NCOR2/KAT2B/KAT2A/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/CREBBP/EP300	16
R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	16/35	58/10955	1.48963937045547e-28	5.19245723415908e-27	2.28486038776629e-27	NCOR2/KAT2B/KAT2A/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/CREBBP/EP300	16
R-HSA-1980143	Signaling by NOTCH1	16/35	74/10955	1.22054129058782e-26	3.72265093629285e-25	1.63809488999944e-25	NCOR2/KAT2B/KAT2A/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/CREBBP/EP300	16
R-HSA-157118	Signaling by NOTCH	16/35	235/10955	3.41008067714422e-18	9.24510761359099e-17	4.06816642185626e-17	NCOR2/KAT2B/KAT2A/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/CREBBP/EP300	16
R-HSA-3247509	Chromatin modifying enzymes	16/35	272/10955	3.57637716764513e-17	7.93305480823103e-16	3.49081790526128e-16	NCOR2/KMT2A/KDM4A/KDM1A/KAT2B/KAT2A/HDAC8/HDAC3/HDAC2/HDAC10/HDAC1/EHMT2/EHMT1/EED/CREBBP/EP300	16
R-HSA-4839726	Chromatin organization	16/35	272/10955	3.57637716764513e-17	7.93305480823103e-16	3.49081790526128e-16	NCOR2/KMT2A/KDM4A/KDM1A/KAT2B/KAT2A/HDAC8/HDAC3/HDAC2/HDAC10/HDAC1/EHMT2/EHMT1/EED/CREBBP/EP300	16
R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	16/35	433/10955	5.49666605213792e-14	1.11765543060138e-12	4.91806962559709e-13	NCOR2/KAT2B/KAT2A/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/CREBBP/EP300	16
