ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0016570	histone modification	25/40	475/18614	2.24E-30	3.36E-27	1.82E-27	SIRT2/SIRT1/MEN1/KMT2A/KDM4E/KDM4A/KDM1A/KAT2B/KAT2A/HDAC9/HDAC8/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/EHMT2/EHMT1/EED/CREBBP/SIRT3/EP300	25
BP	GO:0006338	chromatin remodeling	20/40	402/18614	2.83E-23	8.49E-21	4.59E-21	TOP1/SIRT2/SIRT1/KMT2A/KDM4E/KDM4A/KDM1A/KAT2B/KAT2A/HDAC5/HDAC4/HDAC2/HDAC1/EHMT1/BRDT/BRD7/BRD2/BAZ2B/EP300/BRD9	20
BP	GO:0016575	histone deacetylation	14/40	94/18614	5.32E-23	1.33E-20	7.21E-21	SIRT2/SIRT1/KAT2B/KAT2A/HDAC9/HDAC8/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1	14
BP	GO:0040029	epigenetic regulation of gene expression	12/40	188/18614	3.45E-15	6.48E-13	3.51E-13	SIRT2/SIRT1/KMT2A/KDM1A/KAT2B/HDAC6/HDAC5/HDAC4/HDAC1/EHMT1/BRD7/EP300	12
BP	GO:0060765	regulation of androgen receptor signaling pathway	6/40	28/18614	2.42E-11	3.63E-09	1.97E-09	SIRT1/NCOR2/KDM1A/HDAC6/HDAC1/EP300	6
BP	GO:0070828	heterochromatin organization	7/40	105/18614	2.37E-09	2.55E-07	1.38E-07	SIRT2/SIRT1/KDM1A/HDAC5/HDAC2/HDAC1/EHMT1	7
BP	GO:0007059	chromosome segregation	10/40	435/18614	1.98E-08	1.65E-06	8.96E-07	TOP2A/TOP1/SIRT2/KAT2B/HDAC8/HDAC3/EHMT2/BRD7/TOP2B/PLK1	10
BP	GO:0051570	regulation of histone H3-K9 methylation	4/40	15/18614	2.45E-08	1.94E-06	1.05E-06	SIRT1/KDM1A/EHMT2/EHMT1	4
BP	GO:0140718	facultative heterochromatin formation	5/40	45/18614	4.06E-08	3.04E-06	1.65E-06	SIRT2/SIRT1/KDM1A/HDAC1/EHMT1	5
BP	GO:0034968	histone lysine methylation	6/40	104/18614	8.65E-08	5.65E-06	3.06E-06	SIRT1/MEN1/KMT2A/KDM1A/EHMT2/EHMT1	6
CC	GO:0000118	histone deacetylase complex	10/40	79/19518	5.03E-16	5.58E-14	3.12E-14	HDAC9/HDAC8/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1	10
CC	GO:0098687	chromosomal region	9/40	390/19518	7.32E-08	4.06E-06	2.27E-06	TOP2A/SIRT2/MEN1/KDM4A/KDM1A/KAT2B/HDAC2/BRD7/PLK1	9
CC	GO:0035097	histone methyltransferase complex	5/40	60/19518	1.40E-07	5.19E-06	2.90E-06	MEN1/KMT2A/HDAC9/HDAC2/EED	5
CC	GO:0000228	nuclear chromosome	7/40	223/19518	3.13E-07	8.69E-06	4.86E-06	TOP2A/TOP1/HDAC8/HDAC2/HDAC1/BRD4/PLK1	7
CC	GO:0017053	transcription repressor complex	5/40	78/19518	5.28E-07	1.17E-05	6.56E-06	NCOR2/MEN1/HDAC4/HDAC3/HDAC1	5
CC	GO:0000792	heterochromatin	5/40	81/19518	6.38E-07	1.18E-05	6.60E-06	SIRT2/SIRT1/KDM4A/HDAC1/TOP2B	5
CC	GO:0034708	methyltransferase complex	5/40	92/19518	1.20E-06	1.91E-05	1.07E-05	MEN1/KMT2A/HDAC9/HDAC2/EED	5
CC	GO:0072686	mitotic spindle	5/40	180/19518	3.20E-05	0.000390605	0.000218546	SIRT2/KAT2B/KAT2A/HDAC3/PLK1	5
CC	GO:0005677	chromatin silencing complex	2/40	13/19518	0.000314898	0.001941869	0.001086489	SIRT2/SIRT1	2
CC	GO:0000781	chromosome, telomeric region	4/40	169/19518	0.000388735	0.002157477	0.001207123	SIRT2/MEN1/KDM1A/HDAC2	4
MF	GO:0033558	protein lysine deacetylase activity	14/40	21/18369	4.70E-34	6.26E-32	2.03E-32	SIRT2/SIRT1/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/SIRT3	14
MF	GO:0004407	histone deacetylase activity	13/40	19/18369	7.47E-32	4.97E-30	1.61E-30	SIRT2/SIRT1/HDAC9/HDAC8/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/SIRT3	13
MF	GO:0002039	p53 binding	10/40	67/18369	1.61E-16	2.67E-15	8.66E-16	SIRT1/KDM1A/HDAC1/EHMT2/EHMT1/CREBBP/BRD7/BRD4/PLK3/EP300	10
MF	GO:0001221	transcription coregulator binding	9/40	111/18369	1.81E-12	2.18E-11	7.09E-12	HDAC6/HDAC5/HDAC3/HDAC1/EHMT2/EHMT1/EED/CREBBP/EP300	9
MF	GO:0001222	transcription corepressor binding	7/40	45/18369	5.70E-12	6.32E-11	2.05E-11	HDAC6/HDAC5/HDAC3/HDAC1/EHMT2/EHMT1/EED	7
MF	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	11/40	348/18369	1.36E-10	1.30E-09	4.20E-10	SIRT1/NCOR2/KDM1A/HDAC9/HDAC5/HDAC4/HDAC3/HDAC2/HDAC1/CREBBP/EP300	11
MF	GO:0003714	transcription corepressor activity	8/40	190/18369	6.55E-09	5.44E-08	1.77E-08	SIRT1/NCOR2/HDAC9/HDAC7/HDAC3/HDAC1/CREBBP/BRD7	8
MF	GO:0003713	transcription coactivator activity	9/40	282/18369	7.52E-09	5.88E-08	1.91E-08	SIRT1/KDM1A/KAT2B/KAT2A/CREBBP/BRDT/BRD7/BRD4/EP300	9
MF	GO:0042054	histone methyltransferase activity	4/40	65/18369	1.19E-05	5.26E-05	1.71E-05	KMT2A/EHMT2/EHMT1/EED	4
MF	GO:0032452	histone demethylase activity	3/40	30/18369	3.73E-05	0.000145849	4.73E-05	KDM4E/KDM4A/KDM1A	3
