ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0016570	histone modification	25/40	475/18614	2.24E-30	3.36E-27	1.82E-27	SIRT2/SIRT1/MEN1/KMT2A/KDM4E/KDM4A/KDM1A/KAT2B/KAT2A/HDAC9/HDAC8/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/EHMT2/EHMT1/EED/CREBBP/SIRT3/EP300	25
BP	GO:0006476	protein deacetylation	17/40	116/18614	7.49E-28	5.62E-25	3.04E-25	SIRT2/SIRT1/KAT2B/KAT2A/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/SIRT3/EP300	17
BP	GO:0035601	protein deacylation	17/40	127/18614	3.86E-27	1.93E-24	1.04E-24	SIRT2/SIRT1/KAT2B/KAT2A/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/SIRT3/EP300	17
BP	GO:0098732	macromolecule deacylation	17/40	131/18614	6.74E-27	2.53E-24	1.37E-24	SIRT2/SIRT1/KAT2B/KAT2A/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/SIRT3/EP300	17
BP	GO:0006338	chromatin remodeling	20/40	402/18614	2.83E-23	8.49E-21	4.59E-21	TOP1/SIRT2/SIRT1/KMT2A/KDM4E/KDM4A/KDM1A/KAT2B/KAT2A/HDAC5/HDAC4/HDAC2/HDAC1/EHMT1/BRDT/BRD7/BRD2/BAZ2B/EP300/BRD9	20
BP	GO:0016575	histone deacetylation	14/40	94/18614	5.32E-23	1.33E-20	7.21E-21	SIRT2/SIRT1/KAT2B/KAT2A/HDAC9/HDAC8/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1	14
BP	GO:0018205	peptidyl-lysine modification	18/40	374/18614	1.44E-20	3.08E-18	1.67E-18	SIRT2/SIRT1/MEN1/KMT2A/KDM1A/KAT2B/KAT2A/HDAC9/HDAC7/HDAC6/HDAC4/HDAC2/HDAC10/EHMT2/EHMT1/CREBBP/SIRT3/EP300	18
BP	GO:0040029	epigenetic regulation of gene expression	12/40	188/18614	3.45E-15	6.48E-13	3.51E-13	SIRT2/SIRT1/KMT2A/KDM1A/KAT2B/HDAC6/HDAC5/HDAC4/HDAC1/EHMT1/BRD7/EP300	12
BP	GO:0070932	histone H3 deacetylation	6/40	12/18614	6.09E-14	1.02E-11	5.50E-12	SIRT2/SIRT1/HDAC9/HDAC4/HDAC2/HDAC1	6
BP	GO:0060765	regulation of androgen receptor signaling pathway	6/40	28/18614	2.42E-11	3.63E-09	1.97E-09	SIRT1/NCOR2/KDM1A/HDAC6/HDAC1/EP300	6
