ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-350054	Notch-HLH transcription pathway	15/35	28/10955	4.00E-32	9.75E-30	4.29E-30	NCOR2/KAT2B/KAT2A/HDAC9/HDAC8/HDAC7/HDAC6/HDAC5/HDAC4/HDAC3/HDAC2/HDAC11/HDAC10/HDAC1/CREBBP	15
R-HSA-3247509	Chromatin modifying enzymes	16/35	272/10955	3.58E-17	7.93E-16	3.49E-16	NCOR2/KMT2A/KDM4A/KDM1A/KAT2B/KAT2A/HDAC8/HDAC3/HDAC2/HDAC10/HDAC1/EHMT2/EHMT1/EED/CREBBP/EP300	16
R-HSA-4839726	Chromatin organization	16/35	272/10955	3.58E-17	7.93E-16	3.49E-16	NCOR2/KMT2A/KDM4A/KDM1A/KAT2B/KAT2A/HDAC8/HDAC3/HDAC2/HDAC10/HDAC1/EHMT2/EHMT1/EED/CREBBP/EP300	16
R-HSA-212165	Epigenetic regulation of gene expression	10/35	188/10955	2.21E-10	3.36E-09	1.48E-09	SIRT1/MEN1/KMT2A/KAT2B/KAT2A/HDAC2/HDAC1/EHMT2/EED/EP300	10
R-HSA-2990846	SUMOylation	10/35	188/10955	2.21E-10	3.36E-09	1.48E-09	TOP2A/TOP1/NCOR2/HDAC7/HDAC4/HDAC2/HDAC1/CREBBP/TOP2B/EP300	10
R-HSA-8943724	Regulation of PTEN gene transcription	7/35	61/10955	6.93E-10	9.95E-09	4.38E-09	KDM1A/HDAC7/HDAC5/HDAC3/HDAC2/HDAC1/EED	7
R-HSA-9614085	FOXO-mediated transcription	7/35	65/10955	1.10E-09	1.49E-08	6.54E-09	SIRT1/KAT2B/HDAC2/HDAC1/CREBBP/SIRT3/EP300	7
R-HSA-3214815	HDACs deacetylate histones	7/35	94/10955	1.51E-08	1.94E-07	8.53E-08	NCOR2/KDM1A/HDAC8/HDAC3/HDAC2/HDAC10/HDAC1	7
R-HSA-73762	RNA Polymerase I Transcription Initiation	5/35	47/10955	3.44E-07	3.23E-06	1.42E-06	KAT2B/KAT2A/HDAC2/HDAC1/EHMT2	5
R-HSA-5633007	Regulation of TP53 Activity	7/35	160/10955	5.93E-07	4.99E-06	2.19E-06	HDAC2/HDAC1/EHMT2/EHMT1/BRD7/PLK3/EP300	7
R-HSA-9707616	Heme signaling	4/35	47/10955	1.41E-05	7.83E-05	3.45E-05	SIRT1/HDAC3/CREBBP/EP300	4
