ID,CD36,GPA
1,403,4287
2,359,3547
3,416,3284
4,321,4457
5,327,4555
6,303,4421
7,231,4671
8,238,4648
9,238,4896
10,91.2,3489
11,80.1,3062
12,89.4,3860
13,376,5444
14,345,5336
15,353,5642
16,328,4873
17,324,5003
18,302,5237
19,301,5134
20,319,5337
21,350,4848
22,385,4594
23,335,4389
24,348,4247
25,303,4285
26,310,4524
27,284,4343
28,299,4541
29,266,4305
30,257,4604
31,373,4649
32,340,4084
33,337,4265
34,299,4128
35,318,4239
36,304,5285
37,308,5116
38,271,6158
39,279,5687
40,365,4024
41,341,3870
42,321,3607
43,309,4118
44,326,4118
45,292,4243
46,332,4565
47,262,4238
48,215,4669
