ID	C1	C2	C3	C4	J1	J2	J3	J4
TNFRSF4	1	0	2	3	1	0	1	2
TNFRSF18	1	1	1	2	0	0	1	0
ATAD3B	2545	3837	2325	2476	1108	1104	1319	1606
MTND1P23	24	39	17	14	12	14	16	13
RPL7P7	0	1	1	0	2	1	1	0
MTCO3P12	108	119	82	66	25	34	65	58
DDX11L17	0	0	0	1	0	0	0	0
PRDM16	1	0	0	1	0	14	1	1
MTND2P28	2289	2815	1850	1532	1095	1415	1359	1250
ACAP3	1075	1752	1120	1122	827	778	893	1130
TP73-AS3	0	0	0	0	0	0	0	0
CAMTA1-IT1	0	0	0	0	0	0	0	0
PUSL1	135	187	125	94	66	42	69	77
PEX10	376	631	409	381	205	182	347	342
MTCO1P12	427	419	285	243	189	916	246	202
CPTP	106	172	104	111	64	64	84	69
SKI	1775	2714	1814	1766	1313	1453	1708	1825
MEGF6	44	85	47	40	34	276	34	33
TAS1R3	10	7	3	3	4	8	10	3
CICP7	3	0	1	1	0	0	1	0
WBP1LP6	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0
ERRFI1	28	34	20	19	17	1435	23	19
EEF1DP6	1	0	1	1	0	0	0	0
PEX14	606	853	563	491	244	285	405	388
LINC01646	0	0	0	1	0	0	0	1
LINC01777	0	0	0	0	0	0	1	0
MTATP8P1	2	3	3	4	1	2	1	0
MTCO2P12	14	22	11	9	3	4	6	4
LINC02782	0	0	0	0	0	0	0	0
PLCH2	2	4	5	7	6	5	4	13
SPSB1	0	2	2	1	0	147	0	0
RPL23AP24	4	2	3	3	3	3	2	0
LZIC	1424	1995	1427	1303	890	595	1293	1153
MZT1P1	0	0	0	0	0	0	0	0
HES3	0	0	0	0	0	0	0	0
TP73-AS1	2486	3377	2735	2527	2260	1599	2127	2402
SLC2A5	0	0	1	0	0	0	1	0
NDUFB4P8	2	0	2	0	0	1	1	1
LINC02781	0	0	0	0	0	0	0	0
MTCYBP45	0	1	0	0	0	0	0	0
ENO1	15125	24497	16996	15888	10340	15840	15338	14362
PLEKHM2	2274	3301	2206	2103	1351	1018	1605	1638
B3GALT6	200	234	155	136	65	151	79	60
DHRS3	71	123	85	45	16	514	26	25
CA6	0	0	0	0	0	0	0	0
RPL22P3	0	2	0	0	2	1	0	0
