ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05140	Leishmaniasis	25/1145	77/8388	1.75383355541774e-05	0.00580518906843272	0.00537226910133224	653361/4689/2212/5777/4615/3654/2214/5595/1378/3122/7043/3689/1379/3684/4790/3676/1536/3127/3717/3113/3115/5579/3108/2215/3460	25
hsa05164	Influenza A	43/1145	171/8388	3.56251952282784e-05	0.00589596981028008	0.00545627990075212	4938/4599/5296/4940/1021/56000/64135/4615/8743/637/79671/91543/5595/3606/7098/64499/3122/4790/7177/5371/5610/841/56649/29107/7706/29108/10379/3127/355/148022/6041/834/3717/5295/8797/3113/3115/23430/4600/836/5579/3108/3460	43
hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series	8/1145	15/8388	0.000310393364005552	0.0342467344952793	0.0316927961142511	8706/6489/6482/2523/26301/53947/6483/3073	8
hsa00230	Purine metabolism	31/1145	128/8388	0.000841355415735876	0.0696221606521437	0.0644301120997737	5145/5169/55811/113/5148/2986/203/2272/50940/4833/122481/10201/30833/4830/84284/471/5198/8654/10606/5141/5140/5634/956/3704/3614/205/2766/272/5158/5139/5153	31
hsa05134	Legionellosis	17/1145	57/8388	0.00113396477283344	0.0750684679615735	0.0694702629251643	4615/3310/3606/1378/3689/7100/1379/3684/4790/840/841/29108/10767/834/3305/836/58484	17
hsa04662	B cell receptor signaling pathway	22/1145	84/8388	0.0015803162495703	0.0871807797679617	0.0806793032675365	7409/5296/5777/84433/5880/6850/5595/118788/4067/4790/55024/695/4772/4773/10892/5295/8519/3635/2213/5579/1380/930	22
hsa04640	Hematopoietic cell lineage	24/1145	99/8388	0.00306187205002497	0.144782806936895	0.133985679181544	945/3581/3574/1378/3122/3815/3674/951/1379/3684/3676/948/2208/3127/920/952/3113/3115/2057/2815/3108/1380/930/1435	24
hsa05340	Primary immunodeficiency	12/1145	38/8388	0.00350161321110369	0.144879246609415	0.134074926898839	3543/5897/5896/5788/958/8625/7374/3561/695/920/5994/930	12
hsa05416	Viral myocarditis	16/1145	60/8388	0.00543615764089386	0.178153177503525	0.164867465904042	3683/941/1756/5880/637/3122/3689/958/841/3127/4625/3113/3115/836/1525/3108	16
hsa05152	Tuberculosis	37/1145	180/8388	0.0062680100774332	0.178153177503525	0.164867465904042	2212/4615/3654/11151/7096/2214/637/596/6850/5595/972/3606/1378/10333/3122/7043/3689/64170/1379/3684/4790/8625/8844/841/3127/10892/3717/5878/3113/3115/836/2213/3108/5994/2215/4046/3460	37
hsa05310	Asthma	10/1145	31/8388	0.00631862026675572	0.178153177503525	0.164867465904042	2206/5553/8288/2205/3122/958/3127/3113/3115/3108	10
hsa00590	Arachidonic acid metabolism	16/1145	61/8388	0.00645872546840576	0.178153177503525	0.164867465904042	3248/27306/391013/242/127281/8529/240/5742/8644/873/59344/8398/4051/2053/8399/2678	16
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	9/1145	27/8388	0.00744114426384943	0.187650922304765	0.173656919671447	8706/28/2651/6489/8704/84002/2523/53947/2526	9
hsa05145	Toxoplasmosis	25/1145	112/8388	0.00793689701591151	0.187650922304765	0.173656919671447	5608/4615/3654/3310/596/5595/3122/7043/5294/958/4790/240/841/3127/10105/3717/3305/3113/3115/836/3108/146850/23533/79444/3460	25
hsa04210	Apoptosis	29/1145	136/8388	0.00870573405770085	0.192106531539932	0.177780253388838	1439/5296/8743/637/1677/596/8722/5595/1512/4790/4000/840/841/823/6708/355/4001/2021/4914/5295/8797/1522/1521/51807/839/836/7185/10039/113457	29
hsa04920	Adipocytokine signaling pathway	17/1145	69/8388	0.00986534784811866	0.204089383607955	0.188869488408061	51703/5105/7133/3953/5465/23305/6517/32/4790/1374/948/23205/10645/5564/6256/3717/51422	17
hsa00604	Glycosphingolipid biosynthesis - ganglio series	6/1145	15/8388	0.0106442114234914	0.207249057716215	0.191793530912446	6489/6482/6483/256435/3073/8705	6
hsa04672	Intestinal immune network for IgA production	13/1145	49/8388	0.0121599091611225	0.223607218462864	0.206931787478751	941/3122/958/56477/3601/8741/3676/3695/3127/3113/3115/3108/3600	13
hsa05144	Malaria	13/1145	50/8388	0.0144372141595516	0.251511467726925	0.232755087004405	4035/3683/2532/4615/22914/3606/1378/7043/3689/958/1379/948/2995	13
