ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
IFIT1B	-5.166732588	7.318732499	-41.56957462	5.63E-08	0.001544137	7.875726586
TNS1	-3.646198952	12.04510023	-29.45104241	3.59E-07	0.003490126	6.952341275
EPCAM	-3.275257328	9.788580345	-28.30631856	4.44E-07	0.003490126	6.822600802
TRIM10	-2.923279976	12.06868745	-25.98773816	7.03E-07	0.003490126	6.526386297
S1PR5	2.935784974	1.467892487	24.96221857	8.72E-07	0.003490126	6.379119248
EVPL	-2.843052814	8.496765013	-24.38390325	9.88E-07	0.003490126	6.291144894
LRP1	-3.43477616	10.07834037	-23.42687434	1.22E-06	0.003490126	6.137127813
CALB1	-3.663941507	10.19281666	-23.0938995	1.32E-06	0.003490126	6.080931482
TUBAP11	2.321928095	1.160964047	22.36705432	1.57E-06	0.003490126	5.953279048
PLXND1	-3.750846046	8.680854519	-22.18601339	1.64E-06	0.003490126	5.92037835
HEPACAM2	-3.876808956	4.583950458	-21.85241408	1.78E-06	0.003490126	5.858552349
ACSL6	-2.651000914	8.200905536	-20.94199415	2.23E-06	0.003490126	5.681529609
H2BC18	2.425925601	6.533687144	20.72726241	2.36E-06	0.003490126	5.637921926
BTNL10	-2.424946444	8.191291192	-20.54323394	2.47E-06	0.003490126	5.599961451
AQP1	-2.738403568	7.0350459	-20.0683668	2.80E-06	0.003490126	5.499427254
KRT13	-4.138913456	8.525004188	-19.62390784	3.16E-06	0.003490126	5.401833194
RHOB	3.896509447	8.003884323	19.59588682	3.18E-06	0.003490126	5.395563361
BCL2L14	2	1	19.26593194	3.48E-06	0.003490126	5.320661795
ZDHHC11B	-2.813380409	9.470037627	-19.25446502	3.49E-06	0.003490126	5.318022736
S1PR4	-3.503663015	5.763774865	-19.20476499	3.54E-06	0.003490126	5.306556164
SLC14A1	-2.926582773	9.380243728	-19.10434687	3.64E-06	0.003490126	5.283246847
TNFRSF19	-2.285241217	7.077935726	-18.94304375	3.81E-06	0.003490126	5.245404764
FAM178B	-5.759944655	8.03776855	-18.91186476	3.84E-06	0.003490126	5.23803266
H4-16	2.620017448	5.948261671	18.86126807	3.90E-06	0.003490126	5.22602941
NEFL	5.043300235	5.408909484	18.23611328	4.67E-06	0.003490126	5.073541352
H2BC14	2.307503477	5.794520288	18.10716074	4.85E-06	0.003490126	5.041097274
MS4A2	-4.175972262	5.680404569	-18.077257	4.89E-06	0.003490126	5.033523868
CD9	2.038107603	7.234962276	18.05698391	4.92E-06	0.003490126	5.028378803
SEC14L3	-3.395045102	6.648625736	-18.05089697	4.93E-06	0.003490126	5.026832317
FCGR2C	-3.032902136	4.822738814	-17.85297567	5.22E-06	0.003490126	4.976117659
ATP2B4	-2.170779919	10.66929218	-17.72358861	5.43E-06	0.003490126	4.942508001
LTBP3	-2.08989075	9.381461199	-17.60022238	5.64E-06	0.003490126	4.910121097
LGALS9	-2.975926085	6.923269455	-17.57808309	5.67E-06	0.003490126	4.904273341
MIAT	-2.31045987	9.61262665	-17.52747908	5.76E-06	0.003490126	4.890866089
OR52A5	-3.005213951	5.302900121	-17.49534427	5.82E-06	0.003490126	4.882322437
SPOCK1	2.449274996	7.56128712	17.41127324	5.97E-06	0.003490126	4.859860726
ENG	-2.647518018	9.104557287	-17.18815721	6.39E-06	0.003490126	4.799469442
ATP1B4	2.128558472	8.768103	17.15238447	6.46E-06	0.003490126	4.789680006
SPTBN2	-2.494222811	9.707938237	-17.10209707	6.57E-06	0.003490126	4.775868084
BEX1	2.534449959	11.26973563	16.98893384	6.80E-06	0.003490126	4.744569463
SLC2A14	-2.26122391	7.320563824	-16.93141707	6.92E-06	0.003490126	4.728545259
ABCC13	-2.522472591	7.753801307	-16.88873894	7.02E-06	0.003490126	4.716604067
RNASE1	-3.170828143	6.518507945	-16.8566782	7.09E-06	0.003490126	4.707604843
LRRN2	-1.969545161	7.85853292	-16.71538677	7.41E-06	0.003490126	4.667649162
MYLK3	-2.134109715	4.803132977	-16.70680662	7.43E-06	0.003490126	4.665207132
ITLN1	-3.310979987	8.303178063	-16.66823508	7.53E-06	0.003490126	4.654206842
RYR3-DT	-2.133917213	7.059146647	-16.66469736	7.53E-06	0.003490126	4.653196084
ODAD4	-2.275802649	10.7026039	-16.63149405	7.61E-06	0.003490126	4.643694565
PDE6G	-3.17259291	3.309604789	-16.58798596	7.72E-06	0.003490126	4.631202973
SH3TC2	-4.081444662	7.843852643	-16.47450942	8.01E-06	0.003490126	4.59840106
ARG1	-1.99151478	10.85217002	-16.47316207	8.01E-06	0.003490126	4.598009656
NTS	-4.218427418	3.939831408	-16.42753764	8.13E-06	0.003490126	4.584728721
H2AC15	1.823973854	6.403116483	16.37216458	8.28E-06	0.003490126	4.568539311
BCAM	-2.576348401	7.411134716	-16.3405052	8.36E-06	0.003490126	4.559248048
CYP1B1	2.22438062	10.88574829	16.32081162	8.42E-06	0.003490126	4.553455555
PAQR9	-1.890325975	10.08613359	-16.25120891	8.61E-06	0.003490126	4.53290355
MATK	-2.202091002	3.834269616	-16.24121313	8.64E-06	0.003490126	4.5299418
RLN3	4.095542355	6.735007412	16.19818681	8.76E-06	0.003490126	4.517163598
ABCA1	-2.682296356	5.601464778	-15.98127675	9.41E-06	0.003490126	4.452007853
BEST3	-2.199278826	7.036939899	-15.89876391	9.67E-06	0.003490126	4.426895499
SIGLEC6	-3.149630339	8.21917892	-15.88868923	9.70E-06	0.003490126	4.423816826
LINC01133	-2.621708545	8.45528189	-15.80369835	9.98E-06	0.003490126	4.397735901
PVT1	-2.252301294	8.631088876	-15.76166931	1.01E-05	0.003490126	4.38476617
EIF5AP2	-2.105444652	6.165634454	-15.74497591	1.02E-05	0.003490126	4.379601389
CA1	-1.90169964	7.952958513	-15.65345619	1.05E-05	0.003490126	4.351150214
NEFM	5.606384861	8.264404697	15.61885659	1.06E-05	0.003490126	4.340333879
LINC02489	-2.373492633	2.771708817	-15.61367819	1.06E-05	0.003490126	4.338712179
MTRNR2L3	-3.183582262	3.315099465	-15.52578537	1.10E-05	0.003490126	4.311073156
APLNR	-3.195524536	5.851058329	-15.48990341	1.11E-05	0.003490126	4.299727417
SPON2	-4.290595598	5.509550179	-15.37250297	1.16E-05	0.003490126	4.262351408
H2BC9	1.898014147	6.806563948	15.33432478	1.17E-05	0.003490126	4.250112248
GAPDHP63	-1.584962501	0.79248125	-15.26788983	1.20E-05	0.003490126	4.228714656
IPCEF1	-1.584962501	0.79248125	-15.26788983	1.20E-05	0.003490126	4.228714656
LINC02664	-1.584962501	0.79248125	-15.26788983	1.20E-05	0.003490126	4.228714656
RHOJ	-1.584962501	0.79248125	-15.26788983	1.20E-05	0.003490126	4.228714656
MT3	-1.584962501	0.79248125	-15.26788983	1.20E-05	0.003490126	4.228714656
FAF1-AS1	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
PDPN	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
LINC01964	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
SYNPR	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
GPR62	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
LSM3P4	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
ATP10B	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
RIPPLY2	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
VPS37D	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
GRM3	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
ANOS1	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
FAM9B	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
EIF1AX-AS1	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
PENK-AS1	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
LINC02747	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
CUX2	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
ZNF114-AS1	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
RNY1P9	1.584962501	0.79248125	15.26788983	1.20E-05	0.003490126	4.228714656
TRPC1	1.779858654	4.694824405	15.24390802	1.21E-05	0.003490126	4.22095919
OR10Z1	-1.835477737	9.505580209	-15.20657515	1.22E-05	0.00349888	4.208852899
H3C11	2.097574235	7.833024318	15.15540741	1.25E-05	0.003525123	4.19219419
ANKRD36BP2	-2.080401635	8.807256053	-15.11226758	1.27E-05	0.003542175	4.178089485
USP32P3	-1.715827293	9.050494371	-15.0818255	1.28E-05	0.003544001	4.168103344
SH3TC2-DT	-2.509459657	4.943650473	-14.97246459	1.33E-05	0.003646253	4.132001926
