ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006334	nucleosome assembly	52/1358	121/18903	6.15374584343954e-28	3.36917584928315e-24	2.83720071518581e-24	H2BC18/H2BC14/H2BC9/H3C11/H1-3/H3C13/H1-5/H4C5/H4C6/H2BC4/H2BC10/H1-4/H2BC7/H2BC6/H4C3/H4C8/H1-2/TSPYL2/H3C14/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2BC12/H2BC13/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H1-1/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/NAP1L3/H3C12/H2BC19P/H3C15/H1-6/H4C14/H4C1/PADI4	52
BP	GO:0034728	nucleosome organization	52/1358	156/18903	7.99280611353721e-22	2.18803067358081e-18	1.84255214617332e-18	H2BC18/H2BC14/H2BC9/H3C11/H1-3/H3C13/H1-5/H4C5/H4C6/H2BC4/H2BC10/H1-4/H2BC7/H2BC6/H4C3/H4C8/H1-2/TSPYL2/H3C14/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2BC12/H2BC13/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H1-1/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/NAP1L3/H3C12/H2BC19P/H3C15/H1-6/H4C14/H4C1/PADI4	52
BP	GO:0006335	DNA replication-dependent chromatin assembly	22/1358	32/18903	1.89045816210174e-18	3.45008614583568e-15	2.90533570175636e-15	H3C11/H4C5/H4C6/H4C3/H4C8/H4C9/H3C1/H3C7/H3C10/H4C13/H3C3/H4C4/H4C2/H3C2/H4C15/H4C12/H3C6/H4C11/H3C8/H3C12/H4C14/H4C1	22
BP	GO:0061644	protein localization to CENP-A containing chromatin	16/1358	18/18903	6.17613332824742e-17	8.45358249303865e-14	7.11880630992729e-14	H4C5/H4C6/H4C3/H2AC4/H4C8/H2AC8/H4C9/H2BC11/H4C13/H4C4/H4C2/H4C15/H4C12/H4C11/H4C14/H4C1	16
BP	GO:0065004	protein-DNA complex assembly	53/1358	242/18903	1.66616925849709e-13	1.82445533805432e-10	1.53638344257206e-10	H2BC18/H2BC14/H2BC9/H3C11/H1-3/H3C13/H1-5/H4C5/H4C6/H2BC4/H2BC10/H1-4/H2BC7/H2BC6/H4C3/H4C8/H1-2/HEY2/TSPYL2/H3C14/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2BC12/H2BC13/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H1-1/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/NAP1L3/H3C12/H2BC19P/H3C15/H1-6/H4C14/H4C1/PADI4	53
BP	GO:0045653	negative regulation of megakaryocyte differentiation	14/1358	20/18903	2.3523832689991e-12	2.14654973296168e-09	1.8076208277572e-09	H4C5/H4C6/H4C3/H4C8/H4C9/H4C13/H4C4/H4C2/MYB/H4C15/H4C12/H4C11/H4C14/H4C1	14
BP	GO:0071824	protein-DNA complex subunit organization	53/1358	277/18903	4.16723975507281e-11	3.25937680843195e-08	2.74473836499533e-08	H2BC18/H2BC14/H2BC9/H3C11/H1-3/H3C13/H1-5/H4C5/H4C6/H2BC4/H2BC10/H1-4/H2BC7/H2BC6/H4C3/H4C8/H1-2/HEY2/TSPYL2/H3C14/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2BC12/H2BC13/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H1-1/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/NAP1L3/H3C12/H2BC19P/H3C15/H1-6/H4C14/H4C1/PADI4	53
BP	GO:0071168	protein localization to chromatin	18/1358	54/18903	1.86540420128112e-08	1.16026231653963e-05	9.77063003401796e-06	H1-5/H4C5/H4C6/SPI1/H4C3/H2AC4/H4C8/H2AC8/H4C9/H2BC11/H4C13/H4C4/H4C2/H4C15/H4C12/H4C11/H4C14/H4C1	18
BP	GO:0071459	protein localization to chromosome, centromeric region	16/1358	43/18903	1.90728052033912e-08	1.16026231653963e-05	9.77063003401796e-06	H4C5/H4C6/H4C3/H2AC4/H4C8/H2AC8/H4C9/H2BC11/H4C13/H4C4/H4C2/H4C15/H4C12/H4C11/H4C14/H4C1	16
BP	GO:0022407	regulation of cell-cell adhesion	69/1358	490/18903	5.36401334003083e-08	2.93679730366688e-05	2.47309246624579e-05	EPCAM/CD9/LGALS9/ARG1/PDPN/CDH1/MYADM/CR1/CCDC88B/SPI1/RHOH/GPNMB/GCNT2/SPTA1/APOA1/EFNB2/PODXL/HLA-A/FCHO1/IL1RN/DUSP10/SERPINE2/ZMIZ1/TNFRSF14/RAG1/VAV1/MMRN1/PTPN6/SOCS1/PTPN22/LGALS1/IL6ST/ITGB2/TJP1/IL20RB/MYB/CCR7/ETS1/FCGR2B/PTPRC/SFTPD/AIF1/BTN2A2/IL7/PCK1/TNFSF18/ADAM8/CD70/CD276/LAX1/EPB41L5/ALOX5/SELP/VSIR/CELA2A/ADA/CD300A/TNFSF14/PRKCZ/IL1B/HAVCR2/WNT5A/NRARP/CD4/LRRC32/TNF/LGALS9B/ZBTB16/TNFSF4	69
BP	GO:0045652	regulation of megakaryocyte differentiation	14/1358	38/18903	1.71268863944585e-07	8.52451845542367e-05	7.17854185719888e-05	H4C5/H4C6/H4C3/H4C8/H4C9/H4C13/H4C4/H4C2/MYB/H4C15/H4C12/H4C11/H4C14/H4C1	14
BP	GO:0019221	cytokine-mediated signaling pathway	68/1358	496/18903	1.88073277661687e-07	8.58084329331447e-05	7.22597329963324e-05	TNFRSF19/ARG1/MT3/HSPA1B/IL1R1/CSF1/CSF2RB/PLVAP/SPI1/APOA1/HSPA1A/TRAF5/EGR1/PRKACA/IFITM1/IL1RN/ACKR1/TNFRSF1B/TNFRSF14/H2BC11/PTPN6/USP18/SOCS1/IL6ST/APPL1/PLP2/IRGM/IL20RB/CCR7/MAPK3/CMKLR1/IFITM2/PTPRC/LILRA6/TNFAIP3/RHEX/IL7/IKBKE/STING1/TNFSF18/IFITM3/CD70/CARD16/TRIM6/IL2RB/IRF7/FZD4/CXCL8/ACKR2/CEBPA/CSF2/IL1B/IL13RA1/WNT5A/TNFRSF11A/CD4/CXCR3/CXCR4/IL5RA/LILRA2/TNFRSF18/TBKBP1/SLIT2/TSLP/TNF/HPX/CXCR6/TNFRSF25	68
BP	GO:0006338	chromatin remodeling	55/1358	373/18903	2.70008409435154e-07	0.000113715080127498	9.57600674757875e-05	H2BC18/H2BC14/H2BC9/H3C11/H1-3/H3C13/H1-5/H4C5/H4C6/H2BC4/H2BC10/H1-4/H2BC7/H2BC6/H4C3/H4C8/H1-2/TSPYL2/H3C14/H4C9/ZDBF2/H2BC3/H2BC15/H2BC8/H3C1/SNAI1/H2AX/H3C7/H2BC5/H2BC11/H2BC12/H2BC13/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/MYB/H1-1/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/NAP1L3/H3C12/H2BC19P/H3C15/H1-6/H4C14/H4C1/PADI4	55
