ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04613	Neutrophil extracellular trap formation	75/661	190/8388	9.78536138958517e-35	3.00410594660265e-32	2.39998863555089e-32	440689/8342/8330/8345/8354/2212/85235/653604/1378/8367/8969/8361/8347/4689/8346/8343/8344/8364/71/8335/5295/8365/51564/3683/8331/126961/3012/8294/8336/3018/8329/8341/8339/8350/317772/5332/3014/8968/3017/8970/723790/85236/8340/8337/8357/8368/8352/8348/3690/8360/8366/3689/653361/8332/5595/8358/554313/8349/2215/8362/8353/3684/2214/5330/8363/8355/6403/5603/8356/7097/8338/333932/8370/8359/23569	75
hsa05322	Systemic lupus erythematosus	59/661	136/8388	4.08003647756063e-30	6.26285599305557e-28	5.0034131540612e-28	440689/8342/8330/8345/8354/2212/85235/653604/8367/8969/8361/8347/8346/8343/8344/8364/8335/8365/8331/126961/3012/8294/8336/3018/8329/8341/8339/8350/317772/3014/8968/3017/8970/723790/85236/8340/8337/8357/8368/8352/8348/8360/8366/8332/8358/554313/8349/2215/8362/8353/2214/8363/8355/8356/8338/333932/8370/7124/8359	59
hsa05034	Alcoholism	68/661	187/8388	5.77114127410535e-29	5.9058012371678e-27	4.71816111181244e-27	440689/8342/8330/8345/8354/85235/653604/8367/8969/8361/8347/8346/8343/8344/8364/8335/8365/51564/8331/126961/3012/8294/5566/8336/3018/8329/8341/8339/8350/2793/317772/94235/3014/8968/3017/8970/723790/85236/8340/8337/8357/8368/8352/8348/8360/8366/8332/5595/8358/554313/2354/8349/8362/8353/10681/8363/84699/8355/2905/1813/8356/8338/333932/8370/116444/53358/8359/2785	68
hsa05203	Viral carcinogenesis	41/661	204/8388	1.55159677412647e-08	1.19085052414207e-06	9.51373811503865e-07	440689/8342/8345/3725/8367/8361/8347/8346/8343/8344/8364/5295/8365/51564/3105/7188/8294/5566/3018/8341/8339/3017/8970/85236/8340/8368/3572/8348/1021/8360/8366/5595/554313/8349/8362/8363/84699/3665/8370/8900/8359	41
hsa04380	Osteoclast differentiation	27/661	128/8388	1.72467997119841e-06	0.000105895350231582	8.46000912187851e-05	9103/3725/3554/2212/1435/4689/6688/5295/3937/8651/3690/653361/5595/2213/2354/79168/2215/2214/9021/5603/54/3553/8792/11027/7124/5602/7042	27
hsa05140	Leishmaniasis	19/661	77/8388	5.44332121588655e-06	0.000271413821043761	0.000216833260082963	9103/3725/2212/1378/4689/65108/5777/3689/653361/5595/2215/3684/2214/5603/7097/3553/7124/7042/4843	19
hsa05202	Transcriptional misregulation in cancer	34/661	193/8388	6.18858875344079e-06	0.000271413821043761	0.000216833260082963	8354/653604/6688/4616/126961/8350/3248/8968/2313/8357/8352/4613/8358/10912/30012/7102/8353/3684/2308/4914/3560/8355/7490/4211/3576/4291/8356/1050/1437/333932/4318/8900/3195/7704	34
hsa05131	Shigellosis	36/661	247/8388	0.00021631331233435	0.00830102336083069	0.00663171075972416	8354/3725/3554/653604/8945/71/5295/596/55062/126961/7188/8350/5332/8968/8357/8352/5595/8358/7321/8353/5330/340061/27128/2308/8355/5603/3576/653857/8356/375189/124404/1437/333932/3553/7124/5602	36
hsa04970	Salivary secretion	18/661	93/8388	0.000288316502173389	0.00983479624080337	0.0078570461995789	493/23439/112/6558/6263/5566/5332/3783/277/5330/491/2983/481/4069/155/154/362/480	18
hsa05146	Amoebiasis	19/661	102/8388	0.000330512221684791	0.0101467252057231	0.00810624712132172	383/3554/3914/5295/2769/3315/5566/5332/3689/3684/5330/5272/3576/7097/1437/3553/7124/7042/4843	19
hsa04514	Cell adhesion molecules	25/661	157/8388	0.000523500944266843	0.0146104354445382	0.0116723177047057	999/5792/3105/3683/57502/7122/3689/94030/4684/5788/5010/5818/3684/80381/6403/64115/9672/3680/1366/90952/920/9369/3385/4359/26050	25
hsa00590	Arachidonic acid metabolism	13/661	61/8388	0.000765497861993049	0.0195839869693222	0.0156457019161737	27306/242/3248/1557/240/59344/100137049/4051/9536/6916/2678/2687/54979	13
hsa04015	Rap1 signaling pathway	30/661	210/8388	0.000992784573407737	0.0234316106307958	0.0187195792112993	999/1435/5909/112/71/5295/2324/3937/84612/3683/5228/5332/7409/3690/3689/5595/3397/27006/3684/2260/5330/51378/10636/5603/1813/375189/54518/5590/7074/1944	30
hsa04926	Relaxin signaling pathway	21/661	129/8388	0.00106854250433597	0.0234316106307958	0.0187195792112993	117579/3725/112/5295/2769/5566/2793/5332/94235/5595/4846/10681/5330/84699/5603/5590/4318/53358/5602/2785/4843	21
hsa04371	Apelin signaling pathway	22/661	139/8388	0.00120384641072876	0.0246387232062485	0.0196839448210386	91807/187/999/4635/112/53632/6263/1958/5566/6547/2793/5332/94235/5595/4846/10681/5330/340156/10365/2785/6696/4843	22
hsa05144	Malaria	11/661	50/8388	0.00145720902754571	0.0266713809286393	0.0213078407556076	4035/1378/3683/2532/3689/6403/3576/7097/3553/7124/7042	11
hsa04724	Glutamatergic synapse	19/661	115/8388	0.00151926195745277	0.0266713809286393	0.0213078407556076	2913/7220/112/9454/5337/5566/2793/5332/94235/9456/5595/9762/10681/5330/2905/100137049/2901/116444/2785	19
hsa04611	Platelet activation	20/661	124/8388	0.00156379432154888	0.0266713809286393	0.0213078407556076	91807/2212/112/71/5295/3937/5566/5332/3690/5595/4846/5330/2983/5603/54518/5590/100137049/6916/340156/6915	20
hsa02010	ABC transporters	10/661	45/8388	0.00218923087394827	0.0353733620159009	0.0282598777634319	19/340273/9429/94160/5243/10060/85320/24/5244/154664	10
hsa04961	Endocrine and other factor-regulated calcium reabsorption	11/661	53/8388	0.00239529094971447	0.036767716078117	0.0293738311201827	793/493/23439/112/5566/6547/5332/5330/491/481/480	11
hsa04974	Protein digestion and absorption	17/661	103/8388	0.00266528460881115	0.038963922614525	0.0311283866592982	23439/340024/6547/1360/91522/3783/23428/5222/481/1298/63036/1300/1299/81578/136227/480/153201	17
