ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
IFIT1B	-5.166732588	7.318732499	-41.56957462	5.63E-08	0.001544137	7.875726586
TNS1	-3.646198952	12.04510023	-29.45104241	3.59E-07	0.003490126	6.952341275
EPCAM	-3.275257328	9.788580345	-28.30631856	4.44E-07	0.003490126	6.822600802
TRIM10	-2.923279976	12.06868745	-25.98773816	7.03E-07	0.003490126	6.526386297
EVPL	-2.843052814	8.496765013	-24.38390325	9.88E-07	0.003490126	6.291144894
LRP1	-3.43477616	10.07834037	-23.42687434	1.22E-06	0.003490126	6.137127813
CALB1	-3.663941507	10.19281666	-23.0938995	1.32E-06	0.003490126	6.080931482
PLXND1	-3.750846046	8.680854519	-22.18601339	1.64E-06	0.003490126	5.92037835
HEPACAM2	-3.876808956	4.583950458	-21.85241408	1.78E-06	0.003490126	5.858552349
ACSL6	-2.651000914	8.200905536	-20.94199415	2.23E-06	0.003490126	5.681529609
BTNL10	-2.424946444	8.191291192	-20.54323394	2.47E-06	0.003490126	5.599961451
AQP1	-2.738403568	7.0350459	-20.0683668	2.80E-06	0.003490126	5.499427254
KRT13	-4.138913456	8.525004188	-19.62390784	3.16E-06	0.003490126	5.401833194
ZDHHC11B	-2.813380409	9.470037627	-19.25446502	3.49E-06	0.003490126	5.318022736
S1PR4	-3.503663015	5.763774865	-19.20476499	3.54E-06	0.003490126	5.306556164
SLC14A1	-2.926582773	9.380243728	-19.10434687	3.64E-06	0.003490126	5.283246847
TNFRSF19	-2.285241217	7.077935726	-18.94304375	3.81E-06	0.003490126	5.245404764
FAM178B	-5.759944655	8.03776855	-18.91186476	3.84E-06	0.003490126	5.23803266
MS4A2	-4.175972262	5.680404569	-18.077257	4.89E-06	0.003490126	5.033523868
SEC14L3	-3.395045102	6.648625736	-18.05089697	4.93E-06	0.003490126	5.026832317
FCGR2C	-3.032902136	4.822738814	-17.85297567	5.22E-06	0.003490126	4.976117659
ATP2B4	-2.170779919	10.66929218	-17.72358861	5.43E-06	0.003490126	4.942508001
LTBP3	-2.08989075	9.381461199	-17.60022238	5.64E-06	0.003490126	4.910121097
LGALS9	-2.975926085	6.923269455	-17.57808309	5.67E-06	0.003490126	4.904273341
MIAT	-2.31045987	9.61262665	-17.52747908	5.76E-06	0.003490126	4.890866089
OR52A5	-3.005213951	5.302900121	-17.49534427	5.82E-06	0.003490126	4.882322437
ENG	-2.647518018	9.104557287	-17.18815721	6.39E-06	0.003490126	4.799469442
SPTBN2	-2.494222811	9.707938237	-17.10209707	6.57E-06	0.003490126	4.775868084
SLC2A14	-2.26122391	7.320563824	-16.93141707	6.92E-06	0.003490126	4.728545259
ABCC13	-2.522472591	7.753801307	-16.88873894	7.02E-06	0.003490126	4.716604067
RNASE1	-3.170828143	6.518507945	-16.8566782	7.09E-06	0.003490126	4.707604843
LRRN2	-1.969545161	7.85853292	-16.71538677	7.41E-06	0.003490126	4.667649162
MYLK3	-2.134109715	4.803132977	-16.70680662	7.43E-06	0.003490126	4.665207132
ITLN1	-3.310979987	8.303178063	-16.66823508	7.53E-06	0.003490126	4.654206842
RYR3-DT	-2.133917213	7.059146647	-16.66469736	7.53E-06	0.003490126	4.653196084
ODAD4	-2.275802649	10.7026039	-16.63149405	7.61E-06	0.003490126	4.643694565
PDE6G	-3.17259291	3.309604789	-16.58798596	7.72E-06	0.003490126	4.631202973
SH3TC2	-4.081444662	7.843852643	-16.47450942	8.01E-06	0.003490126	4.59840106
ARG1	-1.99151478	10.85217002	-16.47316207	8.01E-06	0.003490126	4.598009656
NTS	-4.218427418	3.939831408	-16.42753764	8.13E-06	0.003490126	4.584728721
BCAM	-2.576348401	7.411134716	-16.3405052	8.36E-06	0.003490126	4.559248048
PAQR9	-1.890325975	10.08613359	-16.25120891	8.61E-06	0.003490126	4.53290355
MATK	-2.202091002	3.834269616	-16.24121313	8.64E-06	0.003490126	4.5299418
ABCA1	-2.682296356	5.601464778	-15.98127675	9.41E-06	0.003490126	4.452007853
BEST3	-2.199278826	7.036939899	-15.89876391	9.67E-06	0.003490126	4.426895499
SIGLEC6	-3.149630339	8.21917892	-15.88868923	9.70E-06	0.003490126	4.423816826
LINC01133	-2.621708545	8.45528189	-15.80369835	9.98E-06	0.003490126	4.397735901
PVT1	-2.252301294	8.631088876	-15.76166931	1.01E-05	0.003490126	4.38476617
EIF5AP2	-2.105444652	6.165634454	-15.74497591	1.02E-05	0.003490126	4.379601389
CA1	-1.90169964	7.952958513	-15.65345619	1.05E-05	0.003490126	4.351150214
LINC02489	-2.373492633	2.771708817	-15.61367819	1.06E-05	0.003490126	4.338712179
MTRNR2L3	-3.183582262	3.315099465	-15.52578537	1.10E-05	0.003490126	4.311073156
APLNR	-3.195524536	5.851058329	-15.48990341	1.11E-05	0.003490126	4.299727417
SPON2	-4.290595598	5.509550179	-15.37250297	1.16E-05	0.003490126	4.262351408
GAPDHP63	-1.584962501	0.79248125	-15.26788983	1.20E-05	0.003490126	4.228714656
IPCEF1	-1.584962501	0.79248125	-15.26788983	1.20E-05	0.003490126	4.228714656
LINC02664	-1.584962501	0.79248125	-15.26788983	1.20E-05	0.003490126	4.228714656
RHOJ	-1.584962501	0.79248125	-15.26788983	1.20E-05	0.003490126	4.228714656
MT3	-1.584962501	0.79248125	-15.26788983	1.20E-05	0.003490126	4.228714656
OR10Z1	-1.835477737	9.505580209	-15.20657515	1.22E-05	0.00349888	4.208852899
ANKRD36BP2	-2.080401635	8.807256053	-15.11226758	1.27E-05	0.003542175	4.178089485
USP32P3	-1.715827293	9.050494371	-15.0818255	1.28E-05	0.003544001	4.168103344
SH3TC2-DT	-2.509459657	4.943650473	-14.97246459	1.33E-05	0.003646253	4.132001926
CDH1	-1.741186305	11.14180096	-14.91697981	1.36E-05	0.003681731	4.113548859
ARL9	-1.841511546	8.840558411	-14.71500375	1.46E-05	0.003826392	4.045586267
SYNGR1	-2.029352102	9.138117994	-14.67387303	1.48E-05	0.003826392	4.031592568
ABO	-2.336130824	10.25718344	-14.50925143	1.57E-05	0.003986177	3.975054855
NFIX	-1.682714784	11.20738475	-14.44365353	1.61E-05	0.004008489	3.952287224
RGS20	-2.148351889	7.742842618	-14.30102038	1.69E-05	0.004080533	3.902305653
TGM5	-2.483737037	1.241868519	-14.29794124	1.70E-05	0.004080533	3.901219396
MTATP6P27	-2.483737037	1.241868519	-14.29794124	1.70E-05	0.004080533	3.901219396
IL1R1	-2.006602619	6.211680657	-14.25108814	1.72E-05	0.004115735	3.884652408
XAF1	-2.436707914	4.909734445	-14.20588272	1.75E-05	0.004116119	3.868599848
CYP4F12	-2.261033516	6.996718438	-14.18145896	1.77E-05	0.004116119	3.859898906
P2RY8	-3.971314586	6.866642034	-14.09503428	1.83E-05	0.004134135	3.828951441
APOBR	-2.326811072	10.78138062	-14.08688286	1.83E-05	0.004134135	3.82601969
HPGDS	-2.22213425	9.947228915	-14.08548384	1.83E-05	0.004134135	3.825516295
C17orf99	-2.594739823	8.239239726	-14.04172736	1.86E-05	0.004134135	3.809738686
TRAF3IP3	-2.23150786	6.657732963	-14.0301814	1.87E-05	0.004134135	3.805564741
MUC1	-2.089238728	9.862360833	-14.0228964	1.88E-05	0.004134135	3.802928854
FCGR2A	-2.501091756	5.798084492	-14.0081054	1.89E-05	0.004134135	3.79757161
MYL4	-1.68801185	12.51547351	-13.99459708	1.90E-05	0.004134135	3.792672489
LY9	-2.271257219	6.481391793	-13.94900653	1.93E-05	0.004140162	3.776092304
WSCD2	-4.307212139	5.586675409	-13.9107629	1.96E-05	0.00416796	3.76212946
PNMT	-2.946277718	6.81841555	-13.82431445	2.02E-05	0.004209296	3.730382157
CRYBG1	-4.942156881	6.835330821	-13.78461162	2.06E-05	0.004228006	3.715715254
B3GALNT1	-2.960997443	4.676736933	-13.76846543	2.07E-05	0.004228006	3.70973492
MYADM	-1.947061918	4.999136158	-13.75390245	2.08E-05	0.004228006	3.704333191
RIN3	-1.887256651	8.823000372	-13.71296449	2.11E-05	0.004263349	3.689108719
SLC16A9	-4.449522999	5.883854807	-13.62479739	2.19E-05	0.004346762	3.65612004
ABCB5	-3.710859173	5.865191996	-13.53229339	2.27E-05	0.004473105	3.621212061
EPSTI1	-2.44275049	8.483761804	-13.50452659	2.29E-05	0.004489438	3.610673978
CDK15	-4.283916347	4.726920674	-13.46865313	2.32E-05	0.004520449	3.597018091
RFPL2	-2.350247075	5.136513711	-13.39896853	2.39E-05	0.004580582	3.570357994
FRMD4A	-1.603856829	9.233876797	-13.32330709	2.46E-05	0.004686337	3.541210277
CR1	-1.888165393	6.19099251	-13.27292581	2.51E-05	0.004729961	3.521684399
FMNL1	-1.976219116	6.892265074	-13.26502703	2.52E-05	0.004729961	3.518614595
ACAP1	-2.267448392	8.163009678	-13.21260548	2.57E-05	0.004784818	3.498182429
