ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0070663	regulation of leukocyte proliferation	35/707	269/18903	1.33811756947659e-10	6.27309516570623e-07	5.52008711029341e-07	LGALS9/ARG1/CR1/CSF1/CCDC88B/CSF2RB/IKZF3/GPNMB/SPTA1/BCL2/TNFRSF1B/TNFRSF14/BST2/PTPN6/PTPN22/IL20RB/MAPK3/FCGR2B/PTPRC/SFTPD/TNFAIP3/AIF1/BTN2A2/IL7/FCGR3A/TNFSF18/CD70/VSIR/ADA/CD300A/IL1B/HAVCR2/IL5RA/LGALS9B/TNFSF4	35
BP	GO:0070661	leukocyte proliferation	40/707	348/18903	2.94616116459881e-10	6.90580176981961e-07	6.07684505476986e-07	LGALS9/ARG1/CR1/CSF1/CCDC88B/CSF2RB/IKZF3/GPNMB/SPTA1/BCL2/EMP2/TNFRSF1B/TNFRSF14/BST2/PTPN6/PTPN22/P2RX7/SLC11A1/GAPT/IL20RB/MAPK3/FCGR2B/PTPRC/SFTPD/TNFAIP3/AIF1/BTN2A2/IL7/FCGR3A/TNFSF18/CD70/VSIR/ADA/CD300A/TNFSF14/IL1B/HAVCR2/IL5RA/LGALS9B/TNFSF4	40
BP	GO:0050863	regulation of T cell activation	41/707	376/18903	8.75826948265103e-10	1.11170985457913e-06	9.78262735785795e-07	LGALS9/ARG1/CR1/CCDC88B/RHOH/GPNMB/SPTA1/FCHO1/ZMIZ1/TNFRSF1B/TNFRSF14/RAG1/VAV1/PTPN6/PTPN22/LGALS1/IL20RB/MYB/PRDM1/CCR7/FCGR2B/PTPRC/SFTPD/AIF1/BTN2A2/IL7/PCK1/TNFSF18/ADAM8/CD70/LAX1/VSIR/ADA/CD300A/TNFSF14/IL1B/HAVCR2/CD4/LGALS9B/ZBTB16/TNFSF4	41
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	41/707	377/18903	9.48557896398577e-10	1.11170985457913e-06	9.78262735785795e-07	LGALS9/ARG1/CR1/CCDC88B/RHOH/GPNMB/SPTA1/FCHO1/ZMIZ1/TNFRSF14/RAG1/VAV1/PTPN6/PTPN22/LGALS1/ITGB2/IL20RB/MYB/CCR7/FCGR2B/PTPRC/SFTPD/AIF1/BTN2A2/IL7/PCK1/TNFSF18/ADAM8/CD70/LAX1/ALOX5/VSIR/ADA/CD300A/TNFSF14/IL1B/HAVCR2/CD4/LGALS9B/ZBTB16/TNFSF4	41
BP	GO:0022407	regulation of cell-cell adhesion	48/707	490/18903	1.20278484012746e-09	1.12773106610351e-06	9.92360797570424e-07	EPCAM/LGALS9/ARG1/CDH1/MYADM/CR1/CCDC88B/SPI1/RHOH/GPNMB/GCNT2/SPTA1/APOA1/FCHO1/IL1RN/ZMIZ1/TNFRSF14/RAG1/VAV1/PTPN6/PTPN22/LGALS1/ITGB2/IL20RB/MYB/CCR7/FCGR2B/PTPRC/SFTPD/AIF1/BTN2A2/IL7/PCK1/TNFSF18/ADAM8/CD70/LAX1/ALOX5/VSIR/ADA/CD300A/TNFSF14/IL1B/HAVCR2/CD4/LGALS9B/ZBTB16/TNFSF4	48
BP	GO:0007159	leukocyte cell-cell adhesion	43/707	414/18903	1.53225468890953e-09	1.19720166360131e-06	1.05349230277833e-06	LGALS9/ARG1/CR1/CCDC88B/RHOH/GPNMB/SPTA1/ITGAL/FCHO1/ZMIZ1/TNFRSF14/RAG1/VAV1/PTPN6/PTPN22/LGALS1/ITGB2/IL20RB/MYB/CCR7/FCGR2B/PTPRC/SFTPD/AIF1/BTN2A2/IL7/PCK1/TNFSF18/ADAM8/CD70/LAX1/ALOX5/VSIR/ADA/LRG1/CD300A/TNFSF14/IL1B/HAVCR2/CD4/LGALS9B/ZBTB16/TNFSF4	43
BP	GO:0002697	regulation of immune effector process	40/707	379/18903	3.64290739260009e-09	2.43970712235846e-06	2.14685023633079e-06	LGALS9/ARG1/SPON2/IL1R1/C17orf99/CR1/SPI1/APOA1/TNFRSF1B/TNFRSF14/BST2/VAV1/PTPN6/PTPN22/P2RX7/CD244/ITGB2/NCF1/IL20RB/MYB/FCGR2B/PTPRC/LITAF/EPX/CD84/DDX60/ITGAM/RAET1E/PCK1/TNFSF18/AZGP1/TRIM6/ACP5/CD300A/SLAMF6/IL1B/HAVCR2/FCER2/FFAR3/TNFSF4	40
BP	GO:0019221	cytokine-mediated signaling pathway	47/707	496/18903	5.23259109436777e-09	3.06629838129951e-06	2.69822690774043e-06	TNFRSF19/ARG1/MT3/IL1R1/CSF1/CSF2RB/PLVAP/SPI1/APOA1/TRAF5/IFITM1/IL1RN/ACKR1/TNFRSF1B/TNFRSF14/PTPN6/USP18/PLP2/IL20RB/CCR7/MAPK3/CMKLR1/IFITM2/PTPRC/LILRA6/TNFAIP3/RHEX/IL7/IKBKE/STING1/TNFSF18/IFITM3/CD70/CARD16/TRIM6/IL2RB/FZD4/CXCL8/ACKR2/IL1B/CD4/CXCR3/IL5RA/LILRA2/TNFRSF18/TBKBP1/TSLP	47
BP	GO:0032943	mononuclear cell proliferation	35/707	312/18903	7.31045295150525e-09	3.80793371518407e-06	3.35083802537416e-06	LGALS9/ARG1/CR1/CSF1/CCDC88B/IKZF3/GPNMB/SPTA1/BCL2/EMP2/TNFRSF1B/TNFRSF14/PTPN6/PTPN22/P2RX7/SLC11A1/GAPT/IL20RB/FCGR2B/PTPRC/SFTPD/AIF1/BTN2A2/IL7/FCGR3A/TNFSF18/CD70/VSIR/ADA/CD300A/TNFSF14/IL1B/HAVCR2/LGALS9B/TNFSF4	35
BP	GO:0032944	regulation of mononuclear cell proliferation	30/707	243/18903	9.741027687909e-09	4.56659378009174e-06	4.01843026409636e-06	LGALS9/ARG1/CR1/CSF1/CCDC88B/IKZF3/GPNMB/SPTA1/BCL2/TNFRSF1B/TNFRSF14/PTPN6/PTPN22/IL20RB/FCGR2B/PTPRC/SFTPD/AIF1/BTN2A2/IL7/FCGR3A/TNFSF18/CD70/VSIR/ADA/CD300A/IL1B/HAVCR2/LGALS9B/TNFSF4	30
