ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006334	nucleosome assembly	51/651	121/18903	1.65624674855894e-42	7.29245443390502e-39	6.58140155348421e-39	H2BC18/H2BC14/H2BC9/H3C11/H1-3/H3C13/H1-5/H4C5/H4C6/H2BC4/H2BC10/H1-4/H2BC7/H2BC6/H4C3/H4C8/H1-2/TSPYL2/H3C14/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2BC12/H2BC13/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H1-1/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/NAP1L3/H3C12/H2BC19P/H3C15/H1-6/H4C14/H4C1	51
BP	GO:0034728	nucleosome organization	51/651	156/18903	5.55938291052654e-36	1.22389814775242e-32	1.10456160459146e-32	H2BC18/H2BC14/H2BC9/H3C11/H1-3/H3C13/H1-5/H4C5/H4C6/H2BC4/H2BC10/H1-4/H2BC7/H2BC6/H4C3/H4C8/H1-2/TSPYL2/H3C14/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2BC12/H2BC13/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H1-1/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/NAP1L3/H3C12/H2BC19P/H3C15/H1-6/H4C14/H4C1	51
BP	GO:0065004	protein-DNA complex assembly	52/651	242/18903	8.08025524324215e-27	1.18591212786651e-23	1.07027942256979e-23	H2BC18/H2BC14/H2BC9/H3C11/H1-3/H3C13/H1-5/H4C5/H4C6/H2BC4/H2BC10/H1-4/H2BC7/H2BC6/H4C3/H4C8/H1-2/HEY2/TSPYL2/H3C14/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2BC12/H2BC13/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H1-1/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/NAP1L3/H3C12/H2BC19P/H3C15/H1-6/H4C14/H4C1	52
BP	GO:0006335	DNA replication-dependent chromatin assembly	22/651	32/18903	2.15571932541685e-25	2.3729080474526e-22	2.14153696143384e-22	H3C11/H4C5/H4C6/H4C3/H4C8/H4C9/H3C1/H3C7/H3C10/H4C13/H3C3/H4C4/H4C2/H3C2/H4C15/H4C12/H3C6/H4C11/H3C8/H3C12/H4C14/H4C1	22
BP	GO:0071824	protein-DNA complex subunit organization	52/651	277/18903	6.61232797251595e-24	5.82281601259754e-21	5.25506065184162e-21	H2BC18/H2BC14/H2BC9/H3C11/H1-3/H3C13/H1-5/H4C5/H4C6/H2BC4/H2BC10/H1-4/H2BC7/H2BC6/H4C3/H4C8/H1-2/HEY2/TSPYL2/H3C14/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2BC12/H2BC13/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H1-1/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/NAP1L3/H3C12/H2BC19P/H3C15/H1-6/H4C14/H4C1	52
BP	GO:0061644	protein localization to CENP-A containing chromatin	16/651	18/18903	4.69491316246047e-22	3.44528377571891e-19	3.10935038391023e-19	H4C5/H4C6/H4C3/H2AC4/H4C8/H2AC8/H4C9/H2BC11/H4C13/H4C4/H4C2/H4C15/H4C12/H4C11/H4C14/H4C1	16
BP	GO:0006338	chromatin remodeling	52/651	373/18903	6.40736970139818e-18	4.03023554217945e-15	3.63726625906438e-15	H2BC18/H2BC14/H2BC9/H3C11/H1-3/H3C13/H1-5/H4C5/H4C6/H2BC4/H2BC10/H1-4/H2BC7/H2BC6/H4C3/H4C8/H1-2/TSPYL2/H3C14/H4C9/H2BC3/H2BC15/H2BC8/H3C1/SNAI1/H2AX/H3C7/H2BC5/H2BC11/H2BC12/H2BC13/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H1-1/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/NAP1L3/H3C12/H2BC19P/H3C15/H1-6/H4C14/H4C1	52
BP	GO:0045653	negative regulation of megakaryocyte differentiation	13/651	20/18903	5.29240657445044e-15	2.91280826841316e-12	2.62879405507242e-12	H4C5/H4C6/H4C3/H4C8/H4C9/H4C13/H4C4/H4C2/H4C15/H4C12/H4C11/H4C14/H4C1	13
BP	GO:0071459	protein localization to chromosome, centromeric region	16/651	43/18903	3.64499451143352e-13	1.78321231487131e-10	1.60933968194872e-10	H4C5/H4C6/H4C3/H2AC4/H4C8/H2AC8/H4C9/H2BC11/H4C13/H4C4/H4C2/H4C15/H4C12/H4C11/H4C14/H4C1	16
BP	GO:0071168	protein localization to chromatin	17/651	54/18903	1.57688245065081e-12	6.94301343021551e-10	6.26603289600716e-10	H1-5/H4C5/H4C6/H4C3/H2AC4/H4C8/H2AC8/H4C9/H2BC11/H4C13/H4C4/H4C2/H4C15/H4C12/H4C11/H4C14/H4C1	17
BP	GO:0045652	regulation of megakaryocyte differentiation	13/651	38/18903	2.08554916517124e-10	8.34788452204452e-08	7.53392162537936e-08	H4C5/H4C6/H4C3/H4C8/H4C9/H4C13/H4C4/H4C2/H4C15/H4C12/H4C11/H4C14/H4C1	13
BP	GO:0030219	megakaryocyte differentiation	16/651	66/18903	5.62383346518326e-10	2.06347822893349e-07	1.86227818693568e-07	H4C5/H4C6/H4C3/H4C8/H4C9/FLI1/H4C13/H4C4/H4C2/H4C15/H4C12/H4C11/MEIS1/H4C14/H4C1/MPIG6B	16
BP	GO:0032200	telomere organization	23/651	185/18903	1.05632934733393e-07	3.57770624331637e-05	3.22886096047415e-05	H3C11/H4C5/H4C6/H4C3/H4C8/H4C9/H3C1/H3C7/H3C10/H4C13/H3C3/H4C4/H4C2/H3C2/H4C15/H4C12/H3C6/H4C11/H3C8/H3C12/H4C14/H4C1/HUS1B	23
BP	GO:0045638	negative regulation of myeloid cell differentiation	16/651	95/18903	1.43469722683231e-07	4.5121227783876e-05	4.07216694082102e-05	H4C5/H4C6/H4C3/H4C8/H4C9/H4C13/H4C4/H4C2/H4C15/H4C12/H4C11/MEIS1/MAFB/H4C14/H4C1/DLL1	16
BP	GO:0002227	innate immune response in mucosa	9/651	28/18903	2.47636355852949e-07	7.26895249880357e-05	6.5601911813676e-05	H2BC4/H2BC10/H2BC7/H2BC6/H2BC8/H2BC11/H2BC12/H2BC21/NOS2	9
BP	GO:0034502	protein localization to chromosome	17/651	115/18903	4.12301314951991e-07	0.000113460168108351	0.000102397201575248	H1-5/H4C5/H4C6/H4C3/H2AC4/H4C8/H2AC8/H4C9/H2BC11/H4C13/H4C4/H4C2/H4C15/H4C12/H4C11/H4C14/H4C1	17
BP	GO:0009409	response to cold	11/651	53/18903	1.51660376309853e-06	0.000392800374642519	0.000354500260414671	HSPA2/PRKACA/VGF/FOXO1/ADRB3/SLC25A27/SAXO1/ADRB2/ADM/TRPM8/LPL	11
BP	GO:0002385	mucosal immune response	9/651	39/18903	5.41212006012948e-06	0.00132386470137501	0.00119478089046718	H2BC4/H2BC10/H2BC7/H2BC6/H2BC8/H2BC11/H2BC12/H2BC21/NOS2	9
BP	GO:0009266	response to temperature stimulus	20/651	186/18903	6.8758315088121e-06	0.00159338348069998	0.00143802016320031	HSPA2/HSPA1B/HSPA1A/PRKACA/PRDM12/VGF/FOXO1/NTRK1/ADRB3/TRPM3/SLC25A27/SAXO1/ADRB2/MMP24/ADM/TRPM8/CXCR4/LPL/HSP90AA4P/CRNN	20
