ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05140	Leishmaniasis	14/323	77/8388	1.11047081859281e-06	0.000243511284421073	0.000208893366294909	9103/2212/1378/4689/5777/3689/653361/5595/2215/3684/2214/5603/7097/3553	14
hsa04380	Osteoclast differentiation	18/323	128/8388	1.73317640157348e-06	0.000243511284421073	0.000208893366294909	9103/3554/2212/1435/4689/6688/5295/3937/653361/5595/2213/79168/2215/2214/5603/54/3553/11027	18
hsa05150	Staphylococcus aureus infection	12/323	96/8388	0.000295552973874119	0.0232352090294103	0.0199320579424422	3860/9103/2212/3683/3880/3689/2213/2215/3684/2214/719/3866	12
hsa04060	Cytokine-cytokine receptor interaction	24/323	295/8388	0.000417592861996087	0.0232352090294103	0.0199320579424422	55504/3554/1435/1439/3557/7133/8764/53833/1236/3574/8995/970/3560/3576/8743/8740/3553/4050/920/2833/3568/8784/85480/7292	24
hsa04015	Rap1 signaling pathway	19/323	210/8388	0.0004566517700234	0.0232352090294103	0.0199320579424422	999/1435/5909/5295/2324/3937/3683/5228/7409/3689/5595/3684/5330/51378/10636/5603/1813/54518/1944	19
hsa05146	Amoebiasis	12/323	102/8388	0.000519977320341797	0.0232352090294103	0.0199320579424422	383/3554/3914/5295/2769/3315/3689/3684/5330/3576/7097/3553	12
hsa05144	Malaria	8/323	50/8388	0.000578813036319829	0.0232352090294103	0.0199320579424422	4035/1378/3683/2532/3689/3576/7097/3553	8
hsa04514	Cell adhesion molecules	15/323	157/8388	0.00102958838248911	0.03616429193493	0.031023123630264	999/5792/3683/3689/5788/5010/5818/3684/64115/9672/1366/920/9369/3385/4359	15
hsa04666	Fc gamma R-mediated phagocytosis	11/323	97/8388	0.00120031601337154	0.0374765333063781	0.0321488148610623	2212/5295/5337/7409/653361/5595/2213/5788/2215/2214/653857	11
hsa04670	Leukocyte transendothelial migration	12/323	114/8388	0.00140791616894305	0.0390429895705186	0.0334925814259178	4689/399/5295/3683/7409/3689/653361/5010/3684/5603/1366/3702	12
hsa05152	Tuberculosis	16/323	180/8388	0.00152837325720891	0.0390429895705186	0.0334925814259178	9103/2212/1378/9902/1520/596/3689/5595/2213/2215/10333/3684/2214/5603/7097/3553	16
hsa04650	Natural killer cell mediated cytotoxicity	13/323	132/8388	0.00166846083356773	0.0390697911860443	0.0335155728848254	5295/3937/3683/7409/5777/51744/3689/5595/2215/2214/135250/8743/53358	13
hsa04510	Focal adhesion	17/323	203/8388	0.00210201472673945	0.0412122228638567	0.0353534333613905	91807/3914/7148/5295/2324/596/5228/2013/7409/5595/56924/1298/1299/1101/53358/340156/6696	17
hsa04145	Phagosome	14/323	152/8388	0.00212684419628544	0.0412122228638567	0.0353534333613905	9103/2212/9902/4689/1520/3689/653361/2213/6441/2215/10333/3684/2214/7097	14
hsa00590	Arachidonic acid metabolism	8/323	61/8388	0.00219994072226993	0.0412122228638567	0.0353534333613905	27306/242/3248/240/59344/4051/9536/2678	8
hsa04071	Sphingolipid signaling pathway	12/323	121/8388	0.00234736249990394	0.041225553904563	0.0353648692419739	8698/2206/5295/596/5337/5595/4846/5330/123099/5603/79603/2205	12
hsa04613	Neutrophil extracellular trap formation	16/323	190/8388	0.00266275152471401	0.0440137163790962	0.0377566624866568	2212/1378/4689/5295/51564/3683/3689/653361/5595/2215/3684/2214/5330/5603/7097/23569	16
hsa04929	GnRH secretion	8/323	64/8388	0.00299281609939722	0.0467211846628122	0.0400792331439745	5295/8912/3783/5595/5330/8911/3780/6696	8
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	5/323	27/8388	0.00329399500278359	0.0487164524095888	0.0417908507278361	28/8706/2523/2651/6489	5
hsa05130	Pathogenic Escherichia coli infection	16/323	197/8388	0.0038163791289408	0.0511864172288764	0.0439096817584293	3554/2212/5777/5595/5010/64005/7456/4542/27128/5603/3576/653857/8743/1366/4645/3553	16
hsa05417	Lipid and atherosclerosis	17/323	215/8388	0.00382531943703347	0.0511864172288764	0.0439096817584293	19/4689/5295/335/596/7409/653361/5595/4846/10333/9641/5330/5603/3576/8743/7097/3553	17
hsa04664	Fc epsilon RI signaling pathway	8/323	68/8388	0.0043771125631409	0.055907665011027	0.0479597500937448	2206/5295/3937/7409/5595/240/5603/2205	8
hsa04640	Hematopoietic cell lineage	10/323	99/8388	0.00465351481934003	0.0568538114884587	0.0487713910127628	3554/1378/1435/951/3574/3684/3553/920/3568/2208	10
hsa04061	Viral protein interaction with cytokine and cytokine receptor	10/323	100/8388	0.00499914713979954	0.0585316810951529	0.0502107322374603	1435/7133/8764/53833/1236/3560/3576/8743/8740/2833	10
hsa04660	T cell receptor signaling pathway	10/323	104/8388	0.00658770665262175	0.0740458227754685	0.0635193609873844	5295/3937/7409/5777/5595/5788/56924/5603/920/3702	10
hsa02010	ABC transporters	6/323	45/8388	0.00713780217144639	0.0752376955353707	0.0645417953834048	19/340273/9429/85320/24/5244	6
hsa04371	Apelin signaling pathway	12/323	139/8388	0.00722924476674381	0.0752376955353707	0.0645417953834048	91807/187/999/4635/53632/6263/2793/5595/4846/5330/340156/6696	12
hsa04611	Platelet activation	11/323	124/8388	0.0081514109241975	0.0818052310606964	0.0701756805128281	91807/2212/5295/3937/5595/4846/5330/5603/54518/340156/6915	11
hsa04151	PI3K-Akt signaling pathway	23/323	354/8388	0.00961444412483653	0.0931606482441057	0.0799167950848481	1435/3914/7148/5295/2324/596/5228/2793/1021/4602/5595/4846/3574/51378/5105/3560/84699/1298/7097/1299/1101/6696/1944	23
hsa04668	TNF signaling pathway	10/323	114/8388	0.0122769182447801	0.114993800892774	0.0986461150194614	1435/5295/7188/7133/5595/7128/197259/84699/5603/3553	10
hsa04979	Cholesterol metabolism	6/323	51/8388	0.0130264506056772	0.118078471619203	0.101292264471989	4035/19/255738/335/6770/341	6
hsa04662	B cell receptor signaling pathway	8/323	84/8388	0.0152270660387559	0.133481254164927	0.114505365063751	5295/8519/7409/5777/5595/2213/79168/11027	8
hsa05135	Yersinia infection	11/323	137/8388	0.0164534863944013	0.133481254164927	0.114505365063751	2212/5295/3937/7409/5595/7456/5603/3576/653857/3553/920	11
hsa05142	Chagas disease	9/323	102/8388	0.0165023531830258	0.133481254164927	0.114505365063751	5295/2769/5595/10333/5330/5603/3576/7097/3553	9
hsa05170	Human immunodeficiency virus 1 infection	15/323	212/8388	0.0167726967800375	0.133481254164927	0.114505365063751	8945/5295/200315/596/7188/2793/7133/684/5595/56924/340061/164668/5603/7097/920	15
hsa04974	Protein digestion and absorption	9/323	103/8388	0.0174927578978078	0.133481254164927	0.114505365063751	340024/1360/91522/3783/5222/1298/1299/81578/480	9
hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series	3/323	15/8388	0.0182401491208028	0.133481254164927	0.114505365063751	8706/2523/6489	3
hsa04064	NF-kappa B signaling pathway	9/323	104/8388	0.0185258680157728	0.133481254164927	0.114505365063751	3554/596/7188/7128/3576/8740/3553/4050/128178	9
hsa04620	Toll-like receptor signaling pathway	9/323	104/8388	0.0185258680157728	0.133481254164927	0.114505365063751	5295/5595/10333/9641/5603/3576/7097/3553/6696	9
hsa05134	Legionellosis	6/323	57/8388	0.0216860356510388	0.152344400448548	0.130686899054944	1378/3689/3684/3576/7097/3553	6
hsa04020	Calcium signaling pathway	16/323	240/8388	0.0228546909313282	0.156063383789103	0.133877186318429	493/91807/2324/2769/8912/6263/5025/5027/80228/4846/5330/491/8911/5026/340156/6915	16
hsa04360	Axon guidance	13/323	182/8388	0.0233261997122503	0.156063383789103	0.133877186318429	54910/5295/10154/81029/2050/5998/5595/56924/10501/6092/9423/22885/1944	13
hsa04970	Salivary secretion	8/323	93/8388	0.0264912375657895	0.169182676272429	0.145131421114014	493/6263/3783/277/5330/491/4069/480	8
hsa05323	Rheumatoid arthritis	8/323	93/8388	0.0264912375657895	0.169182676272429	0.145131421114014	1435/3683/3689/54/3576/7097/3553/4050	8
hsa04621	NOD-like receptor signaling pathway	13/323	186/8388	0.0272795471631598	0.170345616729953	0.146129036265815	596/7205/7188/5027/5595/7128/9641/5330/340061/114769/5603/3576/3553	13
hsa05132	Salmonella infection	16/323	249/8388	0.0308218011736524	0.188281002821659	0.161514701802435	57381/147700/399/79026/596/5595/5788/197259/10333/27128/5603/3576/653857/8743/7097/3553	16
hsa04973	Carbohydrate digestion and absorption	5/323	47/8388	0.0335645051884723	0.200672892722568	0.172144942623968	5295/277/5330/6518/480	5
hsa04925	Aldosterone synthesis and secretion	8/323	98/8388	0.0347773057045933	0.202318824069174	0.173556885978051	493/8912/6770/5330/491/84699/8911/480	8
hsa04261	Adrenergic signaling in cardiomyocytes	11/323	154/8388	0.0352797949444466	0.202318824069174	0.173556885978051	493/4635/93589/596/4625/5595/5330/491/84699/5603/480	11
hsa04933	AGE-RAGE signaling pathway in diabetic complications	8/323	100/8388	0.0385345423856504	0.216564128207355	0.18577705697503	5295/596/5595/4846/5330/5603/3576/3553	8
hsa04915	Estrogen signaling pathway	10/323	138/8388	0.040068020778241	0.220766938013445	0.189382389230489	3860/5295/596/3880/5595/4846/5330/84699/53358/3866	10
hsa05221	Acute myeloid leukemia	6/323	67/8388	0.0434866143684894	0.234994973798952	0.201587746768908	6688/5295/5595/3684/8900/7704	6
hsa00220	Arginine biosynthesis	3/323	22/8388	0.0506868783480629	0.268518436082854	0.230345464929663	383/2875/4846	3
hsa04961	Endocrine and other factor-regulated calcium reabsorption	5/323	53/8388	0.0522309061674098	0.268518436082854	0.230345464929663	793/493/5330/491/480	5
hsa05143	African trypanosomiasis	4/323	37/8388	0.0525569892688859	0.268518436082854	0.230345464929663	8542/335/5330/3553	4
hsa04931	Insulin resistance	8/323	108/8388	0.0562456710042461	0.276313714787922	0.237032555483927	5295/53632/5792/51085/9882/4846/5105/84699	8
hsa04964	Proximal tubule bicarbonate reclamation	3/323	23/8388	0.0566846578705708	0.276313714787922	0.237032555483927	358/5105/480	3
hsa05340	Primary immunodeficiency	4/323	38/8388	0.0570327240487527	0.276313714787922	0.237032555483927	5896/5788/100/920	4
hsa04072	Phospholipase D signaling pathway	10/323	148/8388	0.0593041298318144	0.282448482758302	0.242295195923024	2206/5295/5337/1606/5595/5330/27128/3576/53358/2205	10
hsa04926	Relaxin signaling pathway	9/323	129/8388	0.0607158516496343	0.284352571892454	0.243928596978356	5295/2769/2793/5595/4846/5330/84699/5603/53358	9
hsa04068	FoxO signaling pathway	9/323	131/8388	0.0656191995234182	0.302115438851059	0.259166268952585	8698/5295/53632/9454/5896/5595/5105/5603/8743	9
hsa04062	Chemokine signaling pathway	12/323	192/8388	0.0669528042972825	0.302115438851059	0.259166268952585	5295/2793/57580/7409/653361/1236/5595/5330/3576/2833/53358/3702	12
hsa05202	Transcriptional misregulation in cancer	12/323	193/8388	0.0690481316416088	0.302115438851059	0.259166268952585	6688/3248/4613/30012/7102/3684/3560/7490/3576/8900/3195/7704	12
hsa04725	Cholinergic synapse	8/323	113/8388	0.0695805673553929	0.302115438851059	0.259166268952585	5295/596/2793/9132/5595/56479/5330/84699	8
hsa04657	IL-17 signaling pathway	7/323	94/8388	0.0698843541826293	0.302115438851059	0.259166268952585	7188/5595/7128/9641/5603/3576/3553	7
hsa05133	Pertussis	6/323	76/8388	0.071883325822926	0.306048705397609	0.262540376610049	3689/5595/3684/5603/3576/3553	6
hsa04370	VEGF signaling pathway	5/323	59/8388	0.0758993407087792	0.318324100584582	0.273070683775498	5295/3315/5595/4846/5603	5
hsa04978	Mineral absorption	5/323	60/8388	0.080326084395324	0.331935731104207	0.284747265116551	493/340024/9843/491/480	5
hsa04975	Fat digestion and absorption	4/323	43/8388	0.0823362516826643	0.334025000691787	0.2865395211029	19/335/29881/84649	4
hsa04750	Inflammatory mediator regulation of TRP channels	7/323	98/8388	0.0832090749054273	0.334025000691787	0.2865395211029	3554/5295/5583/5330/5603/5029/3553	7
hsa05162	Measles	9/323	139/8388	0.0876800029572565	0.345770974469222	0.296615670175883	5295/596/1021/2213/7128/9641/3560/7097/3553	9
hsa00561	Glycerolipid metabolism	5/323	62/8388	0.0895834420407263	0.345770974469222	0.296615670175883	1606/64900/80339/196051/84649	5
hsa05169	Epstein-Barr virus infection	12/323	202/8388	0.0898266232606877	0.345770974469222	0.296615670175883	5295/596/3683/7188/1021/7128/9641/5603/7097/2208/956/8900	12
hsa05131	Shigellosis	14/323	247/8388	0.095094946843823	0.361103784636679	0.309768745764374	3554/8945/5295/596/55062/7188/5595/5330/340061/27128/5603/3576/653857/3553	14
hsa04744	Phototransduction	3/323	29/8388	0.0990433733499302	0.371082505484405	0.318328877152758	5148/5145/2986	3
hsa04927	Cortisol synthesis and secretion	5/323	65/8388	0.104455656012661	0.38621104394155	0.331306720594174	8912/6770/5330/84699/8911	5
hsa04022	cGMP-PKG signaling pathway	10/323	167/8388	0.110346502277812	0.402693079741107	0.345445646228558	493/91807/4625/5595/4846/5330/491/84699/340156/480	10
hsa04928	Parathyroid hormone synthesis, secretion and action	7/323	106/8388	0.113914623558329	0.41022894893674	0.351910205306288	596/5141/5337/5595/5330/84699/4324	7
hsa05310	Asthma	3/323	31/8388	0.115331270341646	0.41022894893674	0.351910205306288	2206/8288/2205	3
hsa00230	Purine metabolism	8/323	128/8388	0.12026397724308	0.422427220066318	0.362374352482438	5148/5141/100/5145/2986/956/5152/9615	8
hsa04920	Adipocytokine signaling pathway	5/323	69/8388	0.126043831292577	0.432744379378383	0.371224809431165	23305/51703/53632/7133/5105	5
hsa04512	ECM-receptor interaction	6/323	89/8388	0.127821293553045	0.432744379378383	0.371224809431165	3914/7148/1298/1299/1101/6696	6
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	6/323	89/8388	0.127821293553045	0.432744379378383	0.371224809431165	5295/5777/5595/5603/7097/920	6
hsa04622	RIG-I-like receptor signaling pathway	5/323	71/8388	0.137549370707985	0.460135394868378	0.394721878347476	9641/340061/5603/3576/9755	5
hsa04710	Circadian rhythm	3/323	34/8388	0.14146993449185	0.46768295990835	0.401196470571313	8945/53632/1628	3
hsa04934	Cushing syndrome	9/323	155/8388	0.143455907038846	0.468733835789719	0.402097952409985	8912/81029/6770/1021/5595/5330/84699/8322/8911	9
hsa04218	Cellular senescence	9/323	156/8388	0.14743683972384	0.473657823575414	0.406321938935268	8945/5295/678/1021/5595/5603/3576/144715/8900	9
hsa04520	Adherens junction	6/323	93/8388	0.148334122685539	0.473657823575414	0.406321938935268	999/5792/5787/5777/5595/5818	6
hsa00061	Fatty acid biosynthesis	2/323	18/8388	0.151118019758552	0.47712543317026	0.409296588110094	23305/51703	2
hsa05163	Human cytomegalovirus infection	12/323	225/8388	0.158642301247879	0.495316518340599	0.424901602172681	3554/5295/7188/2793/1021/5595/5330/340061/84699/5603/3576/3553	12
hsa05212	Pancreatic cancer	5/323	76/8388	0.16821152823712	0.514348179148323	0.441227694418303	9459/5295/5337/1021/5595	5
hsa04960	Aldosterone-regulated sodium reabsorption	3/323	37/8388	0.169359680352219	0.514348179148323	0.441227694418303	5295/5595/480	3
hsa04713	Circadian entrainment	6/323	97/8388	0.170229112671865	0.514348179148323	0.441227694418303	8912/6263/2793/5595/5330/8911	6
hsa05161	Hepatitis B	9/323	162/8388	0.172455905306496	0.515533078628993	0.442244146866602	5295/596/5595/9641/84699/5603/3576/7097/8900	9
hsa01522	Endocrine resistance	6/323	98/8388	0.175904332526198	0.520306499366964	0.446338971174508	5295/596/5595/5603/53358/638	6
hsa04010	MAPK signaling pathway	15/323	302/8388	0.187762033714148	0.549595119517455	0.471463878514692	3554/93589/1435/2324/8912/3315/5228/5595/51378/5603/11184/5801/3553/8911/1944	15
hsa04630	JAK-STAT signaling pathway	9/323	166/8388	0.190159493935711	0.550874410267368	0.472561303432206	1439/5295/596/5777/53833/3574/3560/3568/85480	9
hsa04972	Pancreatic secretion	6/323	102/8388	0.199347753102546	0.566030395002989	0.485562691349259	493/1360/277/5330/491/480	6
hsa05416	Viral myocarditis	4/323	60/8388	0.199419961228811	0.566030395002989	0.485562691349259	3683/4625/3689/6445	4
hsa05224	Breast cancer	8/323	147/8388	0.205743105058056	0.574938647375634	0.493204533616858	5295/2324/81029/1021/5595/388585/8322/53358	8
hsa00340	Histidine metabolism	2/323	22/8388	0.207002839361462	0.574938647375634	0.493204533616858	221/10841	2
hsa05219	Bladder cancer	3/323	41/8388	0.20869659086233	0.574938647375634	0.493204533616858	999/5595/3576	3
hsa05164	Influenza A	9/323	171/8388	0.213345181500386	0.58203879613212	0.49929531490637	5295/1021/5595/23430/9641/3576/56649/8743/3553	9
hsa03250	Viral life cycle - HIV-1	4/323	63/8388	0.223801813147351	0.604695283600055	0.518730923185662	200315/684/164668/920	4
hsa04012	ErbB signaling pathway	5/323	85/8388	0.229170603798434	0.61330418730819	0.526115972629989	5295/5595/56924/145957/53358	5
hsa04911	Insulin secretion	5/323	86/8388	0.236316293861026	0.621064839837858	0.532773359516275	3783/5330/84699/3780/480	5
hsa04659	Th17 cell differentiation	6/323	108/8388	0.236490882073491	0.621064839837858	0.532773359516275	3554/5595/3560/5603/3553/920	6
hsa04921	Oxytocin signaling pathway	8/323	154/8388	0.242133382982443	0.629995190908024	0.540434158898436	91807/93589/53632/6263/5595/4846/5330/340156	8
hsa04142	Lysosome	7/323	132/8388	0.246179169915453	0.632456890102491	0.542545899357447	1520/2581/1510/6556/9516/54/22901	7
hsa04080	Neuroactive ligand-receptor interaction	17/323	367/8388	0.248509042709071	0.632456890102491	0.542545899357447	8698/4922/344838/187/286530/5746/399967/5025/5027/1813/1145/2696/719/5029/5026/1269/6915	17
hsa04024	cAMP signaling pathway	11/323	225/8388	0.249831725271802	0.632456890102491	0.542545899357447	493/5295/5141/5337/7409/5595/491/84699/1813/2696/480	11
hsa04390	Hippo signaling pathway	8/323	157/8388	0.258359025744371	0.641017101968282	0.549889179062509	999/8945/81029/3689/8322/286204/23418/7005	8
hsa05160	Hepatitis C	8/323	157/8388	0.258359025744371	0.641017101968282	0.549889179062509	439996/5295/1021/5595/5010/9641/1366/3434	8
hsa05145	Toxoplasmosis	6/323	112/8388	0.26234957799389	0.641017101968282	0.549889179062509	3914/596/5595/240/5603/7097	6
hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	2/323	26/8388	0.264619159531391	0.641017101968282	0.549889179062509	2822/5279	2
hsa04950	Maturity onset diabetes of the young	2/323	26/8388	0.264619159531391	0.641017101968282	0.549889179062509	3172/2494	2
hsa04810	Regulation of actin cytoskeleton	11/323	229/8388	0.267947004449642	0.642686719952445	0.551321441727327	91807/9459/5295/3683/7409/3689/5595/3684/56924/653857/340156	11
hsa04210	Apoptosis	7/323	136/8388	0.269882679552984	0.642686719952445	0.551321441727327	1439/6708/5295/1520/596/5595/8743	7
hsa05222	Small cell lung cancer	5/323	92/8388	0.280357013684045	0.66201950290098	0.567905848152555	3914/5295/596/7188/1021	5
hsa04917	Prolactin signaling pathway	4/323	70/8388	0.283233813918439	0.663239180925678	0.568952134976513	5295/5595/5603/53358	4
hsa05418	Fluid shear stress and atherosclerosis	7/323	139/8388	0.288049593022938	0.665895745321827	0.571231038316908	3554/5295/596/653361/4846/5603/3553	7
hsa05165	Human papillomavirus infection	15/323	331/8388	0.2940380447326	0.665895745321827	0.571231038316908	3914/7148/5295/81029/1021/5595/388585/9641/84699/1298/8322/1299/1101/8900/6696	15
hsa04014	Ras signaling pathway	11/323	236/8388	0.300616209594564	0.665895745321827	0.571231038316908	1435/5295/2324/5337/5228/2793/5595/56924/51378/53358/1944	11
hsa05218	Melanoma	4/323	72/8388	0.300664373339075	0.665895745321827	0.571231038316908	999/5295/1021/5595	4
hsa00330	Arginine and proline metabolism	3/323	50/8388	0.302602702908209	0.665895745321827	0.571231038316908	383/4846/112817	3
hsa00565	Ether lipid metabolism	3/323	50/8388	0.302602702908209	0.665895745321827	0.571231038316908	5337/255043/5168	3
hsa04936	Alcoholic liver disease	7/323	142/8388	0.306494725298655	0.665895745321827	0.571231038316908	53632/9641/64900/5603/3576/719/3553	7
hsa04722	Neurotrophin signaling pathway	6/323	119/8388	0.309176486050078	0.665895745321827	0.571231038316908	4145/5295/596/5595/5603/53358	6
hsa04935	Growth hormone synthesis, secretion and action	6/323	120/8388	0.315990030836434	0.665895745321827	0.571231038316908	5295/5595/5330/84699/5603/53358	6
hsa01523	Antifolate resistance	2/323	30/8388	0.322288059062777	0.665895745321827	0.571231038316908	9429/3553	2
hsa04152	AMPK signaling pathway	6/323	121/8388	0.32282722331404	0.665895745321827	0.571231038316908	5295/53632/3172/5105/84699/8900	6
hsa04919	Thyroid hormone signaling pathway	6/323	121/8388	0.32282722331404	0.665895745321827	0.571231038316908	5295/4625/9882/5595/5330/480	6
hsa00920	Sulfur metabolism	1/323	10/8388	0.324903097124647	0.665895745321827	0.571231038316908	58472	1
hsa04814	Motor proteins	9/323	193/8388	0.326155320990007	0.665895745321827	0.571231038316908	4635/147700/4625/84700/22989/64005/4542/4645/64446	9
hsa03320	PPAR signaling pathway	4/323	75/8388	0.327023533289723	0.665895745321827	0.571231038316908	23305/51703/335/5105	4
hsa04623	Cytosolic DNA-sensing pathway	4/323	75/8388	0.327023533289723	0.665895745321827	0.571231038316908	197259/9641/340061/3553	4
hsa04918	Thyroid hormone synthesis	4/323	75/8388	0.327023533289723	0.665895745321827	0.571231038316908	432/5330/84699/480	4
hsa05214	Glioma	4/323	75/8388	0.327023533289723	0.665895745321827	0.571231038316908	5295/1021/5595/53358	4
hsa00600	Sphingolipid metabolism	3/323	53/8388	0.334576802866302	0.669310955397637	0.574160737164484	2581/123099/79603	3
hsa04971	Gastric acid secretion	4/323	76/8388	0.335846422459313	0.669310955397637	0.574160737164484	91807/5330/340156/480	4
hsa05220	Chronic myeloid leukemia	4/323	76/8388	0.335846422459313	0.669310955397637	0.574160737164484	5295/1021/5595/53358	4
hsa05100	Bacterial invasion of epithelial cells	4/323	77/8388	0.344679373726455	0.671205787572035	0.575786197242915	999/5295/653857/53358	4
hsa04916	Melanogenesis	5/323	101/8388	0.348899962739763	0.671205787572035	0.575786197242915	81029/5595/5330/84699/8322	5
hsa05226	Gastric cancer	7/323	149/8388	0.350335157913073	0.671205787572035	0.575786197242915	999/5295/596/81029/5595/8322/53358	7
hsa04136	Autophagy - other	2/323	32/8388	0.350743076847943	0.671205787572035	0.575786197242915	55062/285973	2
hsa04215	Apoptosis - multiple species	2/323	32/8388	0.350743076847943	0.671205787572035	0.575786197242915	596/666	2
hsa05166	Human T-cell leukemia virus 1 infection	10/323	222/8388	0.351284378460985	0.671205787572035	0.575786197242915	3554/6688/5295/3683/3689/5595/3560/84699/920/8900	10
hsa00980	Metabolism of xenobiotics by cytochrome P450	4/323	78/8388	0.353517639005912	0.671205787572035	0.575786197242915	27306/221/1645/29785	4
hsa01521	EGFR tyrosine kinase inhibitor resistance	4/323	79/8388	0.362356584970058	0.683370472326083	0.586221532731497	5295/596/5595/53358	4
