ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	entrezID
IFIT1B	-5.166732588	7.318732499	-41.56957462	5.63e-08	0.001544137	7.875726586	439996
TNS1	-3.646198952	12.04510023	-29.45104241	3.59e-07	0.003490126	6.952341275	7145
EPCAM	-3.275257328	9.788580345	-28.30631856	4.44e-07	0.003490126	6.822600802	4072
TRIM10	-2.923279976	12.06868745	-25.98773816	7.03e-07	0.003490126	6.526386297	10107
EVPL	-2.843052814	8.496765013	-24.38390325	9.88e-07	0.003490126	6.291144894	2125
LRP1	-3.43477616	10.07834037	-23.42687434	1.22e-06	0.003490126	6.137127813	4035
CALB1	-3.663941507	10.19281666	-23.0938995	1.32e-06	0.003490126	6.080931482	793
PLXND1	-3.750846046	8.680854519	-22.18601339	1.64e-06	0.003490126	5.92037835	23129
HEPACAM2	-3.876808956	4.583950458	-21.85241408	1.78e-06	0.003490126	5.858552349	253012
ACSL6	-2.651000914	8.200905536	-20.94199415	2.23e-06	0.003490126	5.681529609	23305
BTNL10	-2.424946444	8.191291192	-20.54323394	2.47e-06	0.003490126	5.599961451	NA
AQP1	-2.738403568	7.0350459	-20.0683668	2.8e-06	0.003490126	5.499427254	358
KRT13	-4.138913456	8.525004188	-19.62390784	3.16e-06	0.003490126	5.401833194	3860
ZDHHC11B	-2.813380409	9.470037627	-19.25446502	3.49e-06	0.003490126	5.318022736	653082
S1PR4	-3.503663015	5.763774865	-19.20476499	3.54e-06	0.003490126	5.306556164	8698
SLC14A1	-2.926582773	9.380243728	-19.10434687	3.64e-06	0.003490126	5.283246847	6563
TNFRSF19	-2.285241217	7.077935726	-18.94304375	3.81e-06	0.003490126	5.245404764	55504
FAM178B	-5.759944655	8.03776855	-18.91186476	3.84e-06	0.003490126	5.23803266	51252
MS4A2	-4.175972262	5.680404569	-18.077257	4.89e-06	0.003490126	5.033523868	2206
SEC14L3	-3.395045102	6.648625736	-18.05089697	4.93e-06	0.003490126	5.026832317	266629
FCGR2C	-3.032902136	4.822738814	-17.85297567	5.22e-06	0.003490126	4.976117659	9103
ATP2B4	-2.170779919	10.66929218	-17.72358861	5.43e-06	0.003490126	4.942508001	493
LTBP3	-2.08989075	9.381461199	-17.60022238	5.64e-06	0.003490126	4.910121097	4054
LGALS9	-2.975926085	6.923269455	-17.57808309	5.67e-06	0.003490126	4.904273341	3965
MIAT	-2.31045987	9.61262665	-17.52747908	5.76e-06	0.003490126	4.890866089	440823
OR52A5	-3.005213951	5.302900121	-17.49534427	5.82e-06	0.003490126	4.882322437	390054
ENG	-2.647518018	9.104557287	-17.18815721	6.39e-06	0.003490126	4.799469442	2022
SPTBN2	-2.494222811	9.707938237	-17.10209707	6.57e-06	0.003490126	4.775868084	6712
SLC2A14	-2.26122391	7.320563824	-16.93141707	6.92e-06	0.003490126	4.728545259	144195
ABCC13	-2.522472591	7.753801307	-16.88873894	7.02e-06	0.003490126	4.716604067	150000
RNASE1	-3.170828143	6.518507945	-16.8566782	7.09e-06	0.003490126	4.707604843	6035
LRRN2	-1.969545161	7.85853292	-16.71538677	7.41e-06	0.003490126	4.667649162	10446
MYLK3	-2.134109715	4.803132977	-16.70680662	7.43e-06	0.003490126	4.665207132	91807
ITLN1	-3.310979987	8.303178063	-16.66823508	7.53e-06	0.003490126	4.654206842	55600
RYR3-DT	-2.133917213	7.059146647	-16.66469736	7.53e-06	0.003490126	4.653196084	101928134
ODAD4	-2.275802649	10.7026039	-16.63149405	7.61e-06	0.003490126	4.643694565	83538
PDE6G	-3.17259291	3.309604789	-16.58798596	7.72e-06	0.003490126	4.631202973	5148
