ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-3214815	HDACs deacetylate histones	47/137	94/10899	7.21753548343383e-67	3.25510850302866e-64	2.43876725282343e-64	H3C13/H4C5/H3C1/H2BC10/H2AC12/H2AC8/H2AC11/H4C13/H2AC13/H2AC19/H2AC18/H2BC18/H2AC21/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H2AC15/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2AC16/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H2AC17/H3C15	47
R-HSA-9610379	HCMV Late Events	47/137	116/10899	2.8423310932379e-61	6.40945661525147e-59	4.80204358383877e-59	H3C13/H4C5/H3C1/H2BC10/H2AC12/H2AC8/H2AC11/H4C13/H2AC13/H2AC19/H2AC18/H2BC18/H2AC21/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H2AC15/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2AC16/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H2AC17/H3C15	47
R-HSA-73728	RNA Polymerase I Promoter Opening	39/137	63/10899	2.51157786336097e-60	3.77573872125266e-58	2.82882980399604e-58	H3C13/H4C5/H3C1/H2BC10/H2AC8/H4C13/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H3C15	39
R-HSA-5334118	DNA methylation	39/137	65/10899	1.57919120608268e-59	1.78053808485822e-57	1.33400099250669e-57	H3C13/H4C5/H3C1/H2BC10/H2AC8/H4C13/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H3C15	39
R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	39/137	67/10899	9.07482904283299e-59	8.18549579663536e-57	6.1326739426303e-57	H3C13/H4C5/H3C1/H2BC10/H2AC8/H4C13/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H3C15	39
R-HSA-427359	SIRT1 negatively regulates rRNA expression	39/137	68/10899	2.10912478091772e-58	1.58535879365649e-56	1.18777027135893e-56	H3C13/H4C5/H3C1/H2BC10/H2AC8/H4C13/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H3C15	39
R-HSA-68616	Assembly of the ORC complex at the origin of replication	39/137	69/10899	4.80820185539656e-58	3.09785576683407e-56	2.3209515723042e-56	H3C13/H4C5/H3C1/H2BC10/H2AC8/H4C13/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H3C15	39
R-HSA-9609690	HCMV Early Events	47/137	135/10899	1.77896721095344e-57	1.002892765175e-55	7.5137957199481e-56	H3C13/H4C5/H3C1/H2BC10/H2AC12/H2AC8/H2AC11/H4C13/H2AC13/H2AC19/H2AC18/H2BC18/H2AC21/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H2AC15/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2AC16/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H2AC17/H3C15	47
R-HSA-212300	PRC2 methylates histones and DNA	39/137	73/10899	1.08917326273684e-56	4.91217141494316e-55	3.68025912987923e-55	H3C13/H4C5/H3C1/H2BC10/H2AC8/H4C13/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H3C15	39
R-HSA-9710421	Defective pyroptosis	39/137	73/10899	1.08917326273684e-56	4.91217141494316e-55	3.68025912987923e-55	H3C13/H4C5/H3C1/H2BC10/H2AC8/H4C13/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H3C15	39
