ID	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-73728	HDACs deacetylate histones	RNA Polymerase I Promoter Opening	48/808	63/10899	6.48E-42	7.78E-39	6.88E-39	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/MAPK3/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	48
R-HSA-5625886	RHO GTPases activate PKNs	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	48/808	67/10899	9.63E-40	5.78E-37	5.12E-37	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/KLK3/H4C1	48
R-HSA-5334118	DNA methylation	DNA methylation	47/808	65/10899	3.04E-39	1.22E-36	1.08E-36	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-427359	PRC2 methylates histones and DNA	SIRT1 negatively regulates rRNA expression	47/808	68/10899	9.25E-38	2.78E-35	2.46E-35	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-68616	Condensation of Prophase Chromosomes	Assembly of the ORC complex at the origin of replication	47/808	69/10899	2.70E-37	6.49E-35	5.74E-35	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-3214815		HDACs deacetylate histones	54/808	94/10899	6.07E-37	1.22E-34	1.07E-34	H2BC18/H2BC14/H2AC15/H2BC9/H3C11/H2AC12/H3C13/H4C5/H2AC11/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2AC17/H2BC3/H2AC13/H2BC15/H2BC8/H3C1/H2AC21/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H2AC16/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	54
R-HSA-9616222		Transcriptional regulation of granulopoiesis	52/808	90/10899	8.75E-36	1.50E-33	1.33E-33	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/SPI1/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/FLI1/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/MYB/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/KLF5/H3C8/H3C12/H2AC20/CEBPA/H3C15/H4C14/H4C1	52
R-HSA-212300		PRC2 methylates histones and DNA	47/808	73/10899	1.48E-35	1.97E-33	1.75E-33	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-9710421		Defective pyroptosis	47/808	73/10899	1.48E-35	1.97E-33	1.75E-33	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-2299718		Condensation of Prophase Chromosomes	47/808	74/10899	3.77E-35	4.53E-33	4.01E-33	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
