id	C1	C2	C3	C4	J1	J2	J3	J4
CD36	13.97933587	14.45301335	13.88502901	13.733545	12.54206454	11.53818893	12.91904952	12.95710204
CDH1	11.76279726	12.26356264	11.54448152	11.60269887	8.339850003	7.515699838	8.625708843	8.689997971
HOXB4	9.084808388	9.594324604	8.960001932	8.754887502	7.330916878	8.366322214	8.118941073	7.912889336
ITGA2B	8.495855027	9.346513733	9.079484784	8.632995197	6.768184325	6.882643049	7.64385619	7.77478706
ITGA4	14.2182605	14.78130848	14.24874295	14.23444324	13.01471793	12.39633719	13.37191274	13.46926024
ITGAM	3.906890596	4.700439718	4.392317423	3	2	0	2	2
KCNH2	13.29073886	13.64284144	13.05985141	12.9690267	11.05256805	10.40514146	11.50133962	11.50680344
KIT	11.0721326	11.64520808	11.14974712	10.94690627	9.344295908	8.900866808	10.13057056	9.964340868
MYB	13.80180938	14.38929523	13.81948059	13.83120826	11.83605036	11.11699368	12.58613609	12.48884435
MYC	13.10263189	13.63662462	13.03600185	12.86341196	11.79968636	10.98513037	12.29375901	12.24198315
NOTCH2	10.07146236	10.67154107	10.16867212	10.14082977	8.826548487	9.276124405	9.398743692	9.54689446
PTPRC	9.915879379	10.49984589	10.18858885	9.923327485	7.942514505	7.14974712	8.73470962	8.573647187
RAG1	5.247927513	5.781359714	5.285402219	5.247927513	2	3.459431619	3	1.584962501
SPI1	5.64385619	6.87036472	7.055282436	5.906890596	1.584962501	1.584962501	3.906890596	3.169925001
