id	D1	D2	D3	M1	M2	M3
CD36	14.26502894	14.38323178	14.38464886	14.01628598	14.26451591	14.22671322
CDH1	11.98263713	11.99081308	12.06373212	10.1711768	10.36632221	10.27612441
HOXB4	8.784634846	9.002815016	8.857980995	8.558420713	8.741466986	8.550746785
ITGA2B	9.076815597	9.167418146	9.079484784	8.948367232	9.019590728	9.084808388
ITGA4	13.44863257	13.65396464	13.80936621	12.73365092	13.02565867	12.89064428
ITGAM	4.087462841	4.857980995	4.700439718	2.807354922	1.584962501	1.584962501
KCNH2	13.11942751	13.2273151	13.15450169	12.10950422	12.07079181	11.99399979
KIT	11.97548976	12.17086395	12.05426514	11.73428623	12.09737377	12.17148958
MYB	13.09523217	13.2701493	13.33720375	11.59105477	12.09671515	12.02236781
MYC	11.62844554	11.98085361	11.93737382	11.22520744	11.70649602	11.68737568
NOTCH2	9.620219826	9.779719355	9.829722735	9.400879436	9.789533645	9.665335917
PTPRC	10.44086917	10.47573343	10.51471405	9.041659152	9.481799432	9.491853096
RAG1	5.129283017	4.95419631	4.857980995	2.321928095	2.807354922	1.584962501
SPI1	7.930737338	8.139551352	7.562242424	5.392317423	5.584962501	5.727920455
