id	C1	C2	C3	C4	J1	J2	J3	J4
ID1	6	6.62935662	5.754887502	6.14974712	6.658211483	8.169925001	6.807354922	6.857980995
FOXO1	2.807354922	2.321928095	3	3	4.392317423	4.321928095	4.459431619	4.906890596
HDAC5	8.797661526	9.436711542	9.184875343	8.73809226	8.927777962	8.876516947	9.310612782	9.266786541
FOXO3	11.32305476	11.93774162	11.28193003	11.30549179	11.60316268	10.69957245	11.92518352	11.95492329
WDR26	11.21188829	11.64475759	10.99506047	10.91587938	11.033423	10.5526691	11.08878824	11.28250931
GYPA	12.57908018	12.9895719	12.30720081	12.32586758	12.29548197	11.17242751	12.55170826	12.61309879
PTPRC	9.915879379	10.49984589	10.18858885	9.923327485	7.942514505	7.14974712	8.73470962	8.573647187
MYB	13.80180938	14.38929523	13.81948059	13.83120826	11.83605036	11.11699368	12.58613609	12.48884435
ITGA4	14.2182605	14.78130848	14.24874295	14.23444324	13.01471793	12.39633719	13.37191274	13.46926024
MYC	13.10263189	13.63662462	13.03600185	12.86341196	11.79968636	10.98513037	12.29375901	12.24198315
CD36	13.97933587	14.45301335	13.88502901	13.733545	12.54206454	11.53818893	12.91904952	12.95710204
ENG	10.98370619	11.55889898	10.94544384	10.72280753	6.339850003	8.129283017	7.321928095	7.417852515
KIT	11.0721326	11.64520808	11.14974712	10.94690627	9.344295908	8.900866808	10.13057056	9.964340868
GATA2	10.51668495	11.11829223	10.79603961	10.30149619	8.523561956	8.882643049	9.457380879	9.383704292
