id	C1	C3	C4	J1	J3	J4
ID1	6	5.754887502	6.14974712	6.658211483	6.807354922	6.857980995
FOXO1	2.807354922	3	3	4.392317423	4.459431619	4.906890596
HDAC5	8.797661526	9.184875343	8.73809226	8.927777962	9.310612782	9.266786541
FOXO3	11.32305476	11.28193003	11.30549179	11.60316268	11.92518352	11.95492329
WDR26	11.21188829	10.99506047	10.91587938	11.033423	11.08878824	11.28250931
GYPA	12.57908018	12.30720081	12.32586758	12.29548197	12.55170826	12.61309879
PTPRC	9.915879379	10.18858885	9.923327485	7.942514505	8.73470962	8.573647187
MYB	13.80180938	13.81948059	13.83120826	11.83605036	12.58613609	12.48884435
ITGA4	14.2182605	14.24874295	14.23444324	13.01471793	13.37191274	13.46926024
MYC	13.10263189	13.03600185	12.86341196	11.79968636	12.29375901	12.24198315
CD36	13.97933587	13.88502901	13.733545	12.54206454	12.91904952	12.95710204
ENG	10.98370619	10.94544384	10.72280753	6.339850003	7.321928095	7.417852515
