id	D1	D2	D3	M1	M2	M3
ID1	6.50779464	6.918863237	6.832890014	7.900866808	8.087462841	8.417852515
FOXO1	5.129283017	5.754887502	5.554588852	6.50779464	7.044394119	6.965784285
HDAC5	10.98655315	11.07347215	11.02167404	11.57412044	11.55074679	11.66266838
FOXO3	13.13795173	13.24466114	13.1205619	13.53928	13.50221025	13.53782506
WDR26	12.73386272	12.73237945	12.63481105	12.71660514	12.81558343	12.82575383
GYPA	12.92629599	12.95110255	12.77704979	12.91904952	13.01227534	13.03600185
PTPRC	10.44086917	10.47573343	10.51471405	9.041659152	9.481799432	9.491853096
MYB	13.09523217	13.2701493	13.33720375	11.59105477	12.09671515	12.02236781
ITGA4	13.44863257	13.65396464	13.80936621	12.73365092	13.02565867	12.89064428
MYC	11.62844554	11.98085361	11.93737382	11.22520744	11.70649602	11.68737568
CD36	14.26502894	14.38323178	14.38464886	14.01628598	14.26451591	14.22671322
ENG	10.1959873	10.54303182	10.54592977	7.794415866	7.882643049	7.665335917
KIT	11.97548976	12.17086395	12.05426514	11.73428623	12.09737377	12.17148958
GATA2	11.47623991	11.7026056	11.39070637	11.69870467	11.88569637	11.99576715
