ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0070661	leukocyte proliferation	97/2651	348/18903	7.84392160604163e-12	3.2939927883004e-08	3.02140348822352e-08	TNFRSF14/BST2/TNFSF14/RAG2/LGALS9/CSF2RB/SLC11A1/P2RX7/RASAL3/NPR3/LGALS3/BTN3A1/TNFRSF1B/ARG1/CD300A/AIF1/PTPN6/CD80/VSIR/ENPP3/GAPT/CD70/DOCK2/RASSF5/CARD11/MYD88/CCDC88B/IL7/GAL/CORO1A/RAC2/LGALS9B/PKN1/FCGR3A/BID/STAT6/BCL2/PTPRC/AGER/SASH3/PSMB10/SYK/ELF4/MAPK3/CD74/IL18/CR1/GPR183/KIT/PIK3CG/CD40/LYN/FOXJ1/EMP2/CD320/ARMC5/DOCK8/IL12RB1/RIPK3/PDE5A/SPTA1/PYCARD/BAP1/BTK/TICAM1/SPN/CNN2/NFATC2/MALT1/NCKAP1L/CD38/TSPAN32/JAK2/HMGB1/HLA-DPA1/HLA-DPB1/INPP5D/CASP3/LEF1/BTN2A2/FCGR2B/SDC4/ZP3/GPNMB/SOX11/MNDA/IL15/LST1/HES1/PTPN22/NMB/CR2/CD19/SFTPD/CSF1/SLAMF1/HAVCR2	97
BP	GO:0002263	cell activation involved in immune response	86/2651	297/18903	1.36840024011695e-11	3.2939927883004e-08	3.02140348822352e-08	PCK1/RAG2/LGALS9/CD244/SLC11A1/FES/LRP1/LGALS3/ITGAL/RAB27A/CD84/CD300A/DYSF/PTPN6/CD80/ENPP3/GAPT/BATF/UNC13D/C17orf99/SPI1/MFNG/DOCK2/APBB1IP/MYD88/SLAMF6/CORO1A/RAC2/SHLD2/FCGR3A/ADGRE2/STAT6/LY9/PTPRC/IFI35/BCR/MYB/GATA2/SYK/CRACR2A/CD74/IL18/CR1/GPR183/HLA-DRA/TMEM98/ITGB2/ST3GAL1/SHLD1/KIT/PIK3CG/DOCK11/CD40/LYN/VAMP8/ITGAM/RARA/UNG/TNFSF13/IL12RB1/NMI/PYCARD/STX4/NBN/BTK/ADORA2B/TICAM1/SPN/NOTCH2/PHF14/MALT1/NCKAP1L/LCP1/SHLD3/HMGB1/FGL2/LAT/LEF1/CHGA/FCGR2B/PARP3/PGLYRP3/RAB44/CD19/SLAMF1/HAVCR2	86
BP	GO:0002366	leukocyte activation involved in immune response	85/2651	293/18903	1.61496623057709e-11	3.2939927883004e-08	3.02140348822352e-08	PCK1/RAG2/LGALS9/CD244/SLC11A1/FES/LGALS3/ITGAL/RAB27A/CD84/CD300A/DYSF/PTPN6/CD80/ENPP3/GAPT/BATF/UNC13D/C17orf99/SPI1/MFNG/DOCK2/APBB1IP/MYD88/SLAMF6/CORO1A/RAC2/SHLD2/FCGR3A/ADGRE2/STAT6/LY9/PTPRC/IFI35/BCR/MYB/GATA2/SYK/CRACR2A/CD74/IL18/CR1/GPR183/HLA-DRA/TMEM98/ITGB2/ST3GAL1/SHLD1/KIT/PIK3CG/DOCK11/CD40/LYN/VAMP8/ITGAM/RARA/UNG/TNFSF13/IL12RB1/NMI/PYCARD/STX4/NBN/BTK/ADORA2B/TICAM1/SPN/NOTCH2/PHF14/MALT1/NCKAP1L/LCP1/SHLD3/HMGB1/FGL2/LAT/LEF1/CHGA/FCGR2B/PARP3/PGLYRP3/RAB44/CD19/SLAMF1/HAVCR2	85
BP	GO:0046651	lymphocyte proliferation	86/2651	305/18903	6.27964208781661e-11	9.60628248383746e-08	8.81132937164163e-08	TNFRSF14/TNFSF14/RAG2/LGALS9/SLC11A1/P2RX7/RASAL3/LGALS3/BTN3A1/TNFRSF1B/ARG1/CD300A/AIF1/PTPN6/CD80/VSIR/GAPT/CD70/DOCK2/RASSF5/CARD11/MYD88/CCDC88B/IL7/GAL/CORO1A/RAC2/LGALS9B/PKN1/FCGR3A/BID/BCL2/PTPRC/AGER/SASH3/PSMB10/SYK/ELF4/CD74/IL18/CR1/GPR183/PIK3CG/CD40/LYN/FOXJ1/EMP2/CD320/ARMC5/DOCK8/IL12RB1/RIPK3/PDE5A/SPTA1/PYCARD/BTK/TICAM1/SPN/NFATC2/MALT1/NCKAP1L/CD38/TSPAN32/JAK2/HMGB1/HLA-DPA1/HLA-DPB1/INPP5D/CASP3/LEF1/BTN2A2/FCGR2B/SDC4/ZP3/GPNMB/SOX11/MNDA/IL15/LST1/HES1/PTPN22/CR2/CD19/SFTPD/SLAMF1/HAVCR2	86
BP	GO:0032943	mononuclear cell proliferation	87/2651	312/18903	9.15514031006213e-11	1.02456569787753e-07	9.39779341495942e-08	TNFRSF14/TNFSF14/RAG2/LGALS9/SLC11A1/P2RX7/RASAL3/LGALS3/BTN3A1/TNFRSF1B/ARG1/CD300A/AIF1/PTPN6/CD80/VSIR/GAPT/CD70/DOCK2/RASSF5/CARD11/MYD88/CCDC88B/IL7/GAL/CORO1A/RAC2/LGALS9B/PKN1/FCGR3A/BID/BCL2/PTPRC/AGER/SASH3/PSMB10/SYK/ELF4/CD74/IL18/CR1/GPR183/PIK3CG/CD40/LYN/FOXJ1/EMP2/CD320/ARMC5/DOCK8/IL12RB1/RIPK3/PDE5A/SPTA1/PYCARD/BTK/TICAM1/SPN/NFATC2/MALT1/NCKAP1L/CD38/TSPAN32/JAK2/HMGB1/HLA-DPA1/HLA-DPB1/INPP5D/CASP3/LEF1/BTN2A2/FCGR2B/SDC4/ZP3/GPNMB/SOX11/MNDA/IL15/LST1/HES1/PTPN22/CR2/CD19/SFTPD/CSF1/SLAMF1/HAVCR2	87
BP	GO:0070663	regulation of leukocyte proliferation	78/2651	269/18903	1.12711344533097e-10	1.02456569787753e-07	9.39779341495942e-08	TNFRSF14/BST2/LGALS9/CSF2RB/RASAL3/LGALS3/TNFRSF1B/ARG1/CD300A/AIF1/PTPN6/CD80/VSIR/ENPP3/CD70/RASSF5/CARD11/MYD88/CCDC88B/IL7/GAL/CORO1A/RAC2/LGALS9B/PKN1/FCGR3A/BID/STAT6/BCL2/PTPRC/AGER/SASH3/SYK/MAPK3/CD74/IL18/CR1/GPR183/KIT/CD40/LYN/FOXJ1/CD320/IL12RB1/RIPK3/PDE5A/SPTA1/PYCARD/BTK/TICAM1/SPN/CNN2/NFATC2/NCKAP1L/CD38/TSPAN32/JAK2/HMGB1/HLA-DPA1/HLA-DPB1/INPP5D/CASP3/BTN2A2/FCGR2B/SDC4/ZP3/GPNMB/SOX11/MNDA/IL15/LST1/HES1/PTPN22/NMB/SFTPD/CSF1/SLAMF1/HAVCR2	78
BP	GO:0002697	regulation of immune effector process	100/2651	379/18903	1.17208038652438e-10	1.02456569787753e-07	9.39779341495942e-08	NCF1/TNFRSF14/BST2/PCK1/LGALS9/CD244/FES/VAV1/PRG2/P2RX7/LGALS3/TNFRSF1B/CD84/ARG1/CD300A/PTPN6/CD80/ENPP3/BATF/UNC13D/SPON2/C17orf99/SPI1/LAPTM5/DDX60/MYD88/SLAMF6/DHX58/EPX/RAC2/KLRK1/SHLD2/AZGP1/PKN1/SERPING1/ADGRE2/STAT6/PTPRC/STAP1/AGER/BCR/SASH3/MYB/NLRX1/RSAD2/GATA2/SYK/CD74/IL18/TLR3/CR1/HLA-DRA/TGFB3/ITGB2/CARD9/SHLD1/KIT/CD40/LYN/VAMP8/SEMA7A/FOXJ1/DENND1B/CR1L/ITGAM/ACP5/RARA/TNFSF13/CD36/IL12RB1/RIPK3/LITAF/FCER2/PYCARD/STX4/CUEDC2/DUSP22/GFER/BTK/ADORA2B/TICAM1/WAS/ANGPT1/MALT1/NCKAP1L/SHLD3/HMGB1/FGL2/MR1/TRIM6/FCGR2B/ZP3/PARP3/PGLYRP3/PIK3R6/PTPN22/CGAS/CR2/SLAMF1/HAVCR2	100
BP	GO:0007159	leukocyte cell-cell adhesion	104/2651	414/18903	1.01316567052468e-09	7.74945092242563e-07	7.10815704636524e-07	TNFRSF14/TNFSF14/PCK1/RAG2/LGALS9/CCR7/VAV1/RHOH/RASAL3/LGALS3/LRG1/LAX1/GCNT1/ITGAL/ARG1/TESPA1/CD300A/AIF1/RAG1/PTPN6/CD80/VSIR/CD70/PPARA/LAPTM5/CARD11/FCHO1/CCDC88B/IL7/IRAK1/CORO1A/RAC2/KLRK1/LGALS9B/PODXL2/PTPRC/AGER/SASH3/MYB/ZBTB16/SYK/ACTL6B/CD74/IL18/CR1/HLA-DRA/RIPOR2/ITGB2/ITPKB/CSK/LYN/FOXJ1/CCL28/RARA/EFNB2/SELPLG/ITGA4/ALOX5/CTSG/ITGB7/DOCK8/IL12RB1/IL2RG/ADD2/PDE5A/SPTA1/ADAM8/PYCARD/SKAP1/DUSP22/HLA-DRB5/FUT4/SPN/CD4/MALT1/NCKAP1L/TSPAN32/JAK2/HMGB1/FGL2/GFUS/HLA-DPA1/HLA-DPB1/ZMIZ1/CASP3/LEF1/BTN2A2/SOX12/FCGR2B/SDC4/TNFAIP8L2/ZP3/PAG1/HLA-DMA/GPNMB/IL15/SOCS1/PIK3R6/HES1/PTPN22/SFTPD/CD83/SLAMF1/HAVCR2	104
BP	GO:0032944	regulation of mononuclear cell proliferation	70/2651	243/18903	1.36780437253848e-09	8.98330578230374e-07	8.23990614758923e-07	TNFRSF14/LGALS9/RASAL3/LGALS3/TNFRSF1B/ARG1/CD300A/AIF1/PTPN6/CD80/VSIR/CD70/RASSF5/CARD11/MYD88/CCDC88B/IL7/GAL/CORO1A/RAC2/LGALS9B/PKN1/FCGR3A/BID/BCL2/PTPRC/AGER/SASH3/SYK/CD74/IL18/CR1/GPR183/CD40/LYN/FOXJ1/CD320/IL12RB1/RIPK3/PDE5A/SPTA1/PYCARD/BTK/TICAM1/SPN/NFATC2/NCKAP1L/CD38/TSPAN32/JAK2/HMGB1/HLA-DPA1/HLA-DPB1/INPP5D/CASP3/BTN2A2/FCGR2B/SDC4/ZP3/GPNMB/SOX11/MNDA/IL15/LST1/HES1/PTPN22/SFTPD/CSF1/SLAMF1/HAVCR2	70
BP	GO:0002683	negative regulation of immune system process	110/2651	449/18903	1.57125927499689e-09	8.98330578230374e-07	8.23990614758923e-07	C5AR2/TNFRSF14/BST2/RAG2/LGALS9/USP18/TBC1D10C/OAS1/PRG2/UBASH3A/LGALS3/LTF/LAX1/FBN1/CD84/ARG1/CD300A/PTPN6/OAS3/CD80/VSIR/ENPP3/CDK6/SPI1/RASSF5/LAPTM5/ID2/PARP14/SAMSN1/DHX58/EPX/GAL/KLRK1/LGALS9B/PKN1/SERPING1/CST7/STAT6/PTPRC/STAP1/BCR/NLRX1/GATA2/SYK/CD74/TLR3/CR1/NLRC5/RIPOR2/IL1RL1/TGFB3/LYN/RIN3/MAFB/FOXJ1/CR1L/CCL28/ACP5/RARA/BANK1/CNR2/CTSG/LYAR/PDE5A/NMI/CUEDC2/BANF1/DUSP22/GFER/NR1H2/BTK/MYC/SPN/PLK2/ANGPT1/CNN2/FCRLB/PIBF1/NCKAP1L/TSPAN32/HMGB1/PIK3R1/FGL2/TAPBPL/INPP5D/CASP3/BTN2A2/FCGR2B/SDC4/TNFAIP8L2/GPX1/PAG1/SLIT2/PARP3/GPNMB/INHA/PGLYRP3/SOX11/MNDA/SOCS1/LST1/PLCB1/GPR68/PTPN22/CR2/SFTPD/NBL1/GPER1/SLAMF1/HAVCR2	110
