ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-73728	RNA Polymerase I Promoter Opening	40/1639	63/10899	2.16129312108443e-18	3.12955243933025e-15	2.90750800920621e-15	H3C13/H4C5/H3C1/H2BC10/H2AC8/H4C13/MAPK3/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H3C15	40
R-HSA-212300	PRC2 methylates histones and DNA	43/1639	73/10899	6.89801317364225e-18	4.99416153771699e-15	4.63982149258674e-15	H3C13/H4C5/H3C1/H2BC10/H2AC8/H4C13/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/PHF19/JARID2/H4C3/H2AC14/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/EED/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/DNMT3A/H2AC7/H4C2/H4C8/H3C15	43
R-HSA-5334118	DNA methylation	40/1639	65/10899	1.09904992545217e-17	5.30474764018248e-15	4.92837124465921e-15	H3C13/H4C5/H3C1/H2BC10/H2AC8/H4C13/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/DNMT3A/H2AC7/H4C2/H4C8/H3C15	40
R-HSA-3214815	HDACs deacetylate histones	49/1639	94/10899	3.61488118871963e-17	1.30858699031651e-14	1.21574162083781e-14	H3C13/H4C5/H3C1/H2BC10/H2AC12/H2AC8/H2AC11/H4C13/H2AC13/H2AC19/H2AC18/H2BC18/H2AC21/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H2AC15/H3C7/H3C2/H2BC15/H4C4/H3C8/MTA2/H2BC11/H2BC6/H2BC7/H2AC16/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/MTA3/H2AC17/H3C15	49
R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	40/1639	67/10899	5.07773604908534e-17	1.47051235981511e-14	1.3661782464697e-14	H3C13/H4C5/H3C1/H2BC10/PKN1/H2AC8/H4C13/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H3C15	40
R-HSA-9616222	Transcriptional regulation of granulopoiesis	47/1639	90/10899	1.45749007198907e-16	3.51740937373362e-14	3.26784616140707e-14	H3C13/SPI1/H4C5/H3C1/H2BC10/H2AC8/MYB/H4C13/GATA2/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/RARA/H4C6/H3C11/H2BC4/H4C15/H3C3/PML/H4C14/H4C3/H2AC14/H2BC21/H3C7/MYC/H3C2/H2BC15/H4C4/RXRA/H3C8/H2BC11/H2BC6/H2BC7/LEF1/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H3C15	47
R-HSA-9710421	Defective pyroptosis	41/1639	73/10899	4.25854516456352e-16	8.80910485469711e-14	8.18409130874012e-14	H3C13/H4C5/H3C1/H2BC10/H2AC8/H4C13/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/EED/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/DNMT3A/H2AC7/H4C2/H4C8/H3C15	41
R-HSA-427359	SIRT1 negatively regulates rRNA expression	39/1639	68/10899	8.4749513782823e-16	1.5339661994691e-13	1.42512998176905e-13	H3C13/H4C5/H3C1/H2BC10/H2AC8/H4C13/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H3C15	39
R-HSA-68616	Assembly of the ORC complex at the origin of replication	39/1639	69/10899	1.66947177851474e-15	2.68599459476593e-13	2.49542097420098e-13	H3C13/H4C5/H3C1/H2BC10/H2AC8/H4C13/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2AC14/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H4C2/H4C8/H3C15	39
R-HSA-9645723	Diseases of programmed cell death	50/1639	105/10899	2.10556833724766e-15	3.04886295233461e-13	2.83254351052896e-13	H3C13/H4C5/H3C1/H2BC10/H2AC8/H4C13/H2AC19/H2AC18/H2BC14/H2BC3/H2AC4/H2BC8/CAST/H4C12/H3C12/LMNA/H4C6/H3C11/H2BC4/CDK5/H4C15/H3C3/H4C14/CASP8/RIPK3/CAPN1/H4C3/H2AC14/H2BC21/CDK5R1/H3C7/H3C2/H2BC15/H4C4/LMNB1/H3C8/EED/MLKL/H2BC11/H2BC6/H2BC7/H2BC5/H2BC13/H3C10/H2BC17/DNMT3A/H2AC7/H4C2/H4C8/H3C15	50
