ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04613	Neutrophil extracellular trap formation	79/1260	190/8388	3.12103062937021e-19	1.03306113832154e-16	9.72447438203772e-17	653361/5330/653604/4689/2212/3683/5296/51564/8367/8350/8346/5880/2214/79885/85235/177/3012/8969/8368/8329/6850/5595/1378/723790/3689/8337/440689/3674/317772/8369/8342/3018/8335/1379/8339/3684/4790/8362/8356/8361/8354/6404/8347/554313/8352/1511/8370/1536/8364/837/8331/8349/8330/8968/1184/8358/8341/8360/834/10105/8355/3146/5295/8970/8344/8343/8332/3017/5579/8340/8357/8348/3013/8366/8365/23236/8336/2215/333932	79
hsa05322	Systemic lupus erythematosus	61/1260	136/8388	5.09465285211724e-17	8.43165047025404e-15	7.93693286435108e-15	653604/2212/941/8367/8350/8346/2214/85235/3012/8969/8368/8329/723790/3122/8337/440689/317772/8369/8342/3018/958/8335/8339/8362/8356/8361/8354/8347/554313/8352/1511/8370/8364/8331/8349/8330/8968/3127/8358/8341/8360/8355/3113/3115/8970/8344/8343/8332/3017/8340/8357/8348/3108/3013/8366/8365/721/733/8336/2215/333932	61
hsa05034	Alcoholism	63/1260	187/8388	9.46365851722625e-11	1.04415698973396e-08	9.82892253017182e-09	84699/4128/653604/51564/8367/8350/8346/79885/85235/3012/8969/8368/8329/5595/723790/8337/440689/317772/8369/8342/3018/8335/8339/8362/8356/8361/8354/8347/554313/8352/4129/8370/8364/10645/8331/8349/8330/8968/2030/136/8358/8341/8360/8355/55315/8970/8344/54331/2354/8343/8332/3017/8340/8357/8348/6571/3013/8366/8365/3177/8336/2785/333932	63
hsa05140	Leishmaniasis	25/1260	77/8388	8.9860869059085e-05	0.00743598691463928	0.00699968874776031	653361/4689/2212/5777/4615/3654/2214/5595/1378/3122/7043/3689/1379/3684/4790/3676/1536/3127/3717/3113/3115/5579/3108/2215/3460	25
hsa05164	Influenza A	44/1260	171/8388	0.000161145355145578	0.0106678225106373	0.0100419000259139	4938/4599/5296/4940/1021/56000/64135/4615/8743/637/79671/91543/5595/3606/7098/64499/3122/4790/7177/5371/5610/841/56649/29107/7706/29108/10379/3127/355/148022/6041/834/3717/5295/8797/3113/3115/23430/4600/836/5579/3108/9021/3460	44
hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series	8/1260	15/8388	0.000607416092549513	0.0335091211056481	0.0315430111218695	8706/6489/6482/2523/26301/53947/6483/3073	8
hsa05203	Viral carcinogenesis	48/1260	204/8388	0.000775456147453157	0.0366679978295707	0.0345165443076894	84699/5296/1021/51564/8367/8346/79885/1959/6776/8368/2648/6850/5595/440689/6672/8369/8342/898/3018/4067/8339/4790/8362/8361/8347/554313/5610/8370/841/8364/8349/10379/8341/8360/2965/1233/5295/8970/8344/8343/836/7185/3017/8340/8348/8366/8365/7188	48
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	11/1260	27/8388	0.00107367147986223	0.0444231574792999	0.0418166786893712	8706/28/2651/6489/8704/84002/2523/53947/2526/10402/8708	11
hsa00590	Arachidonic acid metabolism	18/1260	61/8388	0.00284493900642783	0.104630534569735	0.0984914556611273	3248/27306/391013/242/127281/8529/240/5742/8644/873/59344/8398/4051/113612/2687/2053/8399/2678	18
hsa05134	Legionellosis	17/1260	57/8388	0.00325634234227061	0.107784931529157	0.10146077192759	4615/3310/3606/1378/3689/7100/1379/3684/4790/840/841/29108/10767/834/3305/836/58484	17
hsa04217	Necroptosis	37/1260	159/8388	0.00361319934349689	0.108540804954218	0.102172295329778	8743/637/6778/85235/596/3012/6776/8969/8329/7098/723790/8337/317772/8335/92421/5610/841/11035/823/1536/8331/8330/29108/10379/355/148022/834/3717/3146/8797/197259/8332/3013/7188/2747/8336/3460	37
hsa00230	Purine metabolism	31/1260	128/8388	0.00393501407689009	0.108540804954218	0.102172295329778	5145/5169/55811/113/5148/2986/203/2272/50940/4833/122481/10201/30833/4830/84284/471/5198/8654/10606/5141/5140/5634/956/3704/3614/205/2766/272/5158/5139/5153	31
hsa04662	B cell receptor signaling pathway	22/1260	84/8388	0.00528915472067166	0.134670016349409	0.126768404641199	7409/5296/5777/84433/5880/6850/5595/118788/4067/4790/55024/695/4772/4773/10892/5295/8519/3635/2213/5579/1380/930	22
hsa05340	Primary immunodeficiency	12/1260	38/8388	0.00768701619765624	0.181743025816015	0.171079458233552	3543/5897/5896/5788/958/8625/7374/3561/695/920/5994/930	12
hsa04210	Apoptosis	31/1260	136/8388	0.00995749674966495	0.211518136910249	0.19910754818074	1439/5296/4616/8743/637/1677/596/8722/5595/1512/5414/4790/4000/840/841/823/6708/355/4001/2021/4914/5295/8797/1522/1521/51807/839/836/7185/10039/113457	31
hsa04640	Hematopoietic cell lineage	24/1260	99/8388	0.0102597634498213	0.211518136910249	0.19910754818074	945/3581/3574/1378/3122/3815/3674/951/1379/3684/3676/948/2208/3127/920/952/3113/3115/2057/2815/3108/1380/930/1435	24
hsa04672	Intestinal immune network for IgA production	14/1260	49/8388	0.0108777394308322	0.211518136910249	0.19910754818074	941/3122/958/56477/3601/8741/3676/3695/7852/3127/3113/3115/3108/3600	14
