ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0070661	leukocyte proliferation	96/2454	348/18903	2.0106728948526e-13	1.21645710138582e-09	1.10713999083936e-09	TNFRSF14/BST2/TNFSF14/RAG2/LGALS9/CSF2RB/SLC11A1/P2RX7/RASAL3/NPR3/LGALS3/BTN3A1/TNFRSF1B/ARG1/CD300A/AIF1/PTPN6/CD80/VSIR/ENPP3/GAPT/CD70/DOCK2/RASSF5/CARD11/MYD88/CCDC88B/IL7/GAL/CORO1A/RAC2/LGALS9B/PKN1/FCGR3A/BID/STAT6/BCL2/PTPRC/AGER/SASH3/PSMB10/SYK/ELF4/MAPK3/CD74/IL18/CR1/GPR183/KIT/PIK3CG/CD40/LYN/FOXJ1/EMP2/CD320/ARMC5/DOCK8/IL12RB1/RIPK3/PDE5A/SPTA1/PYCARD/BAP1/BTK/TICAM1/SPN/CNN2/NFATC2/MALT1/NCKAP1L/CD38/TSPAN32/JAK2/HMGB1/HLA-DPA1/HLA-DPB1/INPP5D/CASP3/LEF1/BTN2A2/FCGR2B/SDC4/ZP3/GPNMB/MNDA/IL15/LST1/HES1/PTPN22/NMB/CR2/CD19/SFTPD/CSF1/SLAMF1/HAVCR2	96
BP	GO:0002263	cell activation involved in immune response	85/2454	297/18903	5.48821092948021e-13	1.3675682941478e-09	1.24467155227266e-09	PCK1/RAG2/LGALS9/CD244/SLC11A1/FES/LRP1/LGALS3/ITGAL/RAB27A/CD84/CD300A/DYSF/PTPN6/CD80/ENPP3/GAPT/BATF/UNC13D/C17orf99/SPI1/MFNG/DOCK2/APBB1IP/MYD88/SLAMF6/CORO1A/RAC2/SHLD2/FCGR3A/ADGRE2/STAT6/LY9/PTPRC/IFI35/BCR/MYB/GATA2/SYK/CRACR2A/CD74/IL18/CR1/GPR183/HLA-DRA/TMEM98/ITGB2/ST3GAL1/SHLD1/KIT/PIK3CG/DOCK11/CD40/LYN/VAMP8/ITGAM/RARA/UNG/TNFSF13/IL12RB1/NMI/PYCARD/STX4/NBN/BTK/ADORA2B/TICAM1/SPN/NOTCH2/PHF14/MALT1/NCKAP1L/LCP1/SHLD3/HMGB1/FGL2/LAT/LEF1/FCGR2B/PARP3/PGLYRP3/RAB44/CD19/SLAMF1/HAVCR2	85
BP	GO:0002366	leukocyte activation involved in immune response	84/2454	293/18903	6.78133038420395e-13	1.3675682941478e-09	1.24467155227266e-09	PCK1/RAG2/LGALS9/CD244/SLC11A1/FES/LGALS3/ITGAL/RAB27A/CD84/CD300A/DYSF/PTPN6/CD80/ENPP3/GAPT/BATF/UNC13D/C17orf99/SPI1/MFNG/DOCK2/APBB1IP/MYD88/SLAMF6/CORO1A/RAC2/SHLD2/FCGR3A/ADGRE2/STAT6/LY9/PTPRC/IFI35/BCR/MYB/GATA2/SYK/CRACR2A/CD74/IL18/CR1/GPR183/HLA-DRA/TMEM98/ITGB2/ST3GAL1/SHLD1/KIT/PIK3CG/DOCK11/CD40/LYN/VAMP8/ITGAM/RARA/UNG/TNFSF13/IL12RB1/NMI/PYCARD/STX4/NBN/BTK/ADORA2B/TICAM1/SPN/NOTCH2/PHF14/MALT1/NCKAP1L/LCP1/SHLD3/HMGB1/FGL2/LAT/LEF1/FCGR2B/PARP3/PGLYRP3/RAB44/CD19/SLAMF1/HAVCR2	84
BP	GO:0002697	regulation of immune effector process	100/2454	379/18903	1.23791872660589e-12	1.8723520739914e-09	1.70409285759879e-09	NCF1/TNFRSF14/BST2/PCK1/LGALS9/CD244/FES/VAV1/PRG2/P2RX7/LGALS3/TNFRSF1B/CD84/ARG1/CD300A/PTPN6/CD80/ENPP3/BATF/UNC13D/SPON2/C17orf99/SPI1/LAPTM5/DDX60/MYD88/SLAMF6/DHX58/EPX/RAC2/KLRK1/SHLD2/AZGP1/PKN1/SERPING1/ADGRE2/STAT6/PTPRC/STAP1/AGER/BCR/SASH3/MYB/NLRX1/RSAD2/GATA2/SYK/CD74/IL18/TLR3/CR1/HLA-DRA/TGFB3/ITGB2/CARD9/SHLD1/KIT/CD40/LYN/VAMP8/SEMA7A/FOXJ1/DENND1B/CR1L/ITGAM/ACP5/RARA/TNFSF13/CD36/IL12RB1/RIPK3/LITAF/FCER2/PYCARD/STX4/CUEDC2/DUSP22/GFER/BTK/ADORA2B/TICAM1/WAS/ANGPT1/MALT1/NCKAP1L/SHLD3/HMGB1/FGL2/MR1/TRIM6/FCGR2B/ZP3/PARP3/PGLYRP3/PIK3R6/PTPN22/CGAS/CR2/SLAMF1/HAVCR2	100
BP	GO:0046651	lymphocyte proliferation	85/2454	305/18903	2.66731927308756e-12	3.22745632043594e-09	2.9374204457939e-09	TNFRSF14/TNFSF14/RAG2/LGALS9/SLC11A1/P2RX7/RASAL3/LGALS3/BTN3A1/TNFRSF1B/ARG1/CD300A/AIF1/PTPN6/CD80/VSIR/GAPT/CD70/DOCK2/RASSF5/CARD11/MYD88/CCDC88B/IL7/GAL/CORO1A/RAC2/LGALS9B/PKN1/FCGR3A/BID/BCL2/PTPRC/AGER/SASH3/PSMB10/SYK/ELF4/CD74/IL18/CR1/GPR183/PIK3CG/CD40/LYN/FOXJ1/EMP2/CD320/ARMC5/DOCK8/IL12RB1/RIPK3/PDE5A/SPTA1/PYCARD/BTK/TICAM1/SPN/NFATC2/MALT1/NCKAP1L/CD38/TSPAN32/JAK2/HMGB1/HLA-DPA1/HLA-DPB1/INPP5D/CASP3/LEF1/BTN2A2/FCGR2B/SDC4/ZP3/GPNMB/MNDA/IL15/LST1/HES1/PTPN22/CR2/CD19/SFTPD/SLAMF1/HAVCR2	85
BP	GO:0032943	mononuclear cell proliferation	86/2454	312/18903	3.79926432567652e-12	3.83092486172383e-09	3.48665819080946e-09	TNFRSF14/TNFSF14/RAG2/LGALS9/SLC11A1/P2RX7/RASAL3/LGALS3/BTN3A1/TNFRSF1B/ARG1/CD300A/AIF1/PTPN6/CD80/VSIR/GAPT/CD70/DOCK2/RASSF5/CARD11/MYD88/CCDC88B/IL7/GAL/CORO1A/RAC2/LGALS9B/PKN1/FCGR3A/BID/BCL2/PTPRC/AGER/SASH3/PSMB10/SYK/ELF4/CD74/IL18/CR1/GPR183/PIK3CG/CD40/LYN/FOXJ1/EMP2/CD320/ARMC5/DOCK8/IL12RB1/RIPK3/PDE5A/SPTA1/PYCARD/BTK/TICAM1/SPN/NFATC2/MALT1/NCKAP1L/CD38/TSPAN32/JAK2/HMGB1/HLA-DPA1/HLA-DPB1/INPP5D/CASP3/LEF1/BTN2A2/FCGR2B/SDC4/ZP3/GPNMB/MNDA/IL15/LST1/HES1/PTPN22/CR2/CD19/SFTPD/CSF1/SLAMF1/HAVCR2	86
BP	GO:0070663	regulation of leukocyte proliferation	77/2454	269/18903	6.70839275690402e-12	5.79796802560991e-09	5.27693270847593e-09	TNFRSF14/BST2/LGALS9/CSF2RB/RASAL3/LGALS3/TNFRSF1B/ARG1/CD300A/AIF1/PTPN6/CD80/VSIR/ENPP3/CD70/RASSF5/CARD11/MYD88/CCDC88B/IL7/GAL/CORO1A/RAC2/LGALS9B/PKN1/FCGR3A/BID/STAT6/BCL2/PTPRC/AGER/SASH3/SYK/MAPK3/CD74/IL18/CR1/GPR183/KIT/CD40/LYN/FOXJ1/CD320/IL12RB1/RIPK3/PDE5A/SPTA1/PYCARD/BTK/TICAM1/SPN/CNN2/NFATC2/NCKAP1L/CD38/TSPAN32/JAK2/HMGB1/HLA-DPA1/HLA-DPB1/INPP5D/CASP3/BTN2A2/FCGR2B/SDC4/ZP3/GPNMB/MNDA/IL15/LST1/HES1/PTPN22/NMB/SFTPD/CSF1/SLAMF1/HAVCR2	77
BP	GO:0032944	regulation of mononuclear cell proliferation	69/2454	243/18903	1.22115455796246e-10	9.06223371402715e-08	8.24785464255347e-08	TNFRSF14/LGALS9/RASAL3/LGALS3/TNFRSF1B/ARG1/CD300A/AIF1/PTPN6/CD80/VSIR/CD70/RASSF5/CARD11/MYD88/CCDC88B/IL7/GAL/CORO1A/RAC2/LGALS9B/PKN1/FCGR3A/BID/BCL2/PTPRC/AGER/SASH3/SYK/CD74/IL18/CR1/GPR183/CD40/LYN/FOXJ1/CD320/IL12RB1/RIPK3/PDE5A/SPTA1/PYCARD/BTK/TICAM1/SPN/NFATC2/NCKAP1L/CD38/TSPAN32/JAK2/HMGB1/HLA-DPA1/HLA-DPB1/INPP5D/CASP3/BTN2A2/FCGR2B/SDC4/ZP3/GPNMB/MNDA/IL15/LST1/HES1/PTPN22/SFTPD/CSF1/SLAMF1/HAVCR2	69
BP	GO:0007159	leukocyte cell-cell adhesion	101/2454	414/18903	1.34810088307842e-10	9.06223371402715e-08	8.24785464255347e-08	TNFRSF14/TNFSF14/PCK1/RAG2/LGALS9/CCR7/VAV1/RHOH/RASAL3/LGALS3/LRG1/LAX1/GCNT1/ITGAL/ARG1/TESPA1/CD300A/AIF1/RAG1/PTPN6/CD80/VSIR/CD70/PPARA/LAPTM5/CARD11/FCHO1/CCDC88B/IL7/IRAK1/CORO1A/RAC2/KLRK1/LGALS9B/PODXL2/PTPRC/AGER/SASH3/MYB/ZBTB16/SYK/ACTL6B/CD74/IL18/CR1/HLA-DRA/RIPOR2/ITGB2/ITPKB/CSK/LYN/FOXJ1/CCL28/RARA/SELPLG/ITGA4/ALOX5/CTSG/ITGB7/DOCK8/IL12RB1/IL2RG/ADD2/PDE5A/SPTA1/ADAM8/PYCARD/SKAP1/DUSP22/HLA-DRB5/FUT4/SPN/CD4/MALT1/NCKAP1L/TSPAN32/JAK2/HMGB1/FGL2/GFUS/HLA-DPA1/HLA-DPB1/ZMIZ1/CASP3/LEF1/BTN2A2/SOX12/FCGR2B/SDC4/TNFAIP8L2/ZP3/HLA-DMA/GPNMB/IL15/PIK3R6/HES1/PTPN22/SFTPD/CD83/SLAMF1/HAVCR2	101
BP	GO:0050670	regulation of lymphocyte proliferation	68/2454	239/18903	1.50965197226371e-10	9.13339443219545e-08	8.31262049148576e-08	TNFRSF14/LGALS9/RASAL3/LGALS3/TNFRSF1B/ARG1/CD300A/AIF1/PTPN6/CD80/VSIR/CD70/RASSF5/CARD11/MYD88/CCDC88B/IL7/GAL/CORO1A/RAC2/LGALS9B/PKN1/FCGR3A/BID/BCL2/PTPRC/AGER/SASH3/SYK/CD74/IL18/CR1/GPR183/CD40/LYN/FOXJ1/CD320/IL12RB1/RIPK3/PDE5A/SPTA1/PYCARD/BTK/TICAM1/SPN/NFATC2/NCKAP1L/CD38/TSPAN32/JAK2/HMGB1/HLA-DPA1/HLA-DPB1/INPP5D/CASP3/BTN2A2/FCGR2B/SDC4/ZP3/GPNMB/MNDA/IL15/LST1/HES1/PTPN22/SFTPD/SLAMF1/HAVCR2	68
