ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006334	nucleosome assembly	40/197	121/18903	6.81909228770916e-50	1.70818261807114e-46	1.63442875148566e-46	H3C13/H4C5/H3C1/H2BC10/H1-5/H4C13/H1-3/H2BC18/H4C7/H2BC14/H2BC3/H1-4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H1-2/H2BC5/H2BC13/H3C10/H2BC17/H1-1/H4C2/H4C8/H3C15	40
BP	GO:0034728	nucleosome organization	40/197	156/18903	8.07307530513105e-45	1.01115268196766e-41	9.67494340514916e-42	H3C13/H4C5/H3C1/H2BC10/H1-5/H4C13/H1-3/H2BC18/H4C7/H2BC14/H2BC3/H1-4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H1-2/H2BC5/H2BC13/H3C10/H2BC17/H1-1/H4C2/H4C8/H3C15	40
BP	GO:0065004	protein-DNA complex assembly	40/197	242/18903	1.34035322612584e-36	1.11919494381508e-33	1.07087168276791e-33	H3C13/H4C5/H3C1/H2BC10/H1-5/H4C13/H1-3/H2BC18/H4C7/H2BC14/H2BC3/H1-4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H1-2/H2BC5/H2BC13/H3C10/H2BC17/H1-1/H4C2/H4C8/H3C15	40
BP	GO:0071824	protein-DNA complex subunit organization	40/197	277/18903	3.51431409859787e-34	2.20083920424692e-31	2.10581400065983e-31	H3C13/H4C5/H3C1/H2BC10/H1-5/H4C13/H1-3/H2BC18/H4C7/H2BC14/H2BC3/H1-4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H1-2/H2BC5/H2BC13/H3C10/H2BC17/H1-1/H4C2/H4C8/H3C15	40
BP	GO:0006338	chromatin remodeling	41/197	373/18903	3.58369899913363e-30	1.79543319856595e-27	1.71791213074258e-27	H3C13/H4C5/H3C1/H2BC10/H1-5/H4C13/H1-3/H2BC18/H4C7/H2BC14/H2BC3/H1-4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/SNAI1/H4C15/H3C3/H4C14/H4C3/H2BC21/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H1-2/H2BC5/H2BC13/H3C10/H2BC17/H1-1/H4C2/H4C8/H3C15	41
BP	GO:0006335	DNA replication-dependent chromatin assembly	18/197	32/18903	3.95525493564755e-28	1.65131893563285e-25	1.58002026113499e-25	H4C5/H3C1/H4C13/H4C12/H3C12/H4C6/H3C11/H4C15/H3C3/H4C14/H4C3/H3C7/H3C2/H4C4/H3C8/H3C10/H4C2/H4C8	18
BP	GO:0061644	protein localization to CENP-A containing chromatin	13/197	18/18903	9.38409358140695e-23	3.35816491734634e-20	3.21317008794942e-20	H4C5/H2AC8/H4C13/H2AC4/H4C12/H4C6/H4C15/H4C14/H4C3/H4C4/H2BC11/H4C2/H4C8	13
BP	GO:0071168	protein localization to chromatin	14/197	54/18903	2.51925755040573e-16	7.88842520470793e-14	7.5478282135182e-14	H4C5/H1-5/H2AC8/H4C13/H2AC4/H4C12/H4C6/H4C15/H4C14/H4C3/H4C4/H2BC11/H4C2/H4C8	14
BP	GO:0071459	protein localization to chromosome, centromeric region	13/197	43/18903	3.19202125157372e-16	8.88445915021352e-14	8.50085659629633e-14	H4C5/H2AC8/H4C13/H2AC4/H4C12/H4C6/H4C15/H4C14/H4C3/H4C4/H2BC11/H4C2/H4C8	13
BP	GO:0045653	negative regulation of megakaryocyte differentiation	10/197	20/18903	2.02721146491907e-15	5.07816471962227e-13	4.85890579539023e-13	H4C5/H4C13/H4C12/H4C6/H4C15/H4C14/H4C3/H4C4/H4C2/H4C8	10
BP	GO:0032200	telomere organization	18/197	185/18903	9.01130452791265e-13	2.05211980385647e-10	1.9635158287136e-10	H4C5/H3C1/H4C13/H4C12/H3C12/H4C6/H3C11/H4C15/H3C3/H4C14/H4C3/H3C7/H3C2/H4C4/H3C8/H3C10/H4C2/H4C8	18
BP	GO:0045652	regulation of megakaryocyte differentiation	10/197	38/18903	4.40854664233796e-12	9.20284111588049e-10	8.80549184614345e-10	H4C5/H4C13/H4C12/H4C6/H4C15/H4C14/H4C3/H4C4/H4C2/H4C8	10
BP	GO:0034502	protein localization to chromosome	14/197	115/18903	1.58729253465552e-11	3.05859061485544e-09	2.92653044648632e-09	H4C5/H1-5/H2AC8/H4C13/H2AC4/H4C12/H4C6/H4C15/H4C14/H4C3/H4C4/H2BC11/H4C2/H4C8	14
BP	GO:0030219	megakaryocyte differentiation	10/197	66/18903	1.52806954668921e-09	2.73415301032605e-07	2.61610102091077e-07	H4C5/H4C13/H4C12/H4C6/H4C15/H4C14/H4C3/H4C4/H4C2/H4C8	10
BP	GO:0045638	negative regulation of myeloid cell differentiation	11/197	95/18903	4.33668031980696e-09	7.24225613407763e-07	6.92955865838629e-07	H4C5/H4C13/MAFB/H4C12/H4C6/H4C15/H4C14/H4C3/H4C4/H4C2/H4C8	11
BP	GO:0002227	innate immune response in mucosa	7/197	28/18903	1.18049921631602e-08	1.84821908554476e-06	1.76841889181024e-06	H2BC10/H2BC8/H2BC4/H2BC21/H2BC11/H2BC6/H2BC7	7
BP	GO:0002385	mucosal immune response	7/197	39/18903	1.39178530874612e-07	2.05083658729944e-05	1.9622880173467e-05	H2BC10/H2BC8/H2BC4/H2BC21/H2BC11/H2BC6/H2BC7	7
BP	GO:0002251	organ or tissue specific immune response	7/197	43/18903	2.81494201784918e-07	3.91746097484011e-05	3.74831752903075e-05	H2BC10/H2BC8/H2BC4/H2BC21/H2BC11/H2BC6/H2BC7	7
BP	GO:0019731	antibacterial humoral response	7/197	63/18903	4.05338234646168e-06	0.000534406461994027	0.000511332498775249	H2BC10/H2BC8/H2BC4/H2BC21/H2BC11/H2BC6/H2BC7	7
BP	GO:0030261	chromosome condensation	6/197	49/18903	1.1433827709776e-05	0.00143208692064945	0.00137025398395579	H1-5/H1-3/H1-4/H1-2/H1-1/GPER1	6
BP	GO:0045637	regulation of myeloid cell differentiation	11/197	214/18903	1.57562891807205e-05	0.00187950020941451	0.00179834939671682	H4C5/H4C13/MAFB/H4C12/H4C6/H4C15/H4C14/H4C3/H4C4/H4C2/H4C8	11
BP	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	7/197	81/18903	2.17513526225173e-05	0.00247668810542754	0.00236975262782162	H2BC10/H2BC8/H2BC4/H2BC21/H2BC11/H2BC6/H2BC7	7
BP	GO:0050830	defense response to Gram-positive bacterium	8/197	118/18903	3.31775670253278e-05	0.00361346979993244	0.00345745172158679	H2BC10/H2BC8/H2BC4/H2BC21/H2BC11/H2BC6/H2BC7/CHGA	8
BP	GO:0099601	regulation of neurotransmitter receptor activity	6/197	62/18903	4.49245559728864e-05	0.00468900052967001	0.00448654447150273	NLGN1/ARC/NPTX2/CNIH2/PSCA/NPTX1	6
BP	GO:0045910	negative regulation of DNA recombination	5/197	45/18903	0.000101757247741334	0.0101960762236816	0.00975584223608493	H1-5/H1-3/H1-4/H1-2/H1-1	5
BP	GO:0098532	histone H3-K27 trimethylation	3/197	10/18903	0.000126751879297057	0.0122120560630434	0.0116847785084777	H1-3/H1-4/H1-2	3
BP	GO:0040029	epigenetic regulation of gene expression	8/197	163/18903	0.000316288270557665	0.0293445228795166	0.0280775201582769	H3C1/H3C12/H3C11/H3C3/H3C7/H3C2/H3C8/H3C10	8
BP	GO:0019730	antimicrobial humoral response	7/197	125/18903	0.000339461661234893	0.0303696950497645	0.0290584286703703	H2BC10/H2BC8/H2BC4/H2BC21/H2BC11/H2BC6/H2BC7	7
BP	GO:0030099	myeloid cell differentiation	13/197	407/18903	0.000357117323602981	0.0308475481250161	0.0295156495769142	H4C5/H4C13/MAFB/H4C12/H4C6/H4C15/H4C14/H4C3/H4C4/SOCS1/H4C2/H4C8/TNFRSF11A	13
BP	GO:0010469	regulation of signaling receptor activity	8/197	175/18903	0.000508418128187225	0.0424529137036333	0.0406199325572741	NLGN1/ARC/NPTX2/CNIH2/TGFA/PHLDA2/PSCA/NPTX1	8
CC	GO:0000786	nucleosome	52/203	133/19869	4.35485255253271e-70	1.16274563152623e-67	1.05433272324476e-67	H3C13/H4C5/H3C1/H2BC10/H1-5/H2AC12/H2AC8/H2AC11/H4C13/H2AC13/H2AC19/H1-3/H2AC18/H2BC18/H2AC21/H4C7/H2BC14/H2BC3/H2AC4/H1-4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2BC21/H2AC15/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H1-2/H2AC16/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H1-1/H4C2/H4C8/H2AC17/H3C15	52
CC	GO:0044815	DNA packaging complex	52/203	178/19869	3.1778214988411e-62	4.24239170095286e-60	3.8468365512287e-60	H3C13/H4C5/H3C1/H2BC10/H1-5/H2AC12/H2AC8/H2AC11/H4C13/H2AC13/H2AC19/H1-3/H2AC18/H2BC18/H2AC21/H4C7/H2BC14/H2BC3/H2AC4/H1-4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2BC21/H2AC15/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H1-2/H2AC16/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H1-1/H4C2/H4C8/H2AC17/H3C15	52
CC	GO:0032993	protein-DNA complex	52/203	225/19869	2.89053003378582e-56	2.57257173006938e-54	2.33270844831838e-54	H3C13/H4C5/H3C1/H2BC10/H1-5/H2AC12/H2AC8/H2AC11/H4C13/H2AC13/H2AC19/H1-3/H2AC18/H2BC18/H2AC21/H4C7/H2BC14/H2BC3/H2AC4/H1-4/H2BC8/H4C12/H3C12/H4C6/H3C11/H2BC4/H4C15/H3C3/H4C14/H4C3/H2BC21/H2AC15/H3C7/H3C2/H2BC15/H4C4/H3C8/H2BC11/H2BC6/H2BC7/H1-2/H2AC16/H2BC5/H2BC13/H3C10/H2BC17/H2AC7/H1-1/H4C2/H4C8/H2AC17/H3C15	52
CC	GO:0043505	CENP-A containing nucleosome	13/203	18/19869	7.34443174839796e-23	3.92192655364451e-21	3.55625116238217e-21	H4C5/H2AC8/H4C13/H2AC4/H4C12/H4C6/H4C15/H4C14/H4C3/H4C4/H2BC11/H4C2/H4C8	13
CC	GO:0061638	CENP-A containing chromatin	13/203	18/19869	7.34443174839796e-23	3.92192655364451e-21	3.55625116238217e-21	H4C5/H2AC8/H4C13/H2AC4/H4C12/H4C6/H4C15/H4C14/H4C3/H4C4/H2BC11/H4C2/H4C8	13
