ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05322	Systemic lupus erythematosus	49/115	136/8388	4.91794968142218e-60	8.16379647116081e-58	8.12755894719244e-58	653604/8367/8350/8346/85235/3012/8969/8368/8329/723790/8337/440689/317772/8369/8342/3018/8335/8339/8362/8356/8361/8354/8347/554313/8352/8370/8364/8331/8349/8330/8968/8358/8341/8360/8355/8970/8344/8343/8332/3017/8340/8357/8348/3013/8366/8365/721/8336/333932	49
hsa05034	Alcoholism	49/115	187/8388	3.92713261446256e-52	3.25952007000392e-50	3.24505168668748e-50	653604/8367/8350/8346/85235/3012/8969/8368/8329/723790/8337/440689/317772/8369/8342/3018/8335/8339/8362/8356/8361/8354/8347/554313/8352/8370/8364/8331/8349/8330/8968/8358/8341/8360/8355/8970/8344/2354/8343/8332/3017/8340/8357/8348/3013/8366/8365/8336/333932	49
hsa04613	Neutrophil extracellular trap formation	48/115	190/8388	3.95592385286958e-50	2.18894453192117e-48	2.17922822772114e-48	653604/8367/8350/8346/85235/3012/8969/8368/8329/723790/8337/440689/317772/8369/8342/3018/8335/8339/8362/8356/8361/8354/8347/554313/8352/8370/8364/8331/8349/8330/8968/8358/8341/8360/8355/8970/8344/8343/8332/3017/8340/8357/8348/3013/8366/8365/8336/333932	48
hsa05203	Viral carcinogenesis	25/115	204/8388	1.93495618384206e-17	8.03006816294457e-16	7.99442423324221e-16	8367/8346/8368/440689/8369/8342/3018/8339/8362/8361/8347/554313/8370/8364/8349/8341/8360/8970/8344/8343/3017/8340/8348/8366/8365	25
hsa04217	Necroptosis	13/115	159/8388	2.29628801272969e-07	7.62367620226257e-06	7.58983616839076e-06	85235/3012/8969/8329/723790/8337/317772/8335/8331/8330/8332/3013/8336	13
hsa05202	Transcriptional misregulation in cancer	14/115	193/8388	3.37654949077355e-07	9.34178692447349e-06	9.30032052721838e-06	653604/4616/2308/8350/8356/8354/8352/8968/8358/8355/8357/4291/5218/333932	14
hsa05131	Shigellosis	12/115	247/8388	0.000136308762997373	0.00323246495108055	0.00321811666023873	653604/2308/8350/8356/8354/8352/8968/8358/8355/8357/84812/333932	12
hsa04020	Calcium signaling pathway	8/115	240/8388	0.0171087533101103	0.355006631184788	0.353430824958857	7852/2065/2254/3270/6262/84812/55283/2911	8
hsa04068	FoxO signaling pathway	5/115	131/8388	0.033800779416031	0.623436598117905	0.620669282844078	4616/2308/10769/1901/2911	5
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	2/115	27/8388	0.0523510206126556	0.869026942170083	0.865169498545992	10402/8708	2
hsa04917	Prolactin signaling pathway	3/115	70/8388	0.070992748473073	0.998021673340706	0.993591646889606	9021/8651/8792	3
hsa04380	Osteoclast differentiation	4/115	128/8388	0.0987178288807661	0.998021673340706	0.993591646889606	2354/9021/8651/8792	4
hsa04260	Cardiac muscle contraction	3/115	87/8388	0.11681217122453	0.998021673340706	0.993591646889606	478/3270/6262	3
hsa04930	Type II diabetes mellitus	2/115	46/8388	0.130874991379979	0.998021673340706	0.993591646889606	9021/8651	2
hsa04713	Circadian entrainment	3/115	97/8388	0.147794249990369	0.998021673340706	0.993591646889606	51655/9722/6262	3
hsa00430	Taurine and hypotaurine metabolism	1/115	16/8388	0.198345624312945	0.998021673340706	0.993591646889606	2687	1
hsa04978	Mineral absorption	2/115	60/8388	0.198652517975357	0.998021673340706	0.993591646889606	4496/478	2
hsa00590	Arachidonic acid metabolism	2/115	61/8388	0.203660406861962	0.998021673340706	0.993591646889606	113612/2687	2
hsa00910	Nitrogen metabolism	1/115	17/8388	0.209357360242713	0.998021673340706	0.993591646889606	771	1
hsa04919	Thyroid hormone signaling pathway	3/115	121/8388	0.230663147088916	0.998021673340706	0.993591646889606	2308/478/84812	3
hsa05031	Amphetamine addiction	2/115	69/8388	0.244134098256289	0.998021673340706	0.993591646889606	23237/2354	2
hsa05218	Melanoma	2/115	72/8388	0.259421089703812	0.998021673340706	0.993591646889606	4616/2254	2
hsa05223	Non-small cell lung cancer	2/115	72/8388	0.259421089703812	0.998021673340706	0.993591646889606	4616/7039	2
hsa04144	Endocytosis	5/115	251/8388	0.26111474356156	0.998021673340706	0.993591646889606	7852/2352/6457/55616/1601	5
hsa04964	Proximal tubule bicarbonate reclamation	1/115	23/8388	0.272348478511006	0.998021673340706	0.993591646889606	478	1
hsa05214	Glioma	2/115	75/8388	0.274722232224707	0.998021673340706	0.993591646889606	4616/7039	2
hsa05212	Pancreatic cancer	2/115	76/8388	0.27982118840793	0.998021673340706	0.993591646889606	4616/7039	2
hsa04910	Insulin signaling pathway	3/115	137/8388	0.289876979230879	0.998021673340706	0.993591646889606	2308/9021/8651	3
hsa04915	Estrogen signaling pathway	3/115	138/8388	0.293629071835914	0.998021673340706	0.993591646889606	7039/2852/2911	3
hsa01521	EGFR tyrosine kinase inhibitor resistance	2/115	79/8388	0.295100978681699	0.998021673340706	0.993591646889606	2065/7039	2
hsa04950	Maturity onset diabetes of the young	1/115	26/8388	0.301952011483706	0.998021673340706	0.993591646889606	3171	1
hsa04012	ErbB signaling pathway	2/115	85/8388	0.325508473347996	0.998021673340706	0.993591646889606	2065/7039	2
hsa04742	Taste transduction	2/115	86/8388	0.330547655199895	0.998021673340706	0.993591646889606	80835/2911	2
hsa04911	Insulin secretion	2/115	86/8388	0.330547655199895	0.998021673340706	0.993591646889606	478/6262	2
hsa05210	Colorectal cancer	2/115	86/8388	0.330547655199895	0.998021673340706	0.993591646889606	4616/7039	2
hsa05226	Gastric cancer	3/115	149/8388	0.335046718088202	0.998021673340706	0.993591646889606	4616/2254/5243	3
