# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "50" "-p" "-t" "exon" "-g" "gene_id" "-a" "/home/zju/桌面/2023_ZM_RNA/0.ref/Homo_sapiens.GRCh38.105.gtf.gz" "-o" "./6.featureCounts/D3_M3_expression.txt" "./5.alignment/D1.Hisat_aln.sorted.bam" "./5.alignment/D2.Hisat_aln.sorted.bam" "./5.alignment/D3.Hisat_aln.sorted.bam" "./5.alignment/M1.Hisat_aln.sorted.bam" "./5.alignment/M2.Hisat_aln.sorted.bam" "./5.alignment/M3.Hisat_aln.sorted.bam" 
Geneid	./5.alignment/D1.Hisat_aln.sorted.bam	./5.alignment/D2.Hisat_aln.sorted.bam	./5.alignment/D3.Hisat_aln.sorted.bam	./5.alignment/M1.Hisat_aln.sorted.bam	./5.alignment/M2.Hisat_aln.sorted.bam	./5.alignment/M3.Hisat_aln.sorted.bam
ENSG00000186827	4	6	0	0	4	1
ENSG00000186891	6	8	4	0	0	3
ENSG00000160072	1270	1428	1395	1769	2029	1909
ENSG00000260179	0	4	5	12	1	4
ENSG00000234396	0	0	0	0	2	0
ENSG00000225972	4323	4740	3946	4496	5495	5837
ENSG00000224315	0	0	2	0	0	0
ENSG00000198744	132	130	112	119	114	138
ENSG00000279928	11	8	2	0	4	6
ENSG00000228037	1	2	3	5	3	2
ENSG00000142611	0	2	4	2	6	2
ENSG00000225630	8422	8680	8273	9319	10873	13316
ENSG00000131584	958	1050	1095	1362	1648	1505
ENSG00000227589	0	0	0	0	0	2
ENSG00000237402	0	0	1	0	0	0
ENSG00000284616	0	0	0	0	0	0
ENSG00000169972	92	80	94	84	85	73
ENSG00000157911	298	352	314	271	410	434
ENSG00000269896	26	22	44	17	20	23
ENSG00000237973	520	651	552	599	732	718
ENSG00000224051	188	228	222	192	200	262
ENSG00000228463	32	21	26	29	26	22
ENSG00000260972	0	0	0	0	0	0
ENSG00000157933	1739	1839	1763	2569	2946	2696
ENSG00000162591	100	114	128	85	73	85
ENSG00000224340	0	1	0	0	0	0
ENSG00000270035	2	0	0	0	0	0
ENSG00000169962	10	9	7	10	11	16
ENSG00000226545	0	0	0	0	0	0
ENSG00000233653	2	1	0	1	2	0
ENSG00000268663	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0
ENSG00000116285	22	39	18	73	86	75
ENSG00000229280	0	2	0	0	0	0
ENSG00000142655	533	647	531	387	511	429
ENSG00000232596	0	0	0	0	0	0
ENSG00000235054	0	0	2	0	0	0
ENSG00000232663	0	0	0	0	0	0
ENSG00000284646	0	0	0	0	0	0
ENSG00000240409	19	15	17	18	20	24
ENSG00000229344	24	18	19	26	31	18
ENSG00000231510	1	0	0	0	0	0
ENSG00000149527	18	10	11	9	11	31
ENSG00000284739	0	0	0	0	0	0
ENSG00000171621	7	4	6	20	9	12
ENSG00000272235	0	0	0	0	0	0
ENSG00000236679	1	6	2	1	2	3
ENSG00000284694	0	0	0	0	0	0
ENSG00000162441	957	1115	1120	1032	1275	1362
ENSG00000230021	11	9	7	5	14	10
ENSG00000271264	0	0	0	0	0	0
ENSG00000287356	9	17	12	13	6	6
ENSG00000224387	2	0	0	0	2	0
ENSG00000285629	0	0	0	1	0	0
ENSG00000173673	0	0	0	0	0	0
ENSG00000227372	4219	4649	4234	6143	6607	6682
ENSG00000142583	2	1	2	1	0	0
ENSG00000223663	4	0	0	0	0	0
ENSG00000284674	0	0	0	0	0	2
ENSG00000272161	0	0	0	2	0	2
ENSG00000237094	19	9	17	16	19	13
ENSG00000224338	0	0	0	0	0	0
ENSG00000074800	12767	14141	14766	19781	20708	21577
ENSG00000116786	2686	2994	2949	2646	2834	2737
ENSG00000287727	3	6	3	8	1	2
ENSG00000176022	79	106	102	70	70	69
ENSG00000223989	0	0	0	0	0	0
ENSG00000228423	1	0	0	1	0	0
ENSG00000286448	1	0	1	0	0	2
ENSG00000162496	76	57	61	31	40	30
ENSG00000237365	0	0	0	0	0	0
ENSG00000131686	0	1	1	0	2	0
ENSG00000229305	0	0	1	2	0	2
