ID	D1	D2	D3	M1	M2	M3
TNFRSF4	4	6	0	0	4	1
TNFRSF18	6	8	4	0	0	3
ATAD3B	1270	1428	1395	1769	2029	1909
MTND1P23	4323	4740	3946	4496	5495	5837
RPL7P7	0	0	2	0	0	0
MTCO3P12	132	130	112	119	114	138
DDX11L17	11	8	2	0	4	6
PRDM16	0	2	4	2	6	2
MTND2P28	8422	8680	8273	9319	10873	13316
ACAP3	958	1050	1095	1362	1648	1505
TP73-AS3	0	0	0	0	0	2
CAMTA1-IT1	0	0	1	0	0	0
PUSL1	92	80	94	84	85	73
PEX10	298	352	314	271	410	434
MTCO1P12	520	651	552	599	732	718
CPTP	188	228	222	192	200	262
SKI	1739	1839	1763	2569	2946	2696
MEGF6	100	114	128	85	73	85
TAS1R3	10	9	7	10	11	16
CICP7	2	1	0	1	2	0
WBP1LP6	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0
ERRFI1	22	39	18	73	86	75
EEF1DP6	0	2	0	0	0	0
PEX14	533	647	531	387	511	429
LINC01646	0	0	0	0	0	0
LINC01777	0	0	2	0	0	0
MTATP8P1	19	15	17	18	20	24
MTCO2P12	24	18	19	26	31	18
LINC02782	1	0	0	0	0	0
PLCH2	18	10	11	9	11	31
SPSB1	7	4	6	20	9	12
RPL23AP24	1	6	2	1	2	3
LZIC	957	1115	1120	1032	1275	1362
MZT1P1	0	0	0	0	0	0
HES3	0	0	0	0	0	0
TP73-AS1	4219	4649	4234	6143	6607	6682
SLC2A5	2	1	2	1	0	0
NDUFB4P8	4	0	0	0	0	0
LINC02781	0	0	0	0	0	2
MTCYBP45	0	0	0	0	0	0
ENO1	12767	14141	14766	19781	20708	21577
PLEKHM2	2686	2994	2949	2646	2834	2737
B3GALT6	79	106	102	70	70	69
DHRS3	76	57	61	31	40	30
CA6	0	1	1	0	2	0
RPL22P3	0	0	0	1	3	0
LRRC38	0	2	0	0	0	1
NMNAT1	140	142	152	181	193	217
MTATP6P1	137575	154203	139521	133278	180803	173468
CAMTA1-AS2	0	0	0	2	0	0
MFFP1	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PGAM1P11	6	5	8	6	6	4
CCDC27	93	70	71	39	50	39
CHD5	23	31	36	53	56	58
VAMP3	446	532	511	480	522	510
FLJ37453	88	107	93	94	87	89
PRAMEF29P	0	0	0	1	0	0
DISP3	4	2	2	2	5	6
CLSTN1	337	331	412	515	650	555
MMEL1	6	3	2	2	3	3
SCNN1D	48	68	56	34	33	49
TMEM51	16	10	8	13	10	10
C1orf127	0	0	2	4	0	1
WASH9P	767	823	929	1135	917	879
TTLL10	0	0	1	1	0	4
RPL39P6	0	0	0	0	0	0
TPRG1L	1019	1151	1122	1118	1260	1229
FBXO42	993	1192	1176	1085	1237	1287
C1QTNF12	14	21	7	6	8	2
ALDH4A1	305	359	323	211	305	313
RERE	3570	3750	3469	3220	3239	3438
CLCN6	728	840	772	839	991	974
TTC34	5	2	1	5	4	5
PRAMEF2	0	0	0	0	0	4
PRAMEF4	0	0	0	0	0	0
CELA2A	6	5	10	16	25	28
CELA2B	48	39	17	53	42	38
SPEN	9657	10455	10323	13002	14450	14309
RER1	1540	1531	1541	1596	1955	1768
PANK4	423	502	487	535	587	466
WRAP73	273	280	366	325	363	356
TMEM274P	0	0	0	0	0	0
VPS13D	1668	1849	1832	1759	2020	1848
HTR6	3	0	0	2	0	5
LINC01647	4	10	4	8	23	16
RPL10P17	0	0	0	0	0	2
ARHGEF16	2	9	1	5	4	4
