ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	entrezID
IFIT1B	-5.166732588	7.318732499	-41.56957462	5.63e-08	0.001544137	7.875726586	439996
TNS1	-3.646198952	12.04510023	-29.45104241	3.59e-07	0.003490126	6.952341275	7145
EPCAM	-3.275257328	9.788580345	-28.30631856	4.44e-07	0.003490126	6.822600802	4072
TRIM10	-2.923279976	12.06868745	-25.98773816	7.03e-07	0.003490126	6.526386297	10107
S1PR5	2.935784974	1.467892487	24.96221857	8.72e-07	0.003490126	6.379119248	53637
EVPL	-2.843052814	8.496765013	-24.38390325	9.88e-07	0.003490126	6.291144894	2125
LRP1	-3.43477616	10.07834037	-23.42687434	1.22e-06	0.003490126	6.137127813	4035
CALB1	-3.663941507	10.19281666	-23.0938995	1.32e-06	0.003490126	6.080931482	793
TUBAP11	2.321928095	1.160964047	22.36705432	1.57e-06	0.003490126	5.953279048	100132824
PLXND1	-3.750846046	8.680854519	-22.18601339	1.64e-06	0.003490126	5.92037835	23129
HEPACAM2	-3.876808956	4.583950458	-21.85241408	1.78e-06	0.003490126	5.858552349	253012
ACSL6	-2.651000914	8.200905536	-20.94199415	2.23e-06	0.003490126	5.681529609	23305
H2BC18	2.425925601	6.533687144	20.72726241	2.36e-06	0.003490126	5.637921926	440689
BTNL10	-2.424946444	8.191291192	-20.54323394	2.47e-06	0.003490126	5.599961451	NA
AQP1	-2.738403568	7.0350459	-20.0683668	2.8e-06	0.003490126	5.499427254	358
KRT13	-4.138913456	8.525004188	-19.62390784	3.16e-06	0.003490126	5.401833194	3860
RHOB	3.896509447	8.003884323	19.59588682	3.18e-06	0.003490126	5.395563361	388
BCL2L14	2	1	19.26593194	3.48e-06	0.003490126	5.320661795	79370
ZDHHC11B	-2.813380409	9.470037627	-19.25446502	3.49e-06	0.003490126	5.318022736	653082
S1PR4	-3.503663015	5.763774865	-19.20476499	3.54e-06	0.003490126	5.306556164	8698
SLC14A1	-2.926582773	9.380243728	-19.10434687	3.64e-06	0.003490126	5.283246847	6563
TNFRSF19	-2.285241217	7.077935726	-18.94304375	3.81e-06	0.003490126	5.245404764	55504
FAM178B	-5.759944655	8.03776855	-18.91186476	3.84e-06	0.003490126	5.23803266	51252
H4-16	2.620017448	5.948261671	18.86126807	3.9e-06	0.003490126	5.22602941	NA
NEFL	5.043300235	5.408909484	18.23611328	4.67e-06	0.003490126	5.073541352	4747
H2BC14	2.307503477	5.794520288	18.10716074	4.85e-06	0.003490126	5.041097274	8342
MS4A2	-4.175972262	5.680404569	-18.077257	4.89e-06	0.003490126	5.033523868	2206
CD9	2.038107603	7.234962276	18.05698391	4.92e-06	0.003490126	5.028378803	928
SEC14L3	-3.395045102	6.648625736	-18.05089697	4.93e-06	0.003490126	5.026832317	266629
FCGR2C	-3.032902136	4.822738814	-17.85297567	5.22e-06	0.003490126	4.976117659	9103
ATP2B4	-2.170779919	10.66929218	-17.72358861	5.43e-06	0.003490126	4.942508001	493
LTBP3	-2.08989075	9.381461199	-17.60022238	5.64e-06	0.003490126	4.910121097	4054
LGALS9	-2.975926085	6.923269455	-17.57808309	5.67e-06	0.003490126	4.904273341	3965
MIAT	-2.31045987	9.61262665	-17.52747908	5.76e-06	0.003490126	4.890866089	440823
OR52A5	-3.005213951	5.302900121	-17.49534427	5.82e-06	0.003490126	4.882322437	390054
SPOCK1	2.449274996	7.56128712	17.41127324	5.97e-06	0.003490126	4.859860726	6695
ENG	-2.647518018	9.104557287	-17.18815721	6.39e-06	0.003490126	4.799469442	2022
ATP1B4	2.128558472	8.768103	17.15238447	6.46e-06	0.003490126	4.789680006	23439
