ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-73728	RNA Polymerase I Promoter Opening	48/808	63/10899	6.47538871347609e-42	7.77694184488479e-39	6.87754443357619e-39	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/MAPK3/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	48
R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	48/808	67/10899	9.6335106854223e-40	5.78492316659609e-37	5.11590120083742e-37	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/KLK3/H4C1	48
R-HSA-5334118	DNA methylation	47/808	65/10899	3.03906832226377e-39	1.2166403516796e-36	1.07593682005759e-36	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-427359	SIRT1 negatively regulates rRNA expression	47/808	68/10899	9.2486719526493e-38	2.77691375378295e-35	2.45576578953241e-35	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-68616	Assembly of the ORC complex at the origin of replication	47/808	69/10899	2.70130466757221e-37	6.48853381150846e-35	5.73813980964287e-35	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-3214815	HDACs deacetylate histones	54/808	94/10899	6.07146988696696e-37	1.21530588904122e-34	1.07475668700871e-34	H2BC18/H2BC14/H2AC15/H2BC9/H3C11/H2AC12/H3C13/H4C5/H2AC11/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2AC17/H2BC3/H2AC13/H2BC15/H2BC8/H3C1/H2AC21/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H2AC16/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	54
R-HSA-9616222	Transcriptional regulation of granulopoiesis	52/808	90/10899	8.75461519561587e-36	1.50204183570495e-33	1.3283318394551e-33	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/SPI1/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/FLI1/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/MYB/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/KLF5/H3C8/H3C12/H2AC20/CEBPA/H3C15/H4C14/H4C1	52
R-HSA-212300	PRC2 methylates histones and DNA	47/808	73/10899	1.47906105342609e-35	1.9737248057386e-33	1.74546503263968e-33	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-9710421	Defective pyroptosis	47/808	73/10899	1.47906105342609e-35	1.9737248057386e-33	1.74546503263968e-33	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-2299718	Condensation of Prophase Chromosomes	47/808	74/10899	3.77496475260786e-35	4.53373266788204e-33	4.00940993198035e-33	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-427389	ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	47/808	76/10899	2.29796857514981e-34	2.50896387159539e-32	2.21880410748915e-32	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex	50/808	91/10899	5.44788759453178e-33	5.45242750086055e-31	4.82185840603733e-31	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/TLE4/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/PYGO1/H4C14/H4C1/TCF7	50
R-HSA-9610379	HCMV Late Events	55/808	116/10899	8.7127363115871e-32	8.04922793093547e-30	7.11834084080274e-30	H2BC18/H2BC14/H2AC15/H2BC9/VPS37D/H3C11/H2AC12/H3C13/H4C5/H2AC11/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2AC17/H2BC3/H2AC13/H2BC15/H2BC8/H3C1/H2AC21/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H2AC16/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	55
R-HSA-912446	Meiotic recombination	47/808	86/10899	6.27523451865483e-31	5.38325475493175e-29	4.76068543558099e-29	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-5625740	RHO GTPases activate PKNs	49/808	95/10899	1.26386051173715e-30	9.77674752173395e-29	8.6460741044126e-29	RHOB/H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/KLK3/H4C1	49
R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	53/808	112/10899	1.30248093545165e-30	9.77674752173395e-29	8.6460741044126e-29	H2BC14/H2BC9/H3C11/JUN/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/CDK6/H4C4/H4C2/MAPK3/H3C2/H4C15/H2BC21/H4C12/UBE2D1/H3C6/H4C11/H3C8/CXCL8/H3C12/H2AC20/H3C15/H4C14/CCNA1/H4C1	53
R-HSA-1912408	Pre-NOTCH Transcription and Translation	48/808	93/10899	4.8782553163279e-30	3.44634390288812e-28	3.04777685088226e-28	H2BC14/H2BC9/H3C11/JUN/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	48
R-HSA-977225	Amyloid fiber formation	52/808	111/10899	8.81107609819679e-30	5.87894577440797e-28	5.19905016554419e-28	CALB1/H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/APOA1/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/LYZ/H3C12/H2AC20/LTF/H3C15/H4C14/SORL1/H4C1	52
