ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	entrezID
S1PR5	2.935784974	1.467892487	24.96221857	8.72e-07	0.003490126	6.379119248	53637
TUBAP11	2.321928095	1.160964047	22.36705432	1.57e-06	0.003490126	5.953279048	100132824
H2BC18	2.425925601	6.533687144	20.72726241	2.36e-06	0.003490126	5.637921926	440689
RHOB	3.896509447	8.003884323	19.59588682	3.18e-06	0.003490126	5.395563361	388
BCL2L14	2	1	19.26593194	3.48e-06	0.003490126	5.320661795	79370
H4-16	2.620017448	5.948261671	18.86126807	3.9e-06	0.003490126	5.22602941	NA
NEFL	5.043300235	5.408909484	18.23611328	4.67e-06	0.003490126	5.073541352	4747
H2BC14	2.307503477	5.794520288	18.10716074	4.85e-06	0.003490126	5.041097274	8342
CD9	2.038107603	7.234962276	18.05698391	4.92e-06	0.003490126	5.028378803	928
SPOCK1	2.449274996	7.56128712	17.41127324	5.97e-06	0.003490126	4.859860726	6695
ATP1B4	2.128558472	8.768103	17.15238447	6.46e-06	0.003490126	4.789680006	23439
BEX1	2.534449959	11.26973563	16.98893384	6.8e-06	0.003490126	4.744569463	55859
H2AC15	1.823973854	6.403116483	16.37216458	8.28e-06	0.003490126	4.568539311	8330
CYP1B1	2.22438062	10.88574829	16.32081162	8.42e-06	0.003490126	4.553455555	1545
RLN3	4.095542355	6.735007412	16.19818681	8.76e-06	0.003490126	4.517163598	117579
NEFM	5.606384861	8.264404697	15.61885659	1.06e-05	0.003490126	4.340333879	4741
H2BC9	1.898014147	6.806563948	15.33432478	1.17e-05	0.003490126	4.250112248	8345
FAF1-AS1	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	105378715
PDPN	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	10630
LINC01964	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	100996478
SYNPR	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	132204
GPR62	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	118442
LSM3P4	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	100130178
ATP10B	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	23120
RIPPLY2	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	134701
VPS37D	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	155382
GRM3	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	2913
ANOS1	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	3730
FAM9B	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	171483
EIF1AX-AS1	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	100874078
PENK-AS1	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	101929415
LINC02747	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	105379407
CUX2	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	23316
ZNF114-AS1	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	105372429
RNY1P9	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	100874358
TRPC1	1.779858654	4.694824405	15.24390802	1.21e-05	0.003490126	4.22095919	7220
H3C11	2.097574235	7.833024318	15.15540741	1.25e-05	0.003525123	4.19219419	8354
HSPA2	2.070357181	9.561892546	14.72159548	1.45e-05	0.003826392	4.047824063	3306
LINC01447	2.317891592	5.449645025	14.70690399	1.46e-05	0.003826392	4.042834673	101929086
HSPA1B	1.646007863	9.325293046	14.68257245	1.47e-05	0.003826392	4.034556709	3304
ESPN	1.688915469	10.78426286	14.61210038	1.51e-05	0.003876073	4.010477053	83715
H1-3	2.348786833	8.429184866	14.46230414	1.6e-05	0.004008489	3.958774408	3007
JUN	1.755830098	11.22904166	14.31090734	1.69e-05	0.004080533	3.905791483	3725
SNHG5	2.411625118	9.433915461	14.20302787	1.76e-05	0.004116119	3.867583825	387066
TRO	1.9734568	6.523073205	13.97236177	1.91e-05	0.004136117	3.784594856	7216
H2AC12	2.204099512	8.043215709	13.85427237	2e-05	0.004209296	3.741413017	85235
CSRNP2	1.911740796	10.86450738	13.83815851	2.01e-05	0.004209296	3.735483556	81566
H3C13	2.353747696	8.094586099	13.67014434	2.15e-05	0.004302532	3.67312135	653604
H1-5	2.663723226	9.744239447	13.39914347	2.39e-05	0.004580582	3.570425145	3009
H4C5	2.017614809	8.456344508	13.1875161	2.6e-05	0.004784818	3.488367055	8367
SNHG12	1.99517928	9.227607744	13.0338989	2.76e-05	0.004979876	3.427750855	85028
FOLR3	2.302296865	1.151148433	12.87502592	2.94e-05	0.005068056	3.36410863	2352
H2AC11	2.227871061	8.749496931	12.83886395	2.99e-05	0.005068056	3.34948529	8969
H4C6	1.872084843	6.74201523	12.77108141	3.07e-05	0.005108779	3.321936226	8361
RNA5SP37	1.366182739	7.010316695	12.67694837	3.19e-05	0.00518287	3.283374376	100873369
RSPH1	1.847538737	4.425044614	12.64605416	3.23e-05	0.00518287	3.270641001	89765
PAM	1.4161218	9.653211038	12.43606377	3.53e-05	0.005474924	3.183061059	5066
H2BC4	1.658688287	7.2733709	12.3779002	3.62e-05	0.005522278	3.158480972	8347
PEG10	2.650428238	4.884454	12.30615618	3.73e-05	0.005578019	3.127966315	23089
KBTBD13	1.81981054	2.49486777	12.27863969	3.78e-05	0.005578019	3.116205122	390594
H2BC10	2.383326067	7.588740618	12.24405907	3.83e-05	0.005578019	3.101378911	8346
DGAT1	1.581270794	9.356855981	12.2376454	3.84e-05	0.005578019	3.098623489	8694
SNORD12C	2.121997399	6.498579091	12.12763109	4.03e-05	0.005786785	3.051084416	26765
CA3-AS1	1.653163849	6.91644911	12.04776301	4.17e-05	0.005898593	3.016243431	100996348
FRG2C	3.261544949	1.630772474	11.98342752	4.29e-05	0.006003295	2.987974823	100288801
U1	1.620079504	4.135799726	11.84270792	4.56e-05	0.006257942	2.925502251	NA
ERBB3	1.796104317	6.177162915	11.80308951	4.64e-05	0.006285576	2.907753002	2065
H1-4	2.274751994	9.764263872	11.73721035	4.78e-05	0.006391091	2.878080715	3008
DMXL2	2.197187286	7.352945882	11.73024217	4.79e-05	0.006391091	2.874930608	23312
H2BC7	2.080208666	6.391752138	11.6574676	4.95e-05	0.00647143	2.841897729	8343
ADCY6	1.678331807	6.28410988	11.5794694	5.13e-05	0.006612052	2.806220947	112
NANOS1	2.407984312	5.049407894	11.54023667	5.22e-05	0.00665713	2.788167999	340719
MUC4	1.889186529	4.154378804	11.53200652	5.24e-05	0.00665713	2.78437169	4585
FZD9	2.830617699	1.415308849	11.50882415	5.3e-05	0.006686603	2.773661185	8326
