ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05322	Systemic lupus erythematosus	56/338	136/8388	3.5828540476211e-43	1.02111340357201e-40	9.39084903008056e-41	440689/8342/8330/8345/8354/85235/653604/8367/8969/8361/8347/8346/8343/8344/8364/8335/8365/8331/126961/3012/8294/8336/3018/8329/8341/8339/8350/317772/3014/8968/3017/8970/723790/85236/8340/8337/8357/8368/8352/8348/8360/8366/8332/8358/554313/8349/8362/8353/8363/8355/8356/8338/333932/8370/7124/8359	56
hsa05034	Alcoholism	62/338	187/8388	4.00673523657149e-41	5.70959771211437e-39	5.2509319679279e-39	440689/8342/8330/8345/8354/85235/653604/8367/8969/8361/8347/8346/8343/8344/8364/8335/8365/8331/126961/3012/8294/5566/8336/3018/8329/8341/8339/8350/317772/94235/3014/8968/3017/8970/723790/85236/8340/8337/8357/8368/8352/8348/8360/8366/8332/8358/554313/2354/8349/8362/8353/10681/8363/8355/2905/8356/8338/333932/8370/116444/8359/2785	62
hsa04613	Neutrophil extracellular trap formation	59/338	190/8388	2.87142648672649e-37	2.72785516239017e-35	2.50871998313999e-35	440689/8342/8330/8345/8354/85235/653604/8367/8969/8361/8347/8346/8343/8344/8364/71/8335/8365/8331/126961/3012/8294/8336/3018/8329/8341/8339/8350/317772/5332/3014/8968/3017/8970/723790/85236/8340/8337/8357/8368/8352/8348/3690/8360/8366/8332/8358/554313/8349/8362/8353/8363/8355/6403/8356/8338/333932/8370/8359	59
hsa05203	Viral carcinogenesis	34/338	204/8388	9.49530060842237e-13	6.76540168350094e-11	6.22192066183466e-11	440689/8342/8345/3725/8367/8361/8347/8346/8343/8344/8364/8365/3105/8294/5566/3018/8341/8339/3017/8970/85236/8340/8368/3572/8348/8360/8366/554313/8349/8362/8363/3665/8370/8359	34
hsa05202	Transcriptional misregulation in cancer	22/338	193/8388	9.46712123871344e-06	0.000539625910606666	0.000496276460724136	8354/653604/4616/126961/8350/8968/2313/8357/8352/8358/10912/8353/2308/4914/8355/4211/4291/8356/1050/1437/333932/4318	22
hsa04724	Glutamatergic synapse	14/338	115/8388	0.00020178853682975	0.00883340718078065	0.00812379829368193	2913/7220/112/5566/5332/94235/9456/9762/10681/2905/100137049/2901/116444/2785	14
hsa04217	Necroptosis	17/338	159/8388	0.000216960878124437	0.00883340718078065	0.00812379829368193	8330/85235/8969/8335/8331/3012/8336/8329/317772/3014/723790/8337/8332/8338/100137049/7124/5602	17
hsa05131	Shigellosis	22/338	247/8388	0.000389057040409238	0.0138601570645791	0.0127467372449869	8354/3725/653604/71/126961/8350/5332/8968/8357/8352/8358/7321/8353/2308/8355/8356/375189/124404/1437/333932/7124/5602	22
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	9/338	77/8388	0.00362400980706247	0.114760310556978	0.105541338240767	71/6547/3690/55799/3680/2697/29119/6442/6932	9
hsa04970	Salivary secretion	10/338	93/8388	0.00408649044940067	0.116464977807919	0.107109065463239	23439/112/6558/5566/5332/2983/481/155/154/362	10
hsa05414	Dilated cardiomyopathy	10/338	96/8388	0.00513110590334496	0.132942289313938	0.122262714826114	112/71/5566/6547/3690/55799/3680/7124/6442/7042	10
hsa04926	Relaxin signaling pathway	12/338	129/8388	0.00571679645820005	0.135773915882251	0.124866870008054	117579/3725/112/5566/5332/94235/10681/5590/4318/5602/2785/4843	12
hsa04930	Type II diabetes mellitus	6/338	46/8388	0.00983596729100917	0.190470499913475	0.175169545626797	8651/389692/9021/5590/7124/5602	6
hsa05410	Hypertrophic cardiomyopathy	9/338	90/8388	0.0100644767479246	0.190470499913475	0.175169545626797	71/6547/3690/55799/1636/3680/7124/6442/7042	9
