ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0008380	RNA splicing	87/368	469/18903	2.11541220862056e-60	6.61066315193926e-57	5.18610003566031e-57	ACIN1/RBM25/SRRM1/CDC5L/CWC22/PRPF40A/PNN/DDX46/IK/COIL/IWS1/DDX41/RBM39/PPP1R9B/AFF2/HSPA8/THRAP3/NCL/TFIP11/ZCCHC8/ZRANB2/PRPF6/HSPA1A/POLR2A/SUPT6H/SNRNP200/ENY2/RPS13/NCBP1/EFTUD2/PRPF8/PRPF31/MFAP1/SNRNP40/SRRM2/SAP18/RAVER1/RBM14/DDX5/DHX9/XAB2/SF3B2/KHDRBS1/DHX15/RBM10/PLRG1/AQR/CWC15/DDX17/U2AF1/PABPC1/SF3B3/SF1/SF3A1/PHF5A/SF3A2/SNRPD1/ZNF326/SF3B1/HNRNPM/RALY/PUF60/SF3A3/HNRNPA3/SMU1/PPP2R1A/HNRNPC/SNRPB2/SNRPD2/U2AF2/ARL6IP4/RBM17/SF3B5/SF3B4/TAF15/PTBP1/HNRNPA2B1/HNRNPH1/NPM1/SNRPA1/SYNCRIP/HNRNPL/PRMT1/HNRNPH3/PRPF3/SNRPD3/TRA2A	87
BP	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	71/368	329/18903	8.68238615798683e-54	9.04415224790295e-51	7.09518503928117e-51	RBM25/SRRM1/CDC5L/CWC22/PRPF40A/PNN/DDX46/IK/COIL/DDX41/RBM39/HSPA8/THRAP3/NCL/TFIP11/ZCCHC8/PRPF6/SNRNP200/NCBP1/EFTUD2/PRPF8/PRPF31/MFAP1/SNRNP40/SRRM2/SAP18/RAVER1/RBM14/DDX5/DHX9/XAB2/SF3B2/KHDRBS1/RBM10/PLRG1/AQR/CWC15/DDX17/U2AF1/PABPC1/SF3B3/SF1/SF3A1/PHF5A/SF3A2/SNRPD1/SF3B1/HNRNPM/RALY/PUF60/SF3A3/HNRNPA3/SMU1/HNRNPC/SNRPB2/SNRPD2/U2AF2/RBM17/SF3B5/SF3B4/PTBP1/HNRNPA2B1/HNRNPH1/NPM1/SNRPA1/SYNCRIP/HNRNPL/HNRNPH3/PRPF3/SNRPD3/TRA2A	71
BP	GO:0000398	mRNA splicing, via spliceosome	71/368	329/18903	8.68238615798683e-54	9.04415224790295e-51	7.09518503928117e-51	RBM25/SRRM1/CDC5L/CWC22/PRPF40A/PNN/DDX46/IK/COIL/DDX41/RBM39/HSPA8/THRAP3/NCL/TFIP11/ZCCHC8/PRPF6/SNRNP200/NCBP1/EFTUD2/PRPF8/PRPF31/MFAP1/SNRNP40/SRRM2/SAP18/RAVER1/RBM14/DDX5/DHX9/XAB2/SF3B2/KHDRBS1/RBM10/PLRG1/AQR/CWC15/DDX17/U2AF1/PABPC1/SF3B3/SF1/SF3A1/PHF5A/SF3A2/SNRPD1/SF3B1/HNRNPM/RALY/PUF60/SF3A3/HNRNPA3/SMU1/HNRNPC/SNRPB2/SNRPD2/U2AF2/RBM17/SF3B5/SF3B4/PTBP1/HNRNPA2B1/HNRNPH1/NPM1/SNRPA1/SYNCRIP/HNRNPL/HNRNPH3/PRPF3/SNRPD3/TRA2A	71
BP	GO:0000375	RNA splicing, via transesterification reactions	71/368	333/18903	2.13680769733808e-53	1.66938101354538e-50	1.30963819134221e-50	RBM25/SRRM1/CDC5L/CWC22/PRPF40A/PNN/DDX46/IK/COIL/DDX41/RBM39/HSPA8/THRAP3/NCL/TFIP11/ZCCHC8/PRPF6/SNRNP200/NCBP1/EFTUD2/PRPF8/PRPF31/MFAP1/SNRNP40/SRRM2/SAP18/RAVER1/RBM14/DDX5/DHX9/XAB2/SF3B2/KHDRBS1/RBM10/PLRG1/AQR/CWC15/DDX17/U2AF1/PABPC1/SF3B3/SF1/SF3A1/PHF5A/SF3A2/SNRPD1/SF3B1/HNRNPM/RALY/PUF60/SF3A3/HNRNPA3/SMU1/HNRNPC/SNRPB2/SNRPD2/U2AF2/RBM17/SF3B5/SF3B4/PTBP1/HNRNPA2B1/HNRNPH1/NPM1/SNRPA1/SYNCRIP/HNRNPL/HNRNPH3/PRPF3/SNRPD3/TRA2A	71
BP	GO:0006368	transcription elongation by RNA polymerase II promoter	38/368	109/18903	1.35319879107451e-37	8.45749244421572e-35	6.63494733560536e-35	PWWP2B/BRD4/CTR9/MED1/GTF2F1/CCNT1/RTF1/ELL/LEO1/PAF1/EAF1/CDC73/MED26/INTS1/MED24/CDK9/SUPT16H/INTS6/SUPT6H/MED17/MED14/ENY2/MED11/INTS3/MED16/NCBP1/MED4/MED31/MED23/MED30/MED22/MED27/POLR2I/PCID2/MED15/MED6/MED20/INTS4	38
BP	GO:0006354	DNA-templated transcription elongation	50/368	241/18903	6.77567377406563e-37	3.52899675732585e-34	2.76851652978927e-34	PWWP2B/BRD4/CTR9/MED1/GTF2F1/CCNT1/RTF1/ELL/LEO1/BCLAF1/PAF1/SMARCD1/THRAP3/EAF1/CDC73/MED26/INTS1/MED24/CDK9/SUPT16H/INTS6/SUPT6H/MED17/MED14/ENY2/MED11/INTS3/MED16/NCBP1/MED4/MED31/MED23/MED30/DHX9/MED22/SAP30/MTA2/MED27/TP53BP1/POLR2I/PCID2/ZNF326/MED15/RALY/MED6/WDR82/MED20/TAF15/SMARCD2/INTS4	50
BP	GO:0032968	positive regulation of transcription elongation by RNA polymerase II	27/368	49/18903	8.38452984208586e-34	3.74309367950261e-31	2.93647669206285e-31	PWWP2B/BRD4/MED1/GTF2F1/CCNT1/ELL/LEO1/CDC73/MED26/MED24/CDK9/SUPT16H/SUPT6H/MED17/MED14/MED11/MED16/NCBP1/MED4/MED31/MED23/MED30/MED22/MED27/MED15/MED6/MED20	27
BP	GO:0016570	histone modification	62/368	474/18903	1.94652416379651e-33	7.60361001483012e-31	5.96507207563431e-31	SETD1A/PWWP2B/BRD4/DDX21/CTR9/MLLT1/IWS1/RTF1/TAF1/LEO1/CHD4/PAF1/CXXC1/CDC73/RNF2/RBBP5/PARP2/SAP30BP/MED24/CDK9/SUPT6H/MSL3/ENY2/HCFC1/BAP1/UHRF1/TAF6/SIN3A/EHMT1/RBM14/MSL2/EHMT2/TAF5/MTA2/DNMT1/OGT/DPY30/BRMS1/SPI1/MBD3/AKAP8/SF3B3/GTF3C4/YEATS2/GATAD2B/HDAC1/HDAC2/SF3B1/WDR5/RBBP4/GATAD2A/EP400/ASH2L/WDR82/RIF1/SF3B5/RCOR1/RUVBL2/TRERF1/TBL1XR1/PRMT1/RUVBL1	62
BP	GO:0034243	regulation of transcription elongation by RNA polymerase II	32/368	86/18903	7.22309409543119e-33	2.50801878313583e-30	1.96755393546892e-30	PWWP2B/BRD4/MED1/GTF2F1/CCNT1/ELL/LEO1/EAF1/CDC73/MED26/INTS1/MED24/CDK9/SUPT16H/INTS6/SUPT6H/MED17/MED14/MED11/INTS3/MED16/NCBP1/MED4/MED31/MED23/MED30/MED22/MED27/MED15/MED6/MED20/INTS4	32
BP	GO:0032784	regulation of DNA-templated transcription elongation	34/368	104/18903	1.2671065247272e-32	3.9597078897725e-30	3.10641168009437e-30	PWWP2B/BRD4/MED1/GTF2F1/CCNT1/ELL/LEO1/EAF1/CDC73/MED26/INTS1/MED24/CDK9/SUPT16H/INTS6/SUPT6H/MED17/MED14/MED11/INTS3/MED16/NCBP1/MED4/MED31/MED23/MED30/MED22/MED27/ZNF326/MED15/MED6/WDR82/MED20/INTS4	34
