ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0034243	regulation of transcription elongation by RNA polymerase II	28/239	86/18903	2.52E-32	1.27E-29	9.99E-30	PWWP2B/BRD4/MED1/GTF2F1/CCNT1/ELL/LEO1/EAF1/CDC73/MED26/INTS1/MED24/CDK9/SUPT16H/INTS6/SUPT6H/MED17/MED14/MED11/INTS3/MED16/NCBP1/MED4/MED31/MED23/MED30/MED22/MED27	28
BP	GO:0016570	histone modification	46/239	474/18903	1.48E-27	3.41E-25	2.67E-25	SETD1A/PWWP2B/BRD4/DDX21/CTR9/MLLT1/IWS1/RTF1/TAF1/LEO1/CHD4/PAF1/CXXC1/CDC73/RNF2/RBBP5/PARP2/SAP30BP/MED24/CDK9/SUPT6H/MSL3/ENY2/HCFC1/BAP1/UHRF1/TAF6/SIN3A/EHMT1/RBM14/MSL2/EHMT2/TAF5/MTA2/DNMT1/OGT/DPY30/BRMS1/SPI1/MBD3/AKAP8/SF3B3/GTF3C4/YEATS2/GATAD2B/HDAC1	46
BP	GO:0006338	chromatin remodeling	29/239	373/18903	5.20E-15	5.71E-13	4.48E-13	BRD4/BRD3/DDX21/CHD8/BRD2/CHD9/CTR9/MLLT1/NFRKB/CHD4/SMARCA4/SMARCD1/HELLS/SSRP1/SUPT16H/SUPT6H/MPHOSPH8/HCFC1/CHD1L/SIN3A/BCL7A/ACTR8/SMARCC1/MTA2/DNMT1/MBD3/YEATS2/GATAD2B/HDAC1	29
BP	GO:0040029	epigenetic regulation of gene expression	12/239	163/18903	1.14E-06	3.02E-05	2.37E-05	CTR9/SMARCD1/HELLS/MSL3/MPHOSPH8/SIN3A/MSL2/DNMT1/OGT/SPI1/MBD3/HDAC1	12
BP	GO:0008380	RNA splicing	54/239	469/18903	2.84E-36	3.58E-33	2.81E-33	ACIN1/RBM25/SRRM1/CDC5L/CWC22/PRPF40A/PNN/DDX46/IK/COIL/IWS1/DDX41/RBM39/PPP1R9B/AFF2/HSPA8/THRAP3/NCL/TFIP11/ZCCHC8/ZRANB2/PRPF6/HSPA1A/POLR2A/SUPT6H/SNRNP200/ENY2/RPS13/NCBP1/EFTUD2/PRPF8/PRPF31/MFAP1/SNRNP40/SRRM2/SAP18/RAVER1/RBM14/DDX5/DHX9/XAB2/SF3B2/KHDRBS1/DHX15/RBM10/PLRG1/AQR/CWC15/DDX17/U2AF1/PABPC1/SF3B3/SF1/SF3A1	54
BP	GO:0018205	peptidyl-lysine modification	31/239	414/18903	1.58E-15	1.90E-13	1.49E-13	CBX4/SETD1A/PWWP2B/BRD4/DDX21/CTR9/MLLT1/IWS1/RTF1/TAF1/CXXC1/RBBP5/MED24/SUPT6H/MSL3/ENY2/HCFC1/TAF6/SIN3A/EHMT1/MSL2/EHMT2/TAF5/DNMT1/OGT/DPY30/SPI1/MBD3/SF3B3/GTF3C4/YEATS2	31
BP	GO:0019827	stem cell population maintenance	21/239	177/18903	9.15E-15	9.63E-13	7.56E-13	CTR9/RTF1/LEO1/SMARCA4/PAF1/SMARCD1/CDC73/MED17/MED14/ING1/MED30/SIN3A/SAP130/SAP30/BCL7A/SMARCC1/OGT/MED27/BRMS1/SPI1/HDAC1	21
BP	GO:0098727	maintenance of cell number	21/239	181/18903	1.44E-14	1.35E-12	1.06E-12	CTR9/RTF1/LEO1/SMARCA4/PAF1/SMARCD1/CDC73/MED17/MED14/ING1/MED30/SIN3A/SAP130/SAP30/BCL7A/SMARCC1/OGT/MED27/BRMS1/SPI1/HDAC1	21
BP	GO:0006282	regulation of DNA repair	21/239	212/18903	3.38E-13	2.57E-11	2.02E-11	NFRKB/SMARCA4/POGZ/SMARCD1/WDR48/TFIP11/CDK9/XRCC1/ENY2/PNKP/TAF6/DHX9/RPA2/PARP1/BCL7A/ACTR8/SMARCC1/TAF5/PRKDC/TP53BP1/SF3B3	21
BP	GO:1901987	regulation of cell cycle phase transition	23/239	453/18903	1.71E-08	6.36E-07	4.99E-07	PSME3/ATAD5/BRD4/CDC5L/IK/TAF1/PPP1R9B/SMARCA4/PAF1/SMARCD1/MDC1/CDC73/INTS3/NBN/SIN3A/RPA2/PLRG1/RAD50/BCL7A/SMARCC1/PRKDC/TP53BP1/DDX3X	23
BP	GO:0030099	myeloid cell differentiation	21/239	407/18903	5.62E-08	1.87E-06	1.47E-06	ACIN1/AP3B1/CTR9/MED1/LEO1/PAF1/CDC73/ADAR/HSPA1A/BAP1/TFRC/RPS19/HSPA9/PARP1/HCLS1/CBFB/CEBPE/PRKDC/SPI1/IKZF1/MYH9	21
BP	GO:0030218	erythrocyte differentiation	11/239	128/18903	6.96E-07	1.95E-05	1.53E-05	ACIN1/MED1/ADAR/HSPA1A/BAP1/RPS19/HSPA9/HCLS1/PRKDC/SPI1/IKZF1	11
BP	GO:0044728	DNA methylation or demethylation	9/239	105/18903	7.44E-06	0.000161933	0.000127116	HELLS/MPHOSPH8/EHMT1/PARP1/EHMT2/MTA2/DNMT1/SPI1/MBD3	9
BP	GO:0140718	facultative heterochromatin formation	5/239	32/18903	4.72E-05	0.000769137	0.000603767	HELLS/MPHOSPH8/DNMT1/MBD3/HDAC1	5
BP	GO:0002244	hematopoietic progenitor cell differentiation	9/239	133/18903	4.96E-05	0.000797932	0.00062637	AP3B1/SETD1A/MED1/ADAR/HSPA9/SIN3A/XRCC5/PRKDC/SPI1	9
