#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTR8	BRD3	9606.ENSP00000336842	9606.ENSP00000305918	0	0	0	0	0.060	0.555	0	0.085	0.584
ACTR8	BRD2	9606.ENSP00000336842	9606.ENSP00000378702	0	0	0	0	0	0.465	0	0.085	0.489
ACTR8	NFRKB	9606.ENSP00000336842	9606.ENSP00000436926	0	0	0	0	0.193	0.741	0.900	0.626	0.991
AKAP8	RBBP5	9606.ENSP00000269701	9606.ENSP00000264515	0	0	0	0	0.103	0.287	0	0.213	0.452
AKAP8	DPY30	9606.ENSP00000269701	9606.ENSP00000345837	0	0	0	0	0.055	0.292	0	0.765	0.829
BAP1	HCFC1	9606.ENSP00000417132	9606.ENSP00000309555	0	0	0	0	0.060	0.892	0.900	0.846	0.998
BAP1	RNF2	9606.ENSP00000417132	9606.ENSP00000356480	0	0	0	0	0	0	0.900	0.271	0.923
BAP1	HDAC1	9606.ENSP00000417132	9606.ENSP00000362649	0	0	0	0	0.050	0.292	0	0.197	0.413
BAP1	OGT	9606.ENSP00000417132	9606.ENSP00000362824	0	0	0	0	0	0.832	0.500	0.759	0.978
BAP1	NFRKB	9606.ENSP00000417132	9606.ENSP00000436926	0	0	0	0	0.072	0.180	0	0.345	0.458
BCL7A	SMARCC1	9606.ENSP00000445868	9606.ENSP00000254480	0	0	0	0	0.056	0.824	0.900	0.674	0.993
BCL7A	BRD3	9606.ENSP00000445868	9606.ENSP00000305918	0	0	0	0	0.042	0.421	0	0.099	0.456
BCL7A	SMARCA4	9606.ENSP00000445868	9606.ENSP00000343896	0	0	0	0	0.045	0.878	0.900	0.806	0.997
BCL7A	SMARCD1	9606.ENSP00000445868	9606.ENSP00000378414	0	0	0	0	0.098	0.868	0.900	0.711	0.996
BCL7A	BRD2	9606.ENSP00000445868	9606.ENSP00000378702	0	0	0	0	0.049	0.421	0	0.108	0.465
BRD2	SUPT16H	9606.ENSP00000378702	9606.ENSP00000216297	0	0	0	0	0.058	0.311	0	0.201	0.436
BRD2	SMARCC1	9606.ENSP00000378702	9606.ENSP00000254480	0	0	0	0	0.089	0.612	0	0.555	0.829
BRD2	CCNT1	9606.ENSP00000378702	9606.ENSP00000261900	0	0	0	0	0.119	0.045	0	0.867	0.878
BRD2	BRD4	9606.ENSP00000378702	9606.ENSP00000263377	0	0	0.058	0.921	0.122	0.803	0	0.794	0.961
BRD2	SSRP1	9606.ENSP00000378702	9606.ENSP00000278412	0	0	0	0	0.083	0.292	0	0.219	0.449
BRD2	MED1	9606.ENSP00000378702	9606.ENSP00000300651	0	0	0	0	0.083	0.292	0	0.529	0.668
BRD2	BRD3	9606.ENSP00000378702	9606.ENSP00000305918	0	0	0.061	0.958	0.054	0.837	0	0.952	0.992
BRD2	PWWP2B	9606.ENSP00000378702	9606.ENSP00000306324	0	0	0	0	0	0.641	0	0.126	0.672
BRD2	ACTR8	9606.ENSP00000378702	9606.ENSP00000336842	0	0	0	0	0	0.465	0	0.085	0.489
BRD2	SMARCA4	9606.ENSP00000378702	9606.ENSP00000343896	0	0	0	0	0.128	0.629	0	0.674	0.885
BRD2	DNMT1	9606.ENSP00000378702	9606.ENSP00000352516	0	0	0	0	0.072	0.292	0	0.337	0.526
BRD2	GATAD2B	9606.ENSP00000378702	9606.ENSP00000357644	0	0	0	0	0.089	0.383	0	0.072	0.433
BRD2	TAF5	9606.ENSP00000378702	9606.ENSP00000358854	0	0	0	0	0	0.628	0	0.120	0.659
BRD2	CDK9	9606.ENSP00000378702	9606.ENSP00000362361	0	0	0	0	0.087	0.068	0	0.898	0.906
BRD2	HDAC1	9606.ENSP00000378702	9606.ENSP00000362649	0	0	0	0	0.082	0.071	0	0.452	0.492
BRD2	SMARCD1	9606.ENSP00000378702	9606.ENSP00000378414	0	0	0	0	0.056	0.625	0	0.166	0.679
BRD2	MED22	9606.ENSP00000378702	9606.ENSP00000482438	0	0	0	0	0.066	0.292	0	0.216	0.437
BRD2	MBD3	9606.ENSP00000378702	9606.ENSP00000412302	0	0	0	0	0.056	0.421	0	0.064	0.443
BRD2	NFRKB	9606.ENSP00000378702	9606.ENSP00000436926	0	0	0	0	0.106	0.421	0	0	0.460
BRD2	BCL7A	9606.ENSP00000378702	9606.ENSP00000445868	0	0	0	0	0.049	0.421	0	0.108	0.465
BRD2	CHD8	9606.ENSP00000378702	9606.ENSP00000495240	0	0	0	0	0.134	0.354	0	0.196	0.512
BRD2	EHMT1	9606.ENSP00000378702	9606.ENSP00000417980	0	0	0	0	0.074	0.439	0	0.216	0.557
BRD2	EHMT2	9606.ENSP00000378702	9606.ENSP00000379078	0	0	0	0	0.067	0.439	0	0.337	0.623
BRD2	TAF1	9606.ENSP00000378702	9606.ENSP00000406549	0	0	0	0.552	0	0.665	0	0.333	0.767
BRD2	TAF6	9606.ENSP00000378702	9606.ENSP00000399982	0	0	0	0	0.054	0.636	0	0.435	0.789
BRD2	CHD4	9606.ENSP00000378702	9606.ENSP00000440542	0	0	0	0	0.177	0.553	0	0.501	0.800
BRD3	SUPT16H	9606.ENSP00000305918	9606.ENSP00000216297	0	0	0	0	0.067	0.454	0	0.165	0.538
BRD3	MLLT1	9606.ENSP00000305918	9606.ENSP00000252674	0	0	0	0	0.049	0.112	0	0.354	0.407
BRD3	SMARCC1	9606.ENSP00000305918	9606.ENSP00000254480	0	0	0	0	0.203	0.303	0	0.177	0.504
BRD3	CCNT1	9606.ENSP00000305918	9606.ENSP00000261900	0	0	0	0	0.114	0.045	0	0.532	0.570
BRD3	BRD4	9606.ENSP00000305918	9606.ENSP00000263377	0	0	0.052	0.945	0.139	0.828	0	0.753	0.960
BRD3	SSRP1	9606.ENSP00000305918	9606.ENSP00000278412	0	0	0	0	0.111	0.292	0	0.187	0.444
BRD3	MED30	9606.ENSP00000305918	9606.ENSP00000297347	0	0	0	0	0.138	0.292	0	0.113	0.411
BRD3	MED1	9606.ENSP00000305918	9606.ENSP00000300651	0	0	0	0	0.115	0.292	0	0.140	0.415
BRD3	GATAD2B	9606.ENSP00000305918	9606.ENSP00000357644	0	0	0	0	0.135	0.292	0	0.172	0.449
BRD3	HDAC1	9606.ENSP00000305918	9606.ENSP00000362649	0	0	0	0	0.099	0.071	0	0.397	0.452
BRD3	BCL7A	9606.ENSP00000305918	9606.ENSP00000445868	0	0	0	0	0.042	0.421	0	0.099	0.456
BRD3	MBD3	9606.ENSP00000305918	9606.ENSP00000412302	0	0	0	0	0.083	0.421	0	0.064	0.459
BRD3	MED23	9606.ENSP00000305918	9606.ENSP00000357047	0	0	0	0	0.127	0.292	0	0.214	0.472
BRD3	DNMT1	9606.ENSP00000305918	9606.ENSP00000352516	0	0	0	0	0.054	0.292	0	0.279	0.475
BRD3	EHMT1	9606.ENSP00000305918	9606.ENSP00000417980	0	0	0	0	0.162	0.439	0	0.145	0.563
BRD3	CHD8	9606.ENSP00000305918	9606.ENSP00000495240	0	0	0	0	0.144	0.437	0	0.165	0.563
BRD3	NFRKB	9606.ENSP00000305918	9606.ENSP00000436926	0	0	0	0	0.134	0.519	0	0	0.565
BRD3	ACTR8	9606.ENSP00000305918	9606.ENSP00000336842	0	0	0	0	0.060	0.555	0	0.085	0.584
BRD3	PWWP2B	9606.ENSP00000305918	9606.ENSP00000306324	0	0	0	0	0.054	0.606	0	0.051	0.615
BRD3	CDK9	9606.ENSP00000305918	9606.ENSP00000362361	0	0	0	0	0.096	0.068	0	0.603	0.637
BRD3	TAF5	9606.ENSP00000305918	9606.ENSP00000358854	0	0	0	0	0.049	0.628	0	0.069	0.642
BRD3	HELLS	9606.ENSP00000305918	9606.ENSP00000377601	0	0	0	0	0.056	0.354	0	0.462	0.644
BRD3	SMARCA4	9606.ENSP00000305918	9606.ENSP00000343896	0	0	0	0	0.128	0.334	0	0.449	0.652
BRD3	SMARCD1	9606.ENSP00000305918	9606.ENSP00000378414	0	0	0	0	0.062	0.625	0	0.114	0.661
BRD3	TAF6	9606.ENSP00000305918	9606.ENSP00000399982	0	0	0	0	0.067	0.636	0	0.139	0.682
BRD3	EHMT2	9606.ENSP00000305918	9606.ENSP00000379078	0	0	0	0	0.125	0.534	0	0.311	0.694
BRD3	TAF1	9606.ENSP00000305918	9606.ENSP00000406549	0	0	0	0.556	0.066	0.665	0	0.307	0.764
BRD3	CHD4	9606.ENSP00000305918	9606.ENSP00000440542	0	0	0	0	0.170	0.553	0	0.576	0.829
BRD3	BRD2	9606.ENSP00000305918	9606.ENSP00000378702	0	0	0.061	0.958	0.054	0.837	0	0.952	0.992
BRD4	SUPT16H	9606.ENSP00000263377	9606.ENSP00000216297	0	0	0	0	0.067	0.635	0	0.254	0.723
BRD4	PAF1	9606.ENSP00000263377	9606.ENSP00000221265	0	0	0	0	0.071	0.510	0	0.084	0.547
BRD4	SPI1	9606.ENSP00000263377	9606.ENSP00000227163	0	0	0	0	0.049	0	0	0.710	0.712
BRD4	MED17	9606.ENSP00000263377	9606.ENSP00000251871	0	0	0	0	0.080	0.625	0	0.167	0.687
BRD4	MLLT1	9606.ENSP00000263377	9606.ENSP00000252674	0	0	0	0	0.063	0.344	0	0.544	0.695
BRD4	SMARCC1	9606.ENSP00000263377	9606.ENSP00000254480	0	0	0	0	0.129	0.631	0	0.305	0.757
BRD4	MED4	9606.ENSP00000263377	9606.ENSP00000258648	0	0	0	0	0.100	0.510	0	0	0.540
BRD4	CCNT1	9606.ENSP00000263377	9606.ENSP00000261900	0	0	0	0	0.096	0.874	0	0.999	0.999
BRD4	SETD1A	9606.ENSP00000263377	9606.ENSP00000262519	0	0	0	0	0.168	0.071	0	0.373	0.473
BRD4	ELL	9606.ENSP00000263377	9606.ENSP00000262809	0	0	0	0	0.059	0	0	0.449	0.459
BRD4	DPY30	9606.ENSP00000263377	9606.ENSP00000345837	0	0	0	0	0.064	0.292	0	0.177	0.407
BRD4	HELLS	9606.ENSP00000263377	9606.ENSP00000377601	0	0	0	0	0.056	0.354	0	0.132	0.426
BRD4	CHD1L	9606.ENSP00000263377	9606.ENSP00000358262	0	0	0	0	0.076	0.354	0	0.144	0.445
