Gene	Type
PWWP2B	gene
BRD4	gene
MED1	gene
GTF2F1	gene
CCNT1	gene
ELL	gene
LEO1	gene
EAF1	gene
CDC73	gene
MED26	gene
INTS1	gene
MED24	gene
CDK9	gene
SUPT16H	gene
INTS6	gene
SUPT6H	gene
MED17	gene
MED14	gene
MED11	gene
INTS3	gene
MED16	gene
NCBP1	gene
MED4	gene
MED31	gene
MED23	gene
MED30	gene
MED22	gene
MED27	gene
SETD1A	gene
PWWP2B	gene
BRD4	gene
DDX21	gene
CTR9	gene
MLLT1	gene
IWS1	gene
RTF1	gene
TAF1	gene
LEO1	gene
CHD4	gene
PAF1	gene
CXXC1	gene
CDC73	gene
RNF2	gene
RBBP5	gene
PARP2	gene
SAP30BP	gene
MED24	gene
CDK9	gene
SUPT6H	gene
MSL3	gene
ENY2	gene
HCFC1	gene
BAP1	gene
UHRF1	gene
TAF6	gene
SIN3A	gene
EHMT1	gene
RBM14	gene
MSL2	gene
EHMT2	gene
TAF5	gene
MTA2	gene
DNMT1	gene
OGT	gene
DPY30	gene
BRMS1	gene
SPI1	gene
MBD3	gene
AKAP8	gene
SF3B3	gene
GTF3C4	gene
YEATS2	gene
GATAD2B	gene
HDAC1	gene
BRD4	gene
BRD3	gene
DDX21	gene
CHD8	gene
BRD2	gene
CHD9	gene
CTR9	gene
MLLT1	gene
NFRKB	gene
CHD4	gene
SMARCA4	gene
SMARCD1	gene
HELLS	gene
SSRP1	gene
SUPT16H	gene
SUPT6H	gene
MPHOSPH8	gene
HCFC1	gene
CHD1L	gene
SIN3A	gene
BCL7A	gene
ACTR8	gene
SMARCC1	gene
MTA2	gene
DNMT1	gene
MBD3	gene
YEATS2	gene
GATAD2B	gene
HDAC1	gene
CTR9	gene
SMARCD1	gene
HELLS	gene
MSL3	gene
MPHOSPH8	gene
SIN3A	gene
MSL2	gene
DNMT1	gene
OGT	gene
SPI1	gene
MBD3	gene
HDAC1	gene
regulation of transcription elongation by RNA polymerase II	GO
histone modification	GO
chromatin remodeling	GO
epigenetic regulation of gene expression	GO
BRD4	Core
PWWP2B	regulation of transcription elongation by RNA polymerase II
BRD4	regulation of transcription elongation by RNA polymerase II
MED1	regulation of transcription elongation by RNA polymerase II
GTF2F1	regulation of transcription elongation by RNA polymerase II
CCNT1	regulation of transcription elongation by RNA polymerase II
ELL	regulation of transcription elongation by RNA polymerase II
LEO1	regulation of transcription elongation by RNA polymerase II
EAF1	regulation of transcription elongation by RNA polymerase II
CDC73	regulation of transcription elongation by RNA polymerase II
MED26	regulation of transcription elongation by RNA polymerase II
INTS1	regulation of transcription elongation by RNA polymerase II
MED24	regulation of transcription elongation by RNA polymerase II
CDK9	regulation of transcription elongation by RNA polymerase II
SUPT16H	regulation of transcription elongation by RNA polymerase II
INTS6	regulation of transcription elongation by RNA polymerase II
SUPT6H	regulation of transcription elongation by RNA polymerase II
MED17	regulation of transcription elongation by RNA polymerase II
MED14	regulation of transcription elongation by RNA polymerase II
MED11	regulation of transcription elongation by RNA polymerase II
INTS3	regulation of transcription elongation by RNA polymerase II
MED16	regulation of transcription elongation by RNA polymerase II
NCBP1	regulation of transcription elongation by RNA polymerase II
MED4	regulation of transcription elongation by RNA polymerase II
MED31	regulation of transcription elongation by RNA polymerase II
MED23	regulation of transcription elongation by RNA polymerase II
MED30	regulation of transcription elongation by RNA polymerase II
MED22	regulation of transcription elongation by RNA polymerase II
MED27	regulation of transcription elongation by RNA polymerase II
SETD1A	histone modification
PWWP2B	histone modification
BRD4	histone modification
DDX21	histone modification
CTR9	histone modification
MLLT1	histone modification
IWS1	histone modification
RTF1	histone modification
TAF1	histone modification
LEO1	histone modification
