,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
S100A9,632.839448007749,-2.99070486911572,0.168185942346805,-17.7821334374593,9.72095001566482e-71,1.65401964516537e-66
R3HCC1,1114.85478872113,-2.24280390002525,0.128113438142766,-17.5063906842148,1.28060786008949e-68,1.08947713697113e-64
RHOV,132.047635137365,-4.17765495871234,0.269954295700566,-15.475415747213,5.08437372620649e-54,2.88368729838012e-50
HBB,10054.9633433267,-2.58522632121893,0.175831068255882,-14.7028983379475,6.17587290408587e-49,2.62706193657553e-45
FILIP1L,192.385526383039,4.41790842310895,0.30224629421132,14.6169151044085,2.19105504186704e-48,7.45616030747354e-45
HBD,2053.98812047373,-1.97238585337072,0.138538386582368,-14.2371071442935,5.39130339631633e-46,1.52888378813871e-42
AZU1,309.060259706432,-2.86739962443036,0.204540791416284,-14.0187177558856,1.19758891328544e-44,2.91099647993596e-41
AQP2,360.884259158878,2.65038136729676,0.192714886764561,13.7528626448808,4.89535236323616e-43,1.04118025575579e-39
CALB1,734.699274518206,2.11934430533066,0.154945526716119,13.67799606899,1.37428064377896e-42,2.33833851538991e-39
ELANE,228.998758818028,-3.43367844549344,0.251003419414927,-13.6798074444449,1.34047195485296e-42,2.33833851538991e-39
MPO,2711.01348659682,-1.84691315849599,0.143461058914392,-12.8739685352392,6.30760948922587e-38,9.75672504174348e-35
STUB1,1612.86497351312,-1.52765233965396,0.120967306516306,-12.6286381308163,1.46796850022641e-36,2.08145700261269e-33
EPAS1,214.417753531464,2.46247097323001,0.198139641320712,12.4279571559545,1.84283657724971e-35,2.41198956630029e-32
DRAP1,3393.0653723222,-1.95719755857839,0.15964715871494,-12.2595201463816,1.49381846423824e-34,1.81552294064383e-31
CDC34,1345.80396336718,-1.69495693106441,0.142438299096609,-11.899586991802,1.18934299644128e-32,1.3491114056299e-29
SCG3,79.8361849076398,4.73803112482091,0.398729525831824,11.8828198512174,1.45378907451178e-32,1.54601381892612e-29
BCAM,108.861970635092,-3.57725641240789,0.301334042043597,-11.8713982268566,1.6665867232102e-32,1.66805724090715e-29
HBA2,2360.19601561602,-2.38095981896343,0.203777624691205,-11.6841082163531,1.53684096459484e-31,1.45274161181007e-28
LINC02772,213.84682550667,-1.95197557714827,0.169490359347624,-11.5167351385737,1.08650238645699e-30,9.72991479240296e-28
ISG20,424.836662671509,-1.81808061803394,0.160044067564312,-11.3598751000462,6.62392719597611e-30,5.63530606197668e-27
ANP32B,60292.2225360589,-1.60528836461308,0.142052230556874,-11.3006910086524,1.30189514091704e-29,1.05484503917636e-26
TMEM245,335.833587090441,1.63418478421766,0.14609149847312,11.1860361574588,4.7729736507805e-29,3.69146121218319e-26
ADI1,1078.86571183738,-1.35049967526013,0.121452770014397,-11.119546100925,1.00783420329624e-28,7.45578216047195e-26
PIR,1136.75995793718,-1.47224511498559,0.133599281016621,-11.0198580694639,3.06542034546656e-28,2.17325529908806e-25
FOSB,130.834529333619,-3.93420769052499,0.359664573548625,-10.9385465788532,7.53989251895612e-28,5.13165084840154e-25
HBZ,986.6873996397,1.98328403145773,0.181420853041583,10.9319518578339,8.10852701697168e-28,5.3064071997605e-25
P4HA1,211.881540598983,2.37729564024302,0.217938094762275,10.908123441366,1.05409783605551e-27,6.64276840017944e-25
NENF,608.305567391644,-2.12153681036971,0.19598301058193,-10.8251057276356,2.6177685888328e-27,1.59076187639251e-24
ACSL4,420.825614421072,2.24797609717673,0.208112844685166,10.8017172153765,3.37825495266752e-27,1.9821037248151e-24
RETN,57.1734786340003,-4.39709739229952,0.409117163055045,-10.747770539531,6.07113108900074e-27,3.44334318264492e-24
ZDHHC11,183.674504658601,-1.79199941659176,0.167110873602892,-10.7234160049341,7.90295013910027e-27,4.33769989086423e-24
CRIM1,173.918488590857,2.49760320453018,0.2392933344112,10.4374123528168,1.67309174630692e-25,8.89614251981632e-23
AGPAT4,176.684254772191,-2.12435369718595,0.203984274103716,-10.414301330434,2.13358389647222e-25,1.10008878783257e-22
LRRFIP1,1421.51184976728,1.88446762859778,0.182313848742805,10.3363932119948,4.82351293520662e-25,2.4138844880159e-22
MT-RNR1,2509.82223607429,-1.54385860427215,0.149648809421556,-10.3165445167235,5.93197418442136e-25,2.88378687851227e-22
GFUS,2292.50558886019,-1.4084039588456,0.136860640165697,-10.2907889159399,7.75384492703833e-25,3.66476865093214e-22
CDKN2D,296.519943650127,-1.67770024414924,0.163804837643014,-10.2420677453099,1.28461079014115e-24,5.90747367412208e-22
OSBPL6,919.822745803376,1.37003143077321,0.134240218851064,10.205819407172,1.86738188116472e-24,8.3614480810573e-22
HBM,277.683329977933,-2.52871594164439,0.24819804566638,-10.1882991659145,2.23642571609206e-24,9.75712398956576e-22
HIF1A,204.093907760748,2.58539594166045,0.25397126544064,10.1798758106544,2.43872410425527e-24,1.03737226584758e-21
ZNF524,176.388035406183,-2.2470122110245,0.221971221368197,-10.1229889044817,4.36866989042126e-24,1.81299800452482e-21
DDX3Y,529.14072609232,2.44755274560119,0.242689306052922,10.0851281228991,6.4281268596723e-24,2.60415663136486e-21
NDUFAB1,679.356937128301,-1.65784403051592,0.167271857158573,-9.91107565060569,3.72612688453809e-23,1.47441974280036e-20
NOC2L,5069.81850318907,-1.79045739195479,0.180776387643347,-9.90426579099019,3.98889066889567e-23,1.54252215298318e-20
FBN1,342.561274667725,2.09417476157456,0.212668222482035,9.84714470800386,7.05188676902696e-23,2.66639674166653e-20
FAM120A,607.423533281574,1.98345410388775,0.201553023009371,9.84085514706235,7.50700072330221e-23,2.77677428928233e-20
COIL,198.647556519756,2.08501702327355,0.212526208122344,9.81063484684808,1.01329041025996e-22,3.66832687884535e-20
SELENBP1,493.177018405872,-1.4331209447032,0.146939203951332,-9.75315576895234,1.78821232176382e-22,6.33884013641904e-20
HAGH,2982.1257537202,-1.26239532800115,0.129542415015863,-9.74503468880492,1.93712698197368e-22,6.72657461189431e-20
S100A8,47.0465042465067,-3.06311391539267,0.314453805184896,-9.74106169137176,2.01438643529674e-22,6.85495703931481e-20
KLC3,39.1721871784565,-5.30828459309426,0.54674131852834,-9.70895085702053,2.76164966333035e-22,9.21362137677761e-20
SLIRP,4372.58284630529,-1.22359097587475,0.126218732847698,-9.69421058402794,3.19095686316157e-22,1.0441179043595e-19
ARHGEF6,286.453555195922,2.06433672196736,0.213805658818887,9.65520151978784,4.67239714364599e-22,1.4931506771649e-19
SLC9A3R2,168.149402952269,-1.73913170036944,0.180150787611817,-9.65375574220005,4.73876794398499e-22,1.4931506771649e-19
H2AC14,101.161030821515,-3.35162709061315,0.347433438903271,-9.64681782269746,5.07047423558859e-22,1.56862034760982e-19
BMP2K,755.370955250038,1.82054692203894,0.188834101690823,9.64098595400798,5.36699781278094e-22,1.63070478186549e-19
CD46,360.393268933829,1.76597409002763,0.183883933391403,9.60374328228394,7.70926049711751e-22,2.30128188348166e-19
