L1	L2	L3	L4	R1_1	R1_2	R1_3	R1_4
id	L1	L2	L3	L4	R1_1	R1_2	R1_3	R1_4
S100A9	9.59600465946768	9.59283277915177	9.87088067630481	9.57685683797704	7.72841864182705	7.96167665057018	7.8084943661651	7.86157215791186
R3HCC1	10.3678230974085	10.5085554210358	10.5247370070651	10.5209956632333	9.1407970090148	9.12063078048573	8.97849364325072	9.10924994066193
RHOV	6.96508520496829	7.34269264011505	7.48283760475912	7.46125695221265	5.11326163817468	5.19620825872342	5.01840605204763	4.98744612382665
HBB	13.4395267806121	13.4966642917827	13.8280653559378	13.8322368907924	12.0331280207322	12.1206504852052	11.9338567642458	12.0904248948719
FILIP1L	5.77965726145674	5.54029965362523	5.32332381606729	5.50428844435697	7.81650974887935	7.66550249559815	8.17650372237145	7.88123731634286
HBD	11.3003731605464	11.205400284565	11.4742382402447	11.4113591830764	10.0852396480111	10.0893576673156	10.0698808060584	10.2213178737507
AZU1	8.38734457603522	8.68555998661127	8.79014380188669	8.58740421413794	6.87278602519103	7.08002469034662	6.71739120793945	6.9239612766168
AQP2	7.4642430153006	7.11173117979927	7.25518417769218	7.21280058963454	8.86134460780612	9.02814768801652	8.71978285973668	8.79463893971017
CALB1	8.72552589803844	8.50804051714021	8.43578691950424	8.58262251214932	9.7716431068736	9.84376700929753	9.94829086643252	9.92667013045225
ELANE	8.17666250383215	8.04180769178253	8.39268542120312	8.02243581506117	6.12889680071358	6.47188925260486	6.01799847185259	5.99939598438607
MPO	11.933985532035	11.7311280071713	11.6590857303167	11.6294460792418	10.4922169710075	10.6352554650491	10.5919018620059	10.6189758465064
STUB1	10.8903477479479	10.9803829146709	11.0333080566125	10.9626784290733	10.0125379598224	10.0997189316292	9.91155283204867	10.009635886648
EPAS1	6.57355889315978	6.58057548968697	6.53648190278099	6.8575559662	8.00036143397787	8.10722204793375	8.16588873666909	8.11758353699032
DRAP1	11.8609819856912	12.1354578038596	12.1670502138543	12.1132411206315	10.8400894732285	10.953853799254	10.6864558983763	10.8913698962512
CDC34	10.5558228936918	10.7927102566259	10.7842990684853	10.735707114927	9.70608601410339	9.7376418419595	9.53282963834359	9.65652211385513
SCG3	4.43943492021014	4.55825497400261	4.59487871502158	4.36761494701082	6.55312184015208	6.73248241472302	6.61267672857799	6.59758712093047
