Geneid	L1	L2	L3	L4	R1_1	R1_2	R1_3	R1_4
TNFRSF4	0	1	1	0	2	5	2	7
TNFRSF18	6	2	0	5	3	2	4	1
ATAD3B	593	1247	1074	1074	1106	822	842	1111
MTND1P23	6	15	23	24	8	5	6	7
RPL7P7	1	5	0	3	3	10	3	3
MTCO3P12	10	0	2	6	16	7	24	44
DDX11L17	0	6	4	6	1	0	0	0
PRDM16	5	0	0	1	2	8	0	3
MTND2P28	82	38	76	117	200	179	222	246
ACAP3	112	627	457	415	400	239	299	392
TP73-AS3	0	1	0	0	0	0	0	1
CAMTA1-IT1	0	0	0	0	0	0	0	0
PUSL1	67	169	193	190	79	85	59	105
PEX10	23	44	58	57	111	88	119	142
MTCO1P12	18	19	30	43	118	79	72	122
CPTP	55	71	87	99	71	80	68	91
SKI	118	411	331	302	575	288	509	470
MEGF6	14	38	21	21	16	10	14	19
TAS1R3	5	24	9	6	5	6	2	4
CICP7	0	4	0	0	0	0	0	0
WBP1LP6	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	1	1	0
ERRFI1	8	2	2	1	8	5	11	14
EEF1DP6	0	0	0	0	0	0	0	0
PEX14	162	218	261	298	366	270	255	313
LINC01646	0	0	1	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	0
MTATP8P1	0	1	0	0	0	0	0	0
MTCO2P12	0	0	0	1	5	3	1	4
LINC02782	0	0	0	0	0	0	0	0
PLCH2	5	40	19	27	4	8	5	0
SPSB1	0	0	0	2	2	1	5	1
RPL23AP24	0	0	0	0	0	0	0	0
LZIC	419	389	623	754	1221	895	1001	1350
MZT1P1	0	0	0	0	0	0	0	0
HES3	2	0	1	0	0	5	0	0
TP73-AS1	244	380	408	539	1351	813	1000	1089
SLC2A5	11	13	3	26	10	1	9	13
NDUFB4P8	1	0	0	0	2	2	2	1
LINC02781	0	0	0	0	1	0	0	0
MTCYBP45	0	0	0	0	0	1	0	0
ENO1	4075	2251	2892	3682	12763	10788	11956	15065
PLEKHM2	383	1209	946	928	1084	787	987	1080
B3GALT6	102	183	246	227	154	146	87	195
DHRS3	44	82	131	119	194	174	145	256
CA6	0	0	0	0	1	1	0	0
RPL22P3	0	4	1	0	0	0	1	0
LRRC38	0	0	0	0	0	0	0	0
NMNAT1	42	18	41	61	140	100	133	165
MTATP6P1	1870	1008	2165	2979	5545	4945	5151	7044
CAMTA1-AS2	0	0	0	0	0	0	0	0
MFFP1	0	0	0	0	0	0	0	0
