ID	L1	L2	L3	L4	R1_1	R1_2	R1_3	R1_4
JAK1	6.743582246	6.372802755	6.4244216	6.638519374	7.576360476	7.227268578	7.694007388	7.500648246
PTPRC	7.357752778	6.238711379	6.672908972	7.000297887	8.456934535	8.133005286	8.592835438	8.368209541
EPAS1	6.290907202	6.307787583	6.250745351	6.599628069	7.796322837	7.904469648	7.966324769	7.914323712
STAT1	8.166175134	7.128145604	7.323637297	7.476745964	8.808935945	8.503890542	9.061291673	8.811521047
IDH1	6.923917082	5.929006334	6.222821375	6.474405735	7.863072904	7.612265806	8.055539985	7.878532915
XPO1	8.890147153	8.577413276	8.593410279	8.707617145	9.720654387	9.486183226	9.890001166	9.683605154
ITGA4	9.800302608	9.358470728	9.521116234	9.737569505	10.65975806	10.33614589	10.96830217	10.58580504
SATB1	6.239425142	6.364636716	6.376441295	6.254890343	7.040415061	6.764549637	7.159510213	6.938084518
CCR1	0.984489567	0.831697548	0.809728978	1.110571146	1.172526088	1.391251598	1.340884591	0.985541178
FBXW7	7.61664852	7.434365371	7.315545334	7.648658341	8.386368941	8.145015067	8.556280459	8.340155725
ABCE1	8.665437169	7.637650027	8.055855249	8.400877495	9.249179906	8.970576212	9.413760484	9.196467989
EIF4E	7.992089205	7.040669781	7.187554025	7.548571776	8.831545691	8.602904467	8.912895681	8.770406477
KIT	8.615480346	7.568947081	7.704289609	8.036469928	9.995346258	9.673018929	10.34296819	10.04352883
VDAC1	8.730039484	7.615870104	8.068552547	8.220663665	9.282947716	9.110603421	9.249907135	9.335439585
MYB	9.424455012	8.922888896	8.878390601	9.069730431	10.19493262	9.81994413	10.34615951	10.13903197
CD36	11.54455674	10.9208897	11.3409864	11.40598924	11.81419295	11.8572708	11.96086841	11.94978649
GATA1	9.826613466	10.07209859	10.11260464	10.06837576	9.506422072	9.618605055	9.348022781	9.554196437
LYN	8.675412205	7.96359833	8.006724223	8.086896225	9.325923874	9.216248014	9.481555791	9.375974842
KAT6A	9.650650678	11.34508966	10.78110996	10.60124147	9.862335356	9.548107726	9.906878201	9.578096747
RAB14	7.357998095	6.640874265	7.189824359	7.176235572	7.918411956	7.748446778	8.030563929	7.98217571
JAK2	7.510186969	7.348023037	7.078186811	7.421823744	8.497833835	8.259413114	8.692708873	8.514602367
TRPC6	0.601448066	0.599164512	0.578623969	0.568868255	0.77468014	0.754819914	0.731663672	1.322778123
HBB	13.16426038	13.2354808	13.55984766	13.570561	11.69264923	11.78507295	11.58545723	11.75232681
HBD	11.06349423	10.9777802	11.23590051	11.17797077	9.811295522	9.813865462	9.795116778	9.951713946
HBG2	8.711284028	9.234876905	9.373097961	8.928507443	8.079289015	8.099255674	8.14592644	8.149181756
LDHA	10.4962969	9.603159568	9.77093405	9.944446327	11.42029627	11.35924523	11.44715786	11.47799506
MXI1	7.557094109	7.409350593	7.340573111	7.587656282	8.304879529	8.220298531	8.521763379	8.344600742
BMI1	5.571812132	5.575750341	6.031650596	5.797514348	6.374539211	6.28377779	6.501762091	6.342087305
HDAC7	10.14510904	10.78266134	10.81973958	10.59943932	10.03850028	10.07106771	9.891473439	10.00241705
PTPN11	8.321567922	8.059332852	8.040593928	8.278893034	9.252751504	8.915815932	9.498450191	9.116330069
ELF1	8.191988711	7.458674299	7.571371204	7.638914102	9.242532863	8.950358674	9.665484177	9.331538977
UFM1	8.256341123	7.397379273	7.570606267	7.918913737	9.180598103	8.841560918	9.152757785	9.155924487
DIS3	7.452504118	6.679484455	7.119870328	7.311974712	8.268269233	8.051118352	8.564975673	8.235933446
SEC23A	4.558334547	4.003218574	4.100930919	4.11732009	5.494776183	5.355679238	5.593785616	5.402884
HIF1A	6.353133067	5.827915185	5.706475957	6.010326321	7.507917743	7.525301121	7.871427521	7.692368038
RAB26	2.706852657	3.924116484	2.658013834	2.93760483	2.240913345	2.152583093	2.296753682	2.302174342
MAF	2.353965873	2.000846235	1.938568786	2.100059485	2.537202301	2.247603818	2.548283508	2.591056934
HBA2	11.08285354	11.23860167	11.63392716	11.56518184	9.866981819	9.808520944	9.849651499	10.03775797
HBA1	9.676596119	10.82539474	10.36978385	10.40024054	8.750174195	8.790367067	8.547322211	8.634498111
HDAC5	9.479195653	10.12622735	9.663282992	9.559736772	9.180734073	9.285139567	9.070969661	9.089226317
ROCK1	8.912006329	8.536621045	8.555215104	9.042804096	10.25447647	9.922936564	10.54250477	10.20178945
ZNF521	5.931912039	5.496008173	5.508078796	5.662615298	6.439550141	6.288968635	6.619682887	6.431102118
ID1	5.493443642	5.374813458	5.341419874	5.255225573	4.438107589	4.383323416	4.334736052	4.211549637
MMP9	1.166236868	1.162839816	1.132205883	1.117598476	1.38044387	1.466877753	1.68386039	1.829760248
KLF1	11.48303896	11.7274395	11.83380497	11.75039695	11.18989011	11.30926937	11.04777651	11.26941057
