ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	entrezID
FILIP1L	120.1572638	4.424198053	0.324336103	13.64078193	2.29e-42	9.73e-39	11259
AQP2	277.4071538	2.659731386	0.209544188	12.692938	6.47e-37	1.83e-33	359
CALB1	616.6862837	2.128073816	0.173806294	12.24393987	1.81e-34	3.42e-31	793
SCG3	67.91025321	4.748574064	0.411359158	11.54362063	7.95e-31	1.04e-27	29106
EPAS1	168.8893743	2.476023981	0.228677866	10.82756292	2.55e-27	2.55e-24	2034
P4HA1	141.5938781	2.388018714	0.225440295	10.59268804	3.22e-26	3.04e-23	5033
FAM120A	439.5826074	1.993664787	0.198009782	10.06851665	7.61e-24	5.62e-21	23196
LRRFIP1	1025.065952	1.893687403	0.19009006	9.962053808	2.23e-23	1.46e-20	9208
OSBPL6	781.5026936	1.38008386	0.142052959	9.71527713	2.6e-22	1.47e-19	114880
ACSL4	286.896608	2.258602496	0.234026108	9.651070642	4.86e-22	2.58e-19	2182
RABEP1	916.0992825	1.57115667	0.163639075	9.601353914	7.89e-22	4.06e-19	9135
BMP2K	513.6465321	1.830427517	0.190713262	9.597798803	8.17e-22	4.08e-19	55589
ARHGEF6	210.7604389	2.073993945	0.220811296	9.392608012	5.85e-21	2.8e-18	9459
ARL13B	79.18994288	2.391708513	0.255436591	9.363218118	7.73e-21	3.46e-18	200894
SCD	1735.468371	1.72480895	0.185242728	9.311075104	1.27e-20	5.51e-18	6319
HBZ	889.7059083	1.99415555	0.214768361	9.285145838	1.61e-20	6.86e-18	3050
TLK1	367.7249313	1.358595265	0.147894254	9.186261294	4.07e-20	1.69e-17	9874
CALU	620.0456894	1.932629035	0.2116734	9.130240432	6.83e-20	2.76e-17	813
FBN1	284.6443626	2.102415252	0.230868031	9.106567256	8.5e-20	3.36e-17	2200
HIF1A	130.5109923	2.592819911	0.284981668	9.098198936	9.18e-20	3.55e-17	3091
DHX15	637.5367274	1.785561559	0.199951218	8.929985908	4.26e-19	1.54e-16	1665
DDX3Y	360.8262548	2.457942628	0.275909909	8.908497125	5.17e-19	1.76e-16	8653
TUBB1	115.9170449	2.415727507	0.272637792	8.860574641	7.96e-19	2.55e-16	81027
PODXL	152.7198925	1.427696071	0.163599013	8.726801231	2.62e-18	7.81e-16	5420
COIL	138.0378595	2.093868368	0.24212118	8.648018176	5.24e-18	1.51e-15	8161
XPO1	591.7325816	1.532469827	0.178820323	8.56988626	1.04e-17	2.88e-15	7514
CRIM1	120.4356763	2.499733585	0.295367955	8.463117073	2.6e-17	7.02e-15	51232
KIT	672.2246124	3.000058307	0.359174582	8.352646483	6.68e-17	1.72e-14	3815
DHTKD1	390.5149848	1.445002305	0.173948363	8.30707618	9.81e-17	2.45e-14	55526
SMARCAD1	154.3565575	2.419334093	0.292616586	8.267932196	1.36e-16	3.22e-14	56916
NUS1	168.7907009	1.577177821	0.191903589	8.218594729	2.06e-16	4.66e-14	116150
CAPRIN1	745.9997548	1.929567819	0.236428471	8.16131749	3.31e-16	7.13e-14	4076
CCDC82	390.4741108	1.835220738	0.225512872	8.137986625	4.02e-16	8.53e-14	79780
GCC2	341.9577185	1.78172731	0.21909589	8.13218043	4.22e-16	8.84e-14	9648
BNIP3	417.2940703	2.716994636	0.334958774	8.11142996	5e-16	1.04e-13	664
GOLIM4	2819.776518	1.381237791	0.17127305	8.064536648	7.35e-16	1.45e-13	27333
IQGAP1	408.1644511	1.654017342	0.205349392	8.054649328	7.97e-16	1.56e-13	8826
PRKAR1A	773.2836831	1.64355796	0.204417385	8.040206345	8.97e-16	1.73e-13	5573
SMC6	808.333741	2.135735742	0.266196677	8.023149534	1.03e-15	1.92e-13	79677
CAP1	706.4758985	2.546184058	0.318116639	8.003932343	1.21e-15	2.2e-13	10487
DAPK1	287.4509231	1.330462139	0.166503679	7.990587043	1.34e-15	2.4e-13	1612
GALC	206.0524239	1.691698622	0.211802555	7.98714926	1.38e-15	2.44e-13	2581
ASPH	108.8318522	2.061351863	0.258418157	7.976807376	1.5e-15	2.63e-13	444
BAZ2B	313.5944695	1.926647321	0.242824452	7.934321696	2.12e-15	3.63e-13	29994
GMFB	94.39925246	2.960729204	0.373490824	7.92718058	2.24e-15	3.81e-13	2764
PPP4R3B	482.2335726	1.67313499	0.213156377	7.849331134	4.18e-15	6.83e-13	57223
LINC01215	49.19000154	2.49840579	0.318902949	7.834376571	4.71e-15	7.55e-13	101929623
NARS1	1621.221729	2.142394511	0.273878996	7.8224126	5.18e-15	8.15e-13	4677
FRYL	248.5319904	1.663102755	0.212995012	7.808176997	5.8e-15	8.96e-13	285527
TMEM245	249.6456518	1.642658561	0.210765952	7.793756737	6.5e-15	9.96e-13	23731
DEK	1729.330145	1.922767453	0.247455866	7.770142939	7.84e-15	1.17e-12	7913
BUB1B	631.371006	1.95660743	0.252116685	7.760721713	8.44e-15	1.25e-12	701
PTPN11	418.9102048	1.579915456	0.204005158	7.744487787	9.6e-15	1.41e-12	5781
ABCC4	382.9364245	1.823433519	0.235503743	7.742694424	9.73e-15	1.41e-12	10257
DNM1L	389.412799	1.316480157	0.170326966	7.729135253	1.08e-14	1.56e-12	10059
CNN1	34.93524887	2.605980388	0.337218411	7.727871028	1.09e-14	1.56e-12	1264
EI24	340.0934892	1.241065579	0.160625348	7.726461587	1.11e-14	1.57e-12	9538
ALS2	542.390269	1.614211699	0.209483541	7.705673166	1.3e-14	1.83e-12	57679
ANLN	343.5926827	2.668022255	0.348266633	7.660860976	1.85e-14	2.53e-12	54443
DBT	104.9622201	1.800830435	0.235194999	7.656754789	1.91e-14	2.58e-12	1629
CD46	259.247551	1.775732921	0.232887063	7.624867167	2.44e-14	3.22e-12	4179
UHMK1	145.1397078	2.158134174	0.283898219	7.601788342	2.92e-14	3.76e-12	127933
UBE2Q2	187.7985128	2.084602286	0.274996281	7.580474474	3.44e-14	4.4e-12	92912
DDX21	735.8113345	1.498202686	0.197672433	7.57921914	3.48e-14	4.41e-12	9188
ELF1	415.5859392	2.369279454	0.312861144	7.57294249	3.65e-14	4.59e-12	1997
ADAM17	139.4967797	1.945317266	0.256951884	7.5707453	3.71e-14	4.64e-12	6868
STAU1	477.0104398	1.115641112	0.147455806	7.565935485	3.85e-14	4.74e-12	6780
NSRP1	2140.291944	1.215383871	0.161041154	7.547038993	4.45e-14	5.44e-12	84081
CLINT1	806.9467306	2.110757344	0.280567738	7.52316484	5.35e-14	6.44e-12	9685
STAM	182.3470705	2.439305892	0.324324761	7.521183033	5.43e-14	6.49e-12	8027
GNPTAB	253.1103822	1.202951337	0.160479284	7.495991411	6.58e-14	7.76e-12	79158
FBXO11	351.0527484	2.081785019	0.278462168	7.476006645	7.66e-14	8.98e-12	80204
IPO7	1461.854133	1.743405742	0.233491157	7.466688532	8.22e-14	9.51e-12	10527
MAPK6	266.7269114	2.454761332	0.328763504	7.466647905	8.23e-14	9.51e-12	5597
HK2	169.568633	1.567005595	0.210380489	7.448435938	9.45e-14	1.08e-11	3099
TRIP12	1022.874349	1.453277989	0.195443347	7.435801777	1.04e-13	1.16e-11	9320
TXLNG	167.5434128	1.58122066	0.212710211	7.433684781	1.06e-13	1.17e-11	55787
TMEM135	35.18067981	2.27595598	0.306413096	7.427737281	1.1e-13	1.22e-11	65084
NCKAP1	89.19362528	2.103127187	0.283648889	7.414544066	1.22e-13	1.33e-11	10787
RINT1	39.41055681	2.444592119	0.330231706	7.402657209	1.33e-13	1.44e-11	60561
BCAT1	949.2362962	1.210931634	0.163671103	7.398567084	1.38e-13	1.48e-11	586
INTS2	105.1772748	2.240637254	0.302903757	7.397192016	1.39e-13	1.49e-11	57508
SEC23A	31.9302491	2.434640205	0.329858451	7.380863503	1.57e-13	1.66e-11	10484
ERBIN	553.9915741	2.340013251	0.31771483	7.365137006	1.77e-13	1.83e-11	55914
TBC1D4	185.1229882	2.01533451	0.273819945	7.360071998	1.84e-13	1.89e-11	9882
ENTPD4	166.7506205	1.545518795	0.210040324	7.358200401	1.86e-13	1.91e-11	9583
PNRC2	822.7668411	1.794402261	0.243999721	7.354116025	1.92e-13	1.96e-11	55629
TTYH2	126.5633528	2.084104831	0.284044824	7.337239258	2.18e-13	2.2e-11	94015
DICER1	205.6404027	1.84130578	0.251270548	7.327980913	2.34e-13	2.35e-11	23405
