ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0048193	Golgi vesicle transport	89/3017	298/18903	1.00015793194995e-09	6.23798502157185e-06	5.63036275796668e-06	RABEP1/GCC2/RINT1/SEC23A/TRAPPC8/NSF/LMAN1/MIA2/SNAP23/COG5/GOLPH3L/TFG/SORT1/EPS15/RAB31/MIA3/ARFGEF2/TMED2/EXOC5/VPS13A/ATP2C1/USO1/NRBP1/AP1AR/SEC23IP/GOLGA4/ARCN1/EXOC6/KIF16B/SEC22B/TMED4/COG6/PITPNB/RP2/CREB3L2/CNST/BLZF1/GOLGA5/RAB6A/RAB14/VAMP7/PRKCI/COPB1/LYPLA1/SEC24A/KLHL20/STXBP6/PREPL/TRAPPC11/GOLGA7/VPS13C/SEC24D/ACSL3/VAPA/TRIP11/EXOC1/SPIRE1/SEC31A/TMED7/SEC23B/SCAMP1/WHAMMP3/CCDC91/SEC24B/COPB2/KLHL12/GOLPH3/ERGIC2/SLC10A7/RAB1A/BBS2/RAB8B/RAB33B/TMED10/USE1/SCYL1/TRAPPC2L/OSBPL5/COPZ2/VAMP2/RACK1/SNX8/RAB26/RANGRF/RNF215/SORL1/MYO18A/CORO7/TRAPPC5	89
BP	GO:0002181	cytoplasmic translation	53/3017	161/18903	7.45323357971709e-08	0.000232429089183478	0.000209788911496458	EIF3A/DHX36/PABPC1/NEMF/EIF4H/DHX29/NCK1/DENR/ZC3H15/EIF4A2/EIF2S3B/RPL26L1/RPS25/EIF3B/RPS20/RPS5/RPS12/RPS28/EIF3K/RPL32/FAU/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RACK1/RPL13A/RPL26/CPEB1/EIF3C/EIF4A1	53
BP	GO:0006892	post-Golgi vesicle-mediated transport	38/3017	104/18903	2.60648807971113e-07	0.000438234259344446	0.000395547255170603	RABEP1/NSF/SNAP23/GOLPH3L/SORT1/EPS15/RAB31/ARFGEF2/EXOC5/VPS13A/ATP2C1/AP1AR/GOLGA4/EXOC6/KIF16B/RP2/CNST/BLZF1/RAB14/LYPLA1/KLHL20/STXBP6/PREPL/GOLGA7/VPS13C/ACSL3/EXOC1/SCAMP1/CCDC91/GOLPH3/BBS2/OSBPL5/VAMP2/RACK1/RAB26/RNF215/SORL1/CORO7	38
BP	GO:0051258	protein polymerization	78/3017	281/18903	3.18122882050389e-07	0.000438234259344446	0.000395547255170603	DNM1L/NCKAP1/BAG4/HDGFL3/CAPZA1/ADD3/PSTPIP2/NEDD1/CLASP2/CLIP1/WASHC2C/HSP90AA1/RANBP9/AKAP9/CDKN1B/CKAP5/JAK2/TTC17/MAPRE1/CAPZA2/ARHGAP6/ARHGAP18/TUBGCP4/DLG1/TOGARAM1/RICTOR/NDEL1/EPS8/CARMIL1/TWF1/FER/TRIM32/NCK1/SPIRE1/DIAPH3/SCIN/PDE4DIP/ABITRAM/CYRIB/PRUNE1/WASF1/FBXO5/OCLN/PSTPIP1/CORO1A/AIF1/SSNA1/ARPC3/CHMP2A/RPS3/PYCARD/TMSB10/ARPC1A/UBE2S/CATIP/TPPP/TBCD/C15orf62/CLIP3/RANGRF/MICALL2/ARL2/TMOD4/BAIAP2L2/SPTBN4/CSF3/SPTBN2/BIN1/CDC42EP1/CCDC57/TMSB4Y/CORO7/PIK3R2/TUBGCP6/HIP1R/HCK/CASQ1/AVIL	78
BP	GO:0051298	centrosome duplication	30/3017	74/18903	3.51318149225947e-07	0.000438234259344446	0.000395547255170603	XPO1/BRCA1/CCP110/USP33/CEP135/BRCA2/CEP152/TRIM37/CKAP5/PLK4/PDCD6IP/VPS4B/STIL/ROCK2/SIRT1/CHORDC1/CEP120/SASS6/POC1B/CEP76/MDM1/CHMP1B/SAC3D1/CHMP2A/CEP131/FBXW5/RBM14/CCDC57/WDR62/CEP295NL	30
BP	GO:0140694	non-membrane-bounded organelle assembly	99/3017	386/18903	5.61070787862778e-07	0.0005347615808734	0.000482672157584355	TUBB1/PRKAR1A/ANLN/BRCA1/KIF2A/CCP110/ITGB1/CEP135/CEP152/TRIM37/LSM14A/CENPE/DDX3X/G3BP1/CLASP2/SQLE/STAG2/PUM2/C9orf72/G3BP2/DDX6/NEK7/RNF4/CNOT6L/PRC1/PLK4/DHX29/MAPRE1/VPS4B/NGRN/KIF23/STIL/ABRAXAS1/AURKA/TUBGCP4/CDCA8/PRKDC/SMC3/PATL1/TOGARAM1/MAPRE2/CENPF/KIF4A/ABRAXAS2/TIA1/CEP97/TPR/CENPK/ASPM/CEP120/HAUS3/SASS6/CENPC/POC1B/PLS1/GPSM2/CEP76/MDM1/CHMP1B/FBXO5/SH3PXD2B/SBDS/CFL2/RPS5/AUP1/SAC3D1/RPS28/RPS27/CHMP2A/MYH11/RPS3/MRPL20/RRP7A/RPLP0/RPSA/CHMP4BP1/NOP53/RPL38/RPS19/MYOM2/RNF213/CAPN3/TNNT1/BOP1/TMOD4/RBM14/PPAN/RRP7BP/PLEC/TCAP/CCDC57/WDR62/CEP295NL/CCDC78/LDB3/TUBGCP6/FLNA/HCK/CASQ1	99
BP	GO:0016050	vesicle organization	92/3017	353/18903	6.58631041576459e-07	0.0005347615808734	0.000482672157584355	ALS2/STAM/SEC23A/TBC1D4/TRAPPC8/MFSD14A/DNAJC13/VPS41/OSBP/RAB5B/WASHC4/SNAP23/GOLPH3L/TFG/SORT1/AP3B1/EPS15/MIA3/ARFGEF2/TMED2/VAV3/TMCC1/TMF1/USO1/STAM2/BLOC1S6/SDCBP/VPS8/ZFYVE16/AP3M1/VPS36/USP8/C2CD5/CLCN3/PDCD6IP/PI4K2B/AP3M2/KNL1/SEC22B/VPS4B/EEA1/RAB14/VAMP7/PRKCI/SYT11/SEC24A/STXBP6/TRAPPC11/SEC24D/LAPTM4B/VAPA/CD2AP/SEC31A/VTA1/SEC23B/FNBP1L/SEC24B/RAB7A/STX11/RAB38/CHMP1B/KLHL12/GOLPH3/RAB1A/HOOK1/ANXA1/RAB8B/FBXO5/TMED10/CORO1A/SLC2A4/RILP/LAMTOR1/AQP1/TRAPPC2L/CHMP2A/CCDC136/WASH3P/SPHK1/BLOC1S1/CHMP4BP1/AP3B2/NECTIN2/VAMP2/DYSF/F2RL3/VPS33B/MYO18A/ASIP/BAIAP3/TRAPPC5/ANXA8L1	92
BP	GO:0006338	chromatin remodeling	96/3017	373/18903	7.00197092914117e-07	0.0005347615808734	0.000482672157584355	SMARCAD1/BAZ2B/DEK/DDX21/TOP1/L3MBTL3/MYB/HLTF/SUPT16H/MECOM/CHD1/SATB1/ARID2/SMARCA2/SMCHD1/BAZ1A/KDM6A/RB1/KDM5B/TTF2/ZNF304/SETD2/SIRT1/CTR9/ZBTB1/RIF1/POLE3/SIN3A/ACTL6A/LMNB1/TPR/CHRAC1/HCFC2/EZH2/RESF1/SMARCA1/PPM1D/CHD1L/RBBP4/ASF1A/YEATS4/NAP1L3/ANP32B/H2AX/H3C11/H1-5/H1-4/H1-3/H1-2/H4C5/H1-10/SUV39H1/DMAP1/PADI2/H2BC7/MPND/H2BC18/BCL7C/LMNA/TFPT/NFE2/H3C3/MACROH2A2/CHAF1A/H2BC9/H4C2/CHD4/KMT2D/H4C4/H4C6/H2BC21/SRCAP/H4C13/RAD54L2/KAT6A/H2BC3/H3C7/HCFC1/H2BC10/ZBTB7A/H4C9/H3C2/H2BC11/SUPT6H/H4C3/ASIP/H4C1/DOT1L/NPM2/H3C13/EP400/BICRA/H2BC17/H2BC4/H2BC14/L3MBTL1	96
BP	GO:0031023	microtubule organizing center organization	48/3017	150/18903	7.71661732862049e-07	0.0005347615808734	0.000482672157584355	XPO1/GCC2/BRCA1/CCP110/USP33/CEP135/BRCA2/PPP1R12A/CEP152/TRIM37/CLASP2/CDK1/SLC16A1/CKAP5/MPDZ/PLK4/PDCD6IP/VPS4B/STIL/ROCK2/SIRT1/AURKA/KIF3A/FBXW11/CHORDC1/NDEL1/CEP120/HAUS3/SASS6/POC1B/PDE4DIP/CEP76/MDM1/CHMP1B/CCNL1/PARD6B/RANBP1/UXT/SAC3D1/CHMP2A/CEP131/FBXW5/ARL2/RBM14/CCDC57/WDR62/CEP295NL/CCDC78	48
BP	GO:0051656	establishment of organelle localization	108/3017	437/18903	1.2130414293361e-06	0.000704658422379273	0.000636019888590897	HIF1A/XPO1/KIT/STAM/TRAPPC8/ITGB1/ARMCX3/ITGA4/SNAP23/TFG/KIF5B/AP3B1/KIF14/CENPE/CLASP2/TMED2/EXOC5/YWHAZ/AP1AR/BLOC1S6/SDCBP/AP3M1/CEP83/LRPPRC/EXOC6/LYN/PDCD6IP/MAPRE1/AP3M2/VPS4B/ARHGAP21/LSG1/CDCA8/TBC1D23/RAB6A/KIF3A/DLG1/CHAMP1/VAMP7/CENPF/FBXW11/CCDC186/ABCE1/SYT11/NDEL1/TRAPPC11/SPDL1/NMD3/LMNB1/FER/SPRY1/TRIP11/EXOC1/SPIRE1/CDC23/KIF18A/CEP120/CENPC/RHOT1/SDAD1/FNBP1L/RAB7A/WDR11/GPSM2/CENPQ/SNX4/CHMP1B/GEM/KLHL12/FAM83D/MYO6/RAB1A/WASF1/BBS2/TMED10/LGALS9/SLC2A4/RAB44/UXT/NOP9/TRAPPC2L/CHMP2A/LAT2/PINX1/MYO1F/BLOC1S1/CHMP4BP1/MYO1G/AP3B2/NECTIN2/LMNA/S100A13/TRIM58/TRIM46/CNIH2/STK11/MAD1L1/UNC13D/SYNE3/RIPOR1/NTN1/RHOT2/BORCS8/ASIP/SUN2/F8A1/TRAPPC5/MEIOC	108
