ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-68886	M Phase	132/1982	418/10899	1.06927424658297e-11	1.6071191926142e-08	1.31126789186227e-08	TUBB1/XPO1/BUB1B/KIF2A/CCP110/CEP135/PPP2R5A/UBE2E1/SMC4/CEP152/CENPE/DYNC1I2/RAD21/NEDD1/CLASP2/CLIP1/CDK1/STAG2/USO1/HSP90AA1/PRKAR2B/AKAP9/CKAP5/NEK7/PPP2CB/PPP1CC/PLK4/CEP290/PDS5A/ARPP19/RB1/MAPRE1/PPP2R2A/KNL1/NUP153/KIF23/NUP160/TUBGCP4/BLZF1/CDCA8/SMC3/CENPF/RANBP2/NDEL1/YWHAE/WAPL/BUB1/SPDL1/SMC2/NUP58/LMNB1/PDS5B/TPR/CEP57/LPIN1/CDC23/NUP205/KIF18A/TNPO1/CENPK/TMPO/HAUS3/CENPC/NUP42/CEP76/CENPQ/KIF20A/AHCTF1/PSMD10/RAB1A/NUP37/FBXO5/ANAPC15/PSMC5/H2AX/H2AC14/CENPM/PSME2/H2AC8/H3C11/SSNA1/H2AJ/PSMA4/H2AC20/PTTG1/PSMD13/H4C5/RPS27/CHMP2A/CEP131/RPS27A/NUP210/PSMD4/PSMB6/PSMB8/TUBA4A/PSMB3/UBA52/PSMB10/H2BC7/MZT2A/LMNA/MZT2B/H3C3/UBE2S/H2BC9/H4C2/H4C4/B9D2/H4C6/H2BC21/SFI1/ANAPC2/CSNK2B/H4C13/H2BC3/MAD1L1/H3C7/H2BC10/NCAPH2/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/TUBGCP6/H3C13/SPC24/H2BC17/H2BC4/H2BC14	132
R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	43/1982	97/10899	2.23816167340649e-09	1.62359527744225e-06	1.32471092777268e-06	THBS1/AGO4/PRKCQ/RBBP5/CBFB/SIN3A/KMT2E/PRMT6/H2AX/H2AC14/H2AC8/H3C11/H2AJ/H2AC20/H4C5/H2BC7/ITGA2B/NFE2/H3C3/H2BC9/H4C2/SETD1B/KMT2D/H4C4/H4C6/H2BC21/H4C13/H2BC3/TNRC6C/H3C7/H2BC10/H4C9/H3C2/GP1BA/H2BC11/H4C3/KMT2B/H4C1/H2AC4/H3C13/H2BC17/H2BC4/H2BC14	43
R-HSA-6798695	Neutrophil degranulation	139/1982	482/10899	3.24070913661127e-09	1.62359527744225e-06	1.32471092777268e-06	IQGAP1/CAP1/ROCK1/DNAJC13/CAB39/IQGAP2/RAB5B/SNAP23/ACLY/RAB31/DDX3X/ATP11B/PTPRC/FAF2/VCL/HSP90AA1/IDH1/SDCBP/CEP290/PTPRB/RAB6A/CD53/B4GALT1/RAB14/MAGT1/ALDOC/COPB1/PLD1/TXNDC5/RAP2C/CYBB/LAMP2/ITGAV/LAMTOR3/GOLGA7/PGM2/RAP1B/VAPA/ANO6/ENPP4/NCSTN/FUCA1/PRG2/CPNE3/CMTM6/SCAMP1/NFKB1/YPEL5/RAB7A/CAND1/ACP3/MMP9/PGAM1/GNS/SLCO4C1/STBD1/MOSPD2/HBB/S100A9/ELANE/AZU1/MPO/S100A8/RETN/PLAC8/GMFG/CYBA/CTSG/HP/ANPEP/CAMP/RAB44/CFD/DEFA4/PRTN3/LAMTOR1/PSMD13/NAPRT/NIT2/RNASE2/PKP1/CEACAM6/KCNAB2/TYROBP/PADI2/PYCARD/TNFRSF1B/LAIR1/APRT/ITGAL/BPI/ARHGAP45/BRI3/RNASE3/ATG7/ORM1/CEACAM8/SLC11A1/LTF/DGAT1/MS4A3/GSDMD/HUWE1/CSNK2B/NFAM1/RAB37/CEACAM3/DPP7/ATAD3B/MNDA/NBEAL2/TRPM2/KRT1/CTSD/TMC6/RAB4B/MCEMP1/LILRB3/ADA2/UNC13D/HK3/CHI3L1/C5AR1/MGAM/CLEC12A/SLPI/S100P/COMMD3/FCGR3B/SLC2A5/C3AR1/DSP/A1BG/NDUFC2/CD14/CLEC5A/AGPAT2/CEACAM1/OSCAR	139
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	46/1982	111/10899	8.67003311711682e-09	3.25776494375665e-06	2.65804962669503e-06	EIF3A/PABPC1/EIF4E/EIF4H/EIF4A2/RPL26L1/RPS25/EIF3B/RPS20/RPS5/RPL36AL/RPS12/RPS28/EIF3K/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26/EIF3C/EIF4A1	46
R-HSA-168255	Influenza Infection	58/1982	156/10899	1.3389318623094e-08	4.02482917810205e-06	3.28390656755884e-06	XPO1/CANX/KPNA3/IPO5/HSP90AA1/NUP153/NUP160/EIF2AK2/RANBP2/POLR2B/NUP58/TPR/NUP205/GRSF1/NUP42/NUP37/CLTA/RPL26L1/RPS25/RPS20/POLR2I/RPS5/RPL36AL/RPS12/RPS28/RPL32/POLR2L/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/NUP210/RPL35/RPLP1/RPS4Y1/ISG15/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26	58
R-HSA-168273	Influenza Viral RNA Transcription and Replication	52/1982	135/10899	1.89852181071478e-08	4.07639754500615e-06	3.325981818771e-06	IPO5/HSP90AA1/NUP153/NUP160/RANBP2/POLR2B/NUP58/TPR/NUP205/GRSF1/NUP42/NUP37/RPL26L1/RPS25/RPS20/POLR2I/RPS5/RPL36AL/RPS12/RPS28/RPL32/POLR2L/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/NUP210/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26	52
R-HSA-9609690	HCMV Early Events	52/1982	135/10899	1.89852181071478e-08	4.07639754500615e-06	3.325981818771e-06	TUBB1/ITGB1/DYNC1I2/NUP153/NUP160/SUZ12/CBX1/RANBP2/NUP58/TPR/NUP205/EZH2/NFKB1/NUP42/NUP37/RBBP4/H2AC16/H2AC14/H2AC8/H3C11/H2AC12/H2AC20/H2AC11/H4C5/NUP210/TUBA4A/H2BC7/H2AC21/H2BC18/H3C3/H2BC9/H4C2/H2AC13/H4C4/H4C6/H2BC21/H4C13/NCOR2/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/H3C13/H2BC17/H2AC15/H2BC4/H2BC14	52
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	45/1982	112/10899	3.87418991301115e-08	6.78406373058052e-06	5.53519924790861e-06	EIF3A/EIF4E/EIF4H/EIF4A2/RPL26L1/RPS25/EIF3B/RPS20/RPS5/RPL36AL/RPS12/RPS28/EIF3K/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26/EIF3C/EIF4A1	45
R-HSA-9610379	HCMV Late Events	46/1982	116/10899	4.41581592774601e-08	6.78406373058052e-06	5.53519924790861e-06	VPS36/NUP153/NUP160/RANBP2/NUP58/TPR/NUP205/HNRNPK/NUP42/NUP37/H2AC16/H2AC14/H2AC8/H3C11/H2AC12/H2AC20/H2AC11/H4C5/CHMP2A/NUP210/H2BC7/H2AC21/H2BC18/H3C3/H2BC9/H4C2/H2AC13/H4C4/H4C6/H2BC21/H4C13/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/H3C13/H2BC17/CEBPD/H2AC15/H2BC4/H2BC14	46
R-HSA-69620	Cell Cycle Checkpoints	91/1982	293/10899	4.51368179014007e-08	6.78406373058052e-06	5.53519924790861e-06	XPO1/BUB1B/RMI1/BRCA1/KIF2A/PPP2R5A/UBE2E1/CENPE/DYNC1I2/CLASP2/CLIP1/CDK1/YWHAZ/CDKN1B/CKAP5/TP53BP1/PPP2CB/PPP1CC/MAPRE1/KNL1/WEE1/ABRAXAS1/BRCC3/NUP160/CCNE2/CDCA8/CENPF/RANBP2/ORC2/NDEL1/YWHAE/BUB1/SPDL1/YWHAQ/DNA2/CDC23/KIF18A/CENPK/COP1/CENPC/ATR/BARD1/UBE2N/TOPBP1/CENPQ/AHCTF1/RFC3/PSMD10/NUP37/ANAPC15/PSMC5/H2AX/CENPM/PSME2/PSMA4/PSMD13/H4C5/RPS27/RPS27A/CDKN2A/PSMD4/PSMB6/PSMB8/PSMB3/UBA52/PSMB10/H2BC7/UBE2S/BABAM1/RAD9A/H2BC9/H4C2/H4C4/B9D2/PKMYT1/H4C6/H2BC21/ANAPC2/H4C13/H2BC3/MAD1L1/H2BC10/H4C9/H2BC11/PIAS4/H4C3/H4C1/SPC24/H2BC17/H2BC4/H2BC14	91
