ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	entrezID
R3HCC1	1116.660683	-2.23360426	0.132059772	-16.91358559	3.57e-64	6.07e-60	203069
HBB	7076.610188	-2.575190283	0.175411775	-14.68082901	8.55e-49	7.27e-45	3043
S100A9	649.503422	-2.979604404	0.216671521	-13.75171225	4.97e-43	2.82e-39	6280
HBD	1576.87509	-1.962403425	0.148470418	-13.21747088	6.96e-40	2.36e-36	c("3045", "100187828")
ELANE	234.8560854	-3.421783045	0.272358939	-12.56350555	3.35e-36	8.13e-33	1991
RHOV	96.34862724	-4.163441929	0.337172345	-12.34811214	4.99e-35	1.06e-31	171177
PIR	995.0820794	-1.462777617	0.121269724	-12.06218311	1.67e-33	2.84e-30	8544
AZU1	343.7867773	-2.857094448	0.241476879	-11.83175158	2.68e-32	4.13e-29	566
BCAM	73.91967257	-3.567481805	0.302312301	-11.80065048	3.87e-32	5.48e-29	4059
STUB1	1582.721062	-1.518244683	0.137003449	-11.08179896	1.54e-28	1.87e-25	10273
CDC34	1328.258556	-1.685884987	0.152345919	-11.06616441	1.83e-28	2.07e-25	997
CDKN2D	234.3840642	-1.668658528	0.153803388	-10.84929632	2.01e-27	2.13e-24	1032
ADI1	1077.701966	-1.340898251	0.128581028	-10.42842998	1.84e-25	1.64e-22	55256
DRAP1	3432.426851	-1.948118857	0.187258886	-10.40334533	2.39e-25	2.03e-22	10589
ANP32B	60115.01226	-1.59598348	0.1578489	-10.11083057	4.95e-24	4e-21	10541
GFUS	1880.091371	-1.399585492	0.138885455	-10.07726471	6.96e-24	5.38e-21	7264
HAGH	2353.45361	-1.252871044	0.125214617	-10.00578906	1.44e-23	1.02e-20	3029
AGPAT4	154.5631511	-2.115838109	0.211806729	-9.989475389	1.69e-23	1.15e-20	56895
SELENBP1	367.4986959	-1.423985759	0.143100694	-9.95093536	2.5e-23	1.57e-20	8991
MT-RNR1	2277.168293	-1.534855525	0.156008991	-9.838250458	7.7e-23	4.67e-20	NA
MPO	2592.48559	-1.837916787	0.187779295	-9.787643441	1.27e-22	7.45e-20	4353
ISG20	339.2187466	-1.808236777	0.186226926	-9.709856789	2.74e-22	1.5e-19	3669
PRAM1	181.8977352	-2.742614761	0.292039525	-9.391245104	5.93e-21	2.8e-18	84106
S100A8	48.23018791	-3.054290453	0.325390501	-9.386538468	6.2e-21	2.85e-18	6279
LINC02772	137.6690442	-1.941622933	0.214591482	-9.047996277	1.46e-19	5.5e-17	105371455
HBBP1	676.6249201	-1.183858869	0.131776729	-8.983823445	2.62e-19	9.66e-17	3044
EBNA1BP2	9098.981079	-1.423661084	0.15957001	-8.921858689	4.59e-19	1.62e-16	10969
CARD16	79.50665367	-1.987203622	0.222791749	-8.919556611	4.68e-19	1.62e-16	114769
HBA2	2052.823509	-2.370663336	0.266308363	-8.901948502	5.49e-19	1.83e-16	3040
LPO	89.0329547	-2.408442998	0.27151661	-8.870333924	7.29e-19	2.38e-16	4025
NENF	691.5198418	-2.111287775	0.238375281	-8.856991235	8.22e-19	2.59e-16	29937
ANAPC15	1573.581266	-1.931191197	0.219587379	-8.794636588	1.44e-18	4.43e-16	25906
JDP2	140.106342	-1.681284516	0.192642002	-8.727507489	2.6e-18	7.81e-16	122953
NDUFAB1	733.0873739	-1.648092456	0.190297062	-8.660630052	4.69e-18	1.37e-15	4706
PSTPIP1	103.4505955	-2.368270809	0.273970091	-8.644267704	5.42e-18	1.53e-15	9051
RETN	76.57950584	-4.388936681	0.513214992	-8.551848159	1.21e-17	3.32e-15	56729
SSBP1	2607.633821	-1.001869613	0.119093623	-8.412453907	4.02e-17	1.07e-14	6742
IFTAP	1521.704066	-1.240219361	0.148244415	-8.366044398	5.96e-17	1.56e-14	119710
TESC	758.0981487	-1.394694952	0.167684987	-8.317351352	9e-17	2.28e-14	54997
IFT27	152.9095912	-1.682450253	0.202636568	-8.302796826	1.02e-16	2.5e-14	11020
LGALS9	152.7777053	-1.442249002	0.173802887	-8.298187833	1.06e-16	2.57e-14	3965
BAD	330.77821	-1.353018151	0.16359417	-8.270576818	1.33e-16	3.19e-14	572
FOSB	105.6858348	-3.933275668	0.477759825	-8.232746795	1.83e-16	4.2e-14	2354
HMGB3P16	31.02685418	-3.141826804	0.383197092	-8.198983941	2.42e-16	5.42e-14	100873900
PLAC8	87.31544125	-2.089180857	0.255409401	-8.179733595	2.84e-16	6.28e-14	51316
ZDHHC11	176.7976964	-1.784055905	0.218178097	-8.177062366	2.91e-16	6.33e-14	79844
SQOR	138.4938067	-2.276037513	0.280641833	-8.110114912	5.06e-16	1.04e-13	58472
