ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002181	cytoplasmic translation	42/1354	161/18903	1.00706509454447e-13	5.49051889545645e-10	5.34592554925027e-10	RPL26L1/RPS25/EIF3B/RPS20/RPS5/RPS12/RPS28/EIF3K/RPL32/FAU/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RACK1/RPL13A/RPL26/CPEB1/EIF3C/EIF4A1	42
BP	GO:0006334	nucleosome assembly	33/1354	121/18903	1.18512665401845e-11	2.40629718928467e-08	2.34292712004529e-08	ANP32B/H2AX/H3C11/H1-5/H1-4/H1-3/H1-2/H4C5/H1-10/H2BC7/H2BC18/H3C3/MACROH2A2/CHAF1A/H2BC9/H4C2/H4C4/H4C6/H2BC21/H4C13/KAT6A/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/H4C1/H3C13/H2BC17/H2BC4/H2BC14	33
BP	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	24/1354	67/18903	1.32408135874065e-11	2.40629718928467e-08	2.34292712004529e-08	NDUFAB1/NDUFS7/NDUFB11/NDUFA1/NDUFB9/ATP5MF/ATP5F1E/NDUFB1/ATP5PO/NDUFB2/NDUFS6/NDUFB7/ATP5ME/NDUFS8/SDHA/NDUFA3/ATP5F1D/NDUFV1/ANTKMT/NDUFA9/NDUFA13/NDUFA7/NDUFC2/NDUFA11	24
BP	GO:0015986	proton motive force-driven ATP synthesis	25/1354	76/18903	4.28189951583857e-11	5.83622904008797e-08	5.6825313837826e-08	NDUFAB1/NDUFS7/NDUFB11/NDUFA1/NDUFB9/ATP5MF/ATP5F1E/NDUFB1/ATP5PO/NDUFB2/NDUFS6/NDUFB7/ATP5MJ/ATP5ME/NDUFS8/SDHA/NDUFA3/ATP5F1D/NDUFV1/ANTKMT/NDUFA9/NDUFA13/NDUFA7/NDUFC2/NDUFA11	25
BP	GO:0034728	nucleosome organization	37/1354	156/18903	6.16950685040886e-11	6.72723026968582e-08	6.55006800981303e-08	ANP32B/H2AX/H3C11/H1-5/H1-4/H1-3/H1-2/H4C5/H1-10/DMAP1/H2BC7/H2BC18/NFE2/H3C3/MACROH2A2/CHAF1A/H2BC9/H4C2/H4C4/H4C6/H2BC21/SRCAP/H4C13/KAT6A/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/SUPT6H/H4C3/H4C1/H3C13/H2BC17/H2BC4/H2BC14	37
BP	GO:0006119	oxidative phosphorylation	35/1354	147/18903	1.80379552322719e-10	1.6390488654391e-07	1.59588435502363e-07	NDUFAB1/COX7C/COX6C/NDUFS7/NDUFB11/COX5B/NDUFA1/UQCRQ/NDUFB9/ATP5MF/ATP5F1E/COX6B2/NDUFB1/ATP5PO/COX6B1/NDUFB2/UQCC2/NDUFS6/CHCHD10/NDUFB7/ATP5ME/NDUFS8/SDHA/NDUFA3/ATP5F1D/UQCR10/NDUFV1/ANTKMT/NDUFA9/NDUFA13/UQCRHL/NDUFA7/NDUFC2/UQCC3/NDUFA11	35
BP	GO:0006754	ATP biosynthetic process	28/1354	106/18903	9.44864161258637e-10	7.35914201026012e-07	7.16533829357489e-07	NDUFAB1/NDUFS7/NDUFB11/NDUFA1/NDUFB9/ATP5MF/ATP5F1E/NDUFB1/ATP5PO/NDUFB2/NDUFS6/NDUFB7/ATP5MJ/ATP5ME/NDUFS8/SDHA/NDUFA3/ATP5F1D/NDUFV1/ANTKMT/NDUFA9/NDUFA13/NDUFA7/PRKAG2/NDUFC2/UQCC3/NDUFA11/TREM2	28
BP	GO:0009206	purine ribonucleoside triphosphate biosynthetic process	29/1354	117/18903	2.39351234352722e-09	1.6311786621138e-06	1.58822141426418e-06	NDUFAB1/NDUFS7/NDUFB11/NDUFA1/NDUFB9/ATP5MF/ATP5F1E/NDUFB1/ATP5PO/NDUFB2/NDUFS6/NDUFB7/ATP5MJ/ATP5ME/NDUFS8/SDHA/NDUFA3/ATP5F1D/NME1/NDUFV1/ANTKMT/NDUFA9/NDUFA13/NDUFA7/PRKAG2/NDUFC2/UQCC3/NDUFA11/TREM2	29
BP	GO:0009145	purine nucleoside triphosphate biosynthetic process	29/1354	118/18903	2.95900698506775e-09	1.79250067584326e-06	1.7452949971575e-06	NDUFAB1/NDUFS7/NDUFB11/NDUFA1/NDUFB9/ATP5MF/ATP5F1E/NDUFB1/ATP5PO/NDUFB2/NDUFS6/NDUFB7/ATP5MJ/ATP5ME/NDUFS8/SDHA/NDUFA3/ATP5F1D/NME1/NDUFV1/ANTKMT/NDUFA9/NDUFA13/NDUFA7/PRKAG2/NDUFC2/UQCC3/NDUFA11/TREM2	29
BP	GO:0061644	protein localization to CENP-A containing chromatin	11/1354	18/18903	4.87225307239592e-09	2.65635237507026e-06	2.58639707832554e-06	H2AC8/H4C5/H4C2/H4C4/H4C6/H4C13/H4C9/H2BC11/H4C3/H4C1/H2AC4	11
