ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-72689	Formation of a pool of free 40S subunits	40/877	101/10899	1.4033241941195e-18	1.3893698064147e-15	1.17568954893362e-15	RPL26L1/RPS25/EIF3B/RPS20/RPS5/RPL36AL/RPS12/RPS28/EIF3K/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26/EIF3C	40
R-HSA-156842	Eukaryotic Translation Elongation	38/877	93/10899	2.87332089165221e-18	1.3893698064147e-15	1.17568954893362e-15	RPL26L1/RPS25/RPS20/RPS5/RPL36AL/RPS12/RPS28/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/EEF1D/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26	38
R-HSA-156902	Peptide chain elongation	37/877	89/10899	4.00683433717288e-18	1.3893698064147e-15	1.17568954893362e-15	RPL26L1/RPS25/RPS20/RPS5/RPL36AL/RPS12/RPS28/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26	37
R-HSA-192823	Viral mRNA Translation	37/877	89/10899	4.00683433717288e-18	1.3893698064147e-15	1.17568954893362e-15	RPL26L1/RPS25/RPS20/RPS5/RPL36AL/RPS12/RPS28/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26	37
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	41/877	111/10899	1.03532163616808e-17	2.87198221873026e-15	2.4302813143735e-15	RPL26L1/RPS25/EIF3B/RPS20/RPS5/RPL36AL/RPS12/RPS28/EIF3K/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26/EIF3C/EIF4A1	41
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	41/877	112/10899	1.5101166220674e-17	3.49088625801248e-15	2.95400005895641e-15	RPL26L1/RPS25/EIF3B/RPS20/RPS5/RPL36AL/RPS12/RPS28/EIF3K/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26/EIF3C/EIF4A1	41
R-HSA-2408557	Selenocysteine synthesis	37/877	93/10899	2.32779200681794e-17	4.0358093918206e-15	3.41511590473948e-15	RPL26L1/RPS25/RPS20/RPS5/RPL36AL/RPS12/RPS28/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26	37
R-HSA-72764	Eukaryotic Translation Termination	37/877	93/10899	2.32779200681794e-17	4.0358093918206e-15	3.41511590473948e-15	RPL26L1/RPS25/RPS20/RPS5/RPL36AL/RPS12/RPS28/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26	37
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	37/877	95/10899	5.37518313508989e-17	8.28375445374409e-15	7.00974174926928e-15	RPL26L1/RPS25/RPS20/RPS5/RPL36AL/RPS12/RPS28/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26	37
R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	38/877	101/10899	8.00855073134125e-17	1.11078598643703e-14	9.39950954257421e-15	RPL26L1/RPS25/RPS20/RPS5/RPL36AL/RPS12/RPS28/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/DDIT3/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26	38
R-HSA-72613	Eukaryotic Translation Initiation	41/877	119/10899	1.85019824083952e-16	2.13852080003701e-14	1.80962371801409e-14	RPL26L1/RPS25/EIF3B/RPS20/RPS5/RPL36AL/RPS12/RPS28/EIF3K/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26/EIF3C/EIF4A1	41
R-HSA-72737	Cap-dependent Translation Initiation	41/877	119/10899	1.85019824083952e-16	2.13852080003701e-14	1.80962371801409e-14	RPL26L1/RPS25/EIF3B/RPS20/RPS5/RPL36AL/RPS12/RPS28/EIF3K/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26/EIF3C/EIF4A1	41
R-HSA-3214815	HDACs deacetylate histones	35/877	94/10899	1.96388181572795e-15	2.09531082954975e-13	1.77305929112281e-13	H2AC16/H2AC14/H2AC8/H3C11/H2AC12/H2AC20/H2AC11/H4C5/H2BC7/H2AC21/H2BC18/H3C3/H2BC9/H4C2/H2AC13/CHD4/H4C4/H4C6/H2BC21/H4C13/NCOR2/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/H3C13/H2BC17/H2AC15/H2BC4/H2BC14	35
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	38/877	112/10899	4.24444596642243e-15	4.20503325387708e-13	3.55831372373008e-13	RPL26L1/RPS25/RPS20/RPS5/RPL36AL/RPS12/RPS28/RPL32/SEC11C/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26	38
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	48/877	171/10899	4.9213475582918e-15	4.55060604223382e-13	3.85073861578621e-13	PSMC5/PSME2/RPL26L1/RPS25/PSMA4/RPS20/RPS5/RPL36AL/RPS12/PSMD13/RPS28/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/PSMD4/PSMB6/RPS4Y1/PSMB8/PSMB3/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/PSMB10/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/ELOB/RPL13A/RPL26/LHX4	48
R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	35/877	97/10899	6.05106634265388e-15	5.03697926413241e-13	4.26230932304303e-13	H2AX/H2AC14/H2AC8/H3C11/H2AJ/H2AC20/H4C5/H2BC7/ITGA2B/NFE2/H3C3/H2BC9/H4C2/SETD1B/KMT2D/H4C4/H4C6/H2BC21/H4C13/H2BC3/TNRC6C/H3C7/H2BC10/H4C9/H3C2/GP1BA/H2BC11/H4C3/KMT2B/H4C1/H2AC4/H3C13/H2BC17/H2BC4/H2BC14	35
R-HSA-73728	RNA Polymerase I Promoter Opening	28/877	63/10899	6.17365879525963e-15	5.03697926413241e-13	4.26230932304303e-13	H2AX/H2AC14/H2AC8/H3C11/H2AJ/H2AC20/H4C5/H2BC7/H3C3/H2BC9/H4C2/H4C4/H4C6/H2BC21/H4C13/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/H3C13/H2BC17/H2BC4/H2BC14	28
R-HSA-427359	SIRT1 negatively regulates rRNA expression	29/877	68/10899	7.6952878727038e-15	5.92964682191121e-13	5.01768770647061e-13	H2AX/H2AC14/H2AC8/H3C11/H2AJ/H2AC20/H4C5/SUV39H1/H2BC7/H3C3/H2BC9/H4C2/H4C4/H4C6/H2BC21/H4C13/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/H3C13/H2BC17/H2BC4/H2BC14	29
R-HSA-68867	Assembly of the pre-replicative complex	43/877	143/10899	9.13618645777838e-15	6.66941611417822e-13	5.6436830473257e-13	ANAPC15/PSMC5/H2AX/H2AC14/PSME2/H2AC8/H3C11/H2AJ/PSMA4/H2AC20/PSMD13/H4C5/RPS27A/PSMD4/PSMB6/PSMB8/PSMB3/UBA52/PSMB10/H2BC7/H3C3/UBE2S/H2BC9/H4C2/H4C4/H4C6/H2BC21/ANAPC2/H4C13/H2BC3/FZR1/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/H3C13/H2BC17/H2BC4/H2BC14	43
R-HSA-927802	Nonsense-Mediated Decay (NMD)	38/877	115/10899	1.13233112888113e-14	7.47877750361015e-13	6.32856746216774e-13	RPL26L1/RPS25/RPS20/RPS5/RPL36AL/RPS12/RPS28/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26/SMG6	38
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	38/877	115/10899	1.13233112888113e-14	7.47877750361015e-13	6.32856746216774e-13	RPL26L1/RPS25/RPS20/RPS5/RPL36AL/RPS12/RPS28/RPL32/RPL19/RPS26/RPS15A/RPS27/RPL34/RPS27A/RPS3/RPL35/RPLP1/RPS4Y1/RPS24/RPL21/UBA52/RPL28/RPLP0/RPS9/RPSA/RPL8/RPLP2/RPL13/RPL36/RPL38/RPL39/RPL27A/RPS19/RPS21/RPL18/RPL13A/RPL26/SMG6	38
R-HSA-5334118	DNA methylation	28/877	65/10899	1.6484709334716e-14	1.03928599305687e-12	8.79447411876e-13	H2AX/H2AC14/H2AC8/H3C11/H2AJ/H2AC20/H4C5/H2BC7/H3C3/H2BC9/H4C2/H4C4/H4C6/H2BC21/H4C13/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/H3C13/H2BC17/H2BC4/H2BC14	28
