ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0048193	Golgi vesicle transport	74/1663	298/18903	1.01095226857782e-16	5.74726364686492e-13	5.09732775419765e-13	RABEP1/GCC2/RINT1/SEC23A/TRAPPC8/NSF/LMAN1/MIA2/SNAP23/COG5/GOLPH3L/TFG/SORT1/EPS15/RAB31/MIA3/ARFGEF2/TMED2/EXOC5/VPS13A/ATP2C1/USO1/NRBP1/AP1AR/SEC23IP/GOLGA4/ARCN1/EXOC6/KIF16B/SEC22B/TMED4/COG6/PITPNB/RP2/CREB3L2/CNST/BLZF1/GOLGA5/RAB6A/RAB14/VAMP7/PRKCI/COPB1/LYPLA1/SEC24A/KLHL20/STXBP6/PREPL/TRAPPC11/GOLGA7/VPS13C/SEC24D/ACSL3/VAPA/TRIP11/EXOC1/SPIRE1/SEC31A/TMED7/SEC23B/SCAMP1/WHAMMP3/CCDC91/SEC24B/COPB2/KLHL12/GOLPH3/ERGIC2/SLC10A7/RAB1A/BBS2/RAB8B/RAB33B/TMED10	74
BP	GO:0016050	vesicle organization	69/1663	353/18903	1.88506638617926e-10	5.35830120271456e-07	4.75235157357825e-07	ALS2/STAM/SEC23A/TBC1D4/TRAPPC8/MFSD14A/DNAJC13/VPS41/OSBP/RAB5B/WASHC4/SNAP23/GOLPH3L/TFG/SORT1/AP3B1/EPS15/MIA3/ARFGEF2/TMED2/VAV3/TMCC1/TMF1/USO1/STAM2/BLOC1S6/SDCBP/VPS8/ZFYVE16/AP3M1/VPS36/USP8/C2CD5/CLCN3/PDCD6IP/PI4K2B/AP3M2/KNL1/SEC22B/VPS4B/EEA1/RAB14/VAMP7/PRKCI/SYT11/SEC24A/STXBP6/TRAPPC11/SEC24D/LAPTM4B/VAPA/CD2AP/SEC31A/VTA1/SEC23B/FNBP1L/SEC24B/RAB7A/STX11/RAB38/CHMP1B/KLHL12/GOLPH3/RAB1A/HOOK1/ANXA1/RAB8B/FBXO5/TMED10	69
BP	GO:0007030	Golgi organization	41/1663	165/18903	6.84667909325357e-10	9.89373410588184e-07	8.77488985181207e-07	GCC2/TRAPPC8/LMAN1/COG5/GOLPH3L/CLASP2/TMED2/GOLGB1/BAG5/CDK1/YWHAZ/USO1/SEC23IP/AKAP9/ATL2/LYSMD3/PI4K2B/SEC22B/TMED4/MAP2K1/ATP8B1/ARHGAP21/COG6/VMP1/BLZF1/USP6NL/GOLGA5/TRAPPC11/PRMT5/TRIP11/TMED7/RAB2B/CSNK1A1/PDE4DIP/DYNC2H1/GOLPH3/RAB1A/HOOK1/RAB33B/TMED10/HACE1	41
BP	GO:0006892	post-Golgi vesicle-mediated transport	31/1663	104/18903	6.96129048786761e-10	9.89373410588184e-07	8.77488985181207e-07	RABEP1/NSF/SNAP23/GOLPH3L/SORT1/EPS15/RAB31/ARFGEF2/EXOC5/VPS13A/ATP2C1/AP1AR/GOLGA4/EXOC6/KIF16B/RP2/CNST/BLZF1/RAB14/LYPLA1/KLHL20/STXBP6/PREPL/GOLGA7/VPS13C/ACSL3/EXOC1/SCAMP1/CCDC91/GOLPH3/BBS2	31
BP	GO:0044772	mitotic cell cycle phase transition	81/1663	473/18903	3.90996352150367e-09	4.09306913273631e-06	3.63019972148441e-06	BUB1B/ANLN/ADAM17/RINT1/BCAT1/BRCA1/ITGB1/CDK17/KIF14/TAF2/SMC5/CCNI/CENPE/DDX3X/RAD21/TTK/CLASP2/CDC73/CDK1/EIF4E/WAC/XPC/TAOK3/APPL2/CRLF3/ARID2/SMARCA2/CDKN1B/APPL1/ACVR1/CCNJ/ATAD5/NABP1/BACH1/ARPP19/RB1/WEE1/VPS4B/STIL/ABRAXAS1/BRCC3/AURKA/TRIP13/CCNE2/CDCA8/PRKDC/USP47/USP44/DLG1/CDK7/RBL2/CENPF/CDK15/CUL5/SIN3A/KMT2E/BUB1/EPS8/SPDL1/ACTL6A/NPAT/TPR/ZNF655/CDC23/SKP2/EZH2/CCNG1/SASS6/GSPT1/SLFN11/BARD1/TOPBP1/PPM1D/ANXA1/FBXL3/E2F7/FBXO5/LATS2/GPNMB/CALM2/UBE2E2	81
BP	GO:0016570	histone modification	81/1663	474/18903	4.31986188151589e-09	4.09306913273631e-06	3.63019972148441e-06	SMARCAD1/DEK/DDX21/TRIP12/RLF/MSL1/PAXBP1/MYB/BRCA1/BRCA2/UBE2E1/UFL1/PWP1/TRIM37/TAF2/LIF/MECOM/CDC73/TAF5/MAP3K7/ZZZ3/REST/KAT7/WAC/VEGFA/MORF4L2/RNF20/UBR5/KDM3A/GTF3C4/ZMPSTE24/KDM6A/KDM5B/EPC2/NSD3/PHF20L1/ABRAXAS1/BRCC3/ZNF304/SETD2/SIRT1/CTR9/ARID4B/RBBP5/OGT/RIF1/SUZ12/POLE3/SIN3A/USP16/MEAF6/KMT2E/PARG/MTF2/PARP2/EID1/ACTL6A/USP51/PRMT5/PRMT6/MORF4L1/KDM1B/HCFC2/EZH2/MSL3/NFYB/BARD1/BRMS1L/AASS/USP15/UBE2N/JADE3/JMJD1C/ING3/ARID4A/RIOX2/BMI1/RBBP4/SUPT3H/YEATS4/RAG1	81
BP	GO:0051656	establishment of organelle localization	75/1663	437/18903	1.34175735136605e-08	1.08969864893086e-05	9.66468829029082e-06	HIF1A/XPO1/KIT/STAM/TRAPPC8/ITGB1/ARMCX3/ITGA4/SNAP23/TFG/KIF5B/AP3B1/KIF14/CENPE/CLASP2/TMED2/EXOC5/YWHAZ/AP1AR/BLOC1S6/SDCBP/AP3M1/CEP83/LRPPRC/EXOC6/LYN/PDCD6IP/MAPRE1/AP3M2/VPS4B/ARHGAP21/LSG1/CDCA8/TBC1D23/RAB6A/KIF3A/DLG1/CHAMP1/VAMP7/CENPF/FBXW11/CCDC186/ABCE1/SYT11/NDEL1/TRAPPC11/SPDL1/NMD3/LMNB1/FER/SPRY1/TRIP11/EXOC1/SPIRE1/CDC23/KIF18A/CEP120/CENPC/RHOT1/SDAD1/FNBP1L/RAB7A/WDR11/GPSM2/CENPQ/SNX4/CHMP1B/GEM/KLHL12/FAM83D/MYO6/RAB1A/WASF1/BBS2/TMED10	75
BP	GO:0031023	microtubule organizing center organization	36/1663	150/18903	1.97552286763207e-08	1.40385593781104e-05	1.24509928104705e-05	XPO1/GCC2/BRCA1/CCP110/USP33/CEP135/BRCA2/PPP1R12A/CEP152/TRIM37/CLASP2/CDK1/SLC16A1/CKAP5/MPDZ/PLK4/PDCD6IP/VPS4B/STIL/ROCK2/SIRT1/AURKA/KIF3A/FBXW11/CHORDC1/NDEL1/CEP120/HAUS3/SASS6/POC1B/PDE4DIP/CEP76/MDM1/CHMP1B/CCNL1/PARD6B	36
BP	GO:2001020	regulation of response to DNA damage stimulus	57/1663	312/18903	8.47905159420001e-08	5.35593425700301e-05	4.75025229663369e-05	PPP4R3B/DEK/TRIP12/PMAIP1/BRCA1/RAD51AP1/PPP4R2/BRCA2/NEK4/TAF2/TAF5/KAT7/FIGNL1/MORF4L2/ARID2/SMARCA2/ATAD5/UBR5/SMCHD1/TP53BP1/ZMPSTE24/RADX/EPC2/ABRAXAS1/BRCC3/MARCHF7/SETD2/SIRT1/PRKDC/RIF1/USP47/PARP9/POLQ/WDR48/MEAF6/USP1/PARG/ACTL6A/USP51/TRIM32/MORF4L1/SPIRE1/HNRNPK/ATR/BARD1/UBE2N/SLF1/DDX5/ING3/UBE2V1/PSMD10/ARMT1/CRY1/SUPT3H/FBXO5/YEATS4/SPRED1	57
BP	GO:0000910	cytokinesis	40/1663	187/18903	1.01102683243588e-07	5.747687542398e-05	5.09770371301882e-05	ANLN/ROCK1/CCP110/BRCA2/SON/KIF14/KIF20B/SEPTIN10/TTC19/EXOC5/CSPP1/CKAP2/PRC1/USP8/PLK4/EXOC6/SEPTIN2/PDCD6IP/STAMBP/VPS4B/KIF23/SETD2/ROCK2/AURKA/CDCA8/CEP55/PRPF40A/SEPTIN7/KIF4A/PKN2/ECT2/E2F8/EXOC1/SPIRE1/CHMP1B/KIF20A/AHCTF1/E2F7/KLHL13/CALM2	40
