ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-9012999	RHO GTPase cycle	92/1105	449/10899	1.89540228584357e-11	2.58722412017647e-08	2.27847306361406e-08	ARHGEF6/ARL13B/IQGAP1/ALS2/ANLN/DBT/STAM/NCKAP1/ERBIN/DOCK9/SLK/ROCK1/TFRC/IQGAP2/CCP110/ITGB1/TPM4/AMIGO2/ARMCX3/LMAN1/SRRM1/SNAP23/SENP1/KIF14/SWAP70/USP9X/DOCK8/SOS2/ADD3/CCDC115/VAV3/FAF2/HSP90AA1/ARHGEF12/TAOK3/STAM2/RNF20/ABI1/RHOBTB1/KIDINS220/FAM13B/ANKRD26/OSBPL11/SOS1/TPM3/ARHGAP6/RBBP6/ARHGAP21/ROCK2/ARHGAP18/CCDC88A/TOR1AIP1/NIPSNAP2/RALGAPA1/PLD1/CYBB/ARHGAP11A/DSG2/CEP97/PKN2/LMNB1/TWF1/ARHGAP12/ECT2/MTMR1/COPS2/NCK1/KTN1/DEPDC1B/DIAPH3/FAM135A/CPD/TMPO/FNBP1L/RAB7A/ABCD3/DOCK10/WDR11/MYO6/DOCK1/TRA2B/WASF1/DOCK11/UACA/STBD1/FRS2/KCTD3/MOSPD2/CPNE8/PTPN13/RHOQ/PARD6B	92
R-HSA-68877	Mitotic Prometaphase	51/1105	204/10899	6.31142605309386e-10	4.30754828123656e-07	3.79349923822799e-07	TUBB1/XPO1/BUB1B/KIF2A/CCP110/CEP135/PPP2R5A/SMC4/CEP152/CENPE/DYNC1I2/RAD21/NEDD1/CLASP2/CLIP1/CDK1/STAG2/HSP90AA1/PRKAR2B/AKAP9/CKAP5/NEK7/PPP2CB/PPP1CC/PLK4/CEP290/PDS5A/MAPRE1/KNL1/NUP160/TUBGCP4/CDCA8/SMC3/CENPF/RANBP2/NDEL1/YWHAE/WAPL/BUB1/SPDL1/SMC2/PDS5B/CEP57/KIF18A/CENPK/HAUS3/CENPC/CEP76/CENPQ/AHCTF1/NUP37	51
R-HSA-2500257	Resolution of Sister Chromatid Cohesion	34/1105	126/10899	6.22804688442189e-08	2.83376133241196e-05	2.49558931298589e-05	TUBB1/XPO1/BUB1B/KIF2A/PPP2R5A/CENPE/DYNC1I2/RAD21/CLASP2/CLIP1/CDK1/STAG2/CKAP5/PPP2CB/PPP1CC/PDS5A/MAPRE1/KNL1/NUP160/CDCA8/SMC3/CENPF/RANBP2/NDEL1/WAPL/BUB1/SPDL1/PDS5B/KIF18A/CENPK/CENPC/CENPQ/AHCTF1/NUP37	34
R-HSA-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	45/1105	202/10899	2.58293424195049e-07	8.81426310065604e-05	7.76239711659857e-05	TUBB1/GCC2/GOLIM4/RINT1/KIF2A/GALNT1/NSF/COG5/KIF5B/KIF20B/CAPZA1/CENPE/DYNC1I2/TMED2/RIC1/GOLGA1/TMF1/MAN2A1/RHOBTB3/GOLGA4/ARCN1/M6PR/RAB3GAP1/KIF16B/CAPZA2/SEC22B/KIF23/COG6/USP6NL/GOLGA5/RAB6A/KIF3A/COPB1/KIF4A/SCOC/TRIP11/KIF18A/TMED7/KIF27/COPB2/KIF20A/RAB1A/RAB33B/TMED10/PLA2G4A	45
R-HSA-5617833	Cilium Assembly	43/1105	201/10899	1.51245081705776e-06	0.000396334080757921	0.000349036838423401	ARL13B/TUBB1/CCP110/CEP135/CEP152/IFT80/DYNC1I2/NEDD1/EXOC5/CDK1/HSP90AA1/UNC119B/PRKAR2B/AKAP9/CKAP5/CEP83/PLK4/CEP290/IFT81/EXOC6/SEPTIN2/MAPRE1/RP2/KIF3A/YWHAE/BBS12/CEP97/TTC21B/CEP57/TTC26/TRIP11/EXOC1/TNPO1/HAUS3/TTC8/CEP76/DYNC2H1/DYNC2LI1/LZTFL1/BBS10/BBS2/NPHP3/TTC30B	43
R-HSA-141424	Amplification of signal from the kinetochores	26/1105	96/10899	2.03248246542523e-06	0.000396334080757921	0.000349036838423401	XPO1/BUB1B/KIF2A/PPP2R5A/CENPE/DYNC1I2/CLASP2/CLIP1/CKAP5/PPP2CB/PPP1CC/MAPRE1/KNL1/NUP160/CDCA8/CENPF/RANBP2/NDEL1/BUB1/SPDL1/KIF18A/CENPK/CENPC/CENPQ/AHCTF1/NUP37	26
R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	26/1105	96/10899	2.03248246542523e-06	0.000396334080757921	0.000349036838423401	XPO1/BUB1B/KIF2A/PPP2R5A/CENPE/DYNC1I2/CLASP2/CLIP1/CKAP5/PPP2CB/PPP1CC/MAPRE1/KNL1/NUP160/CDCA8/CENPF/RANBP2/NDEL1/BUB1/SPDL1/KIF18A/CENPK/CENPC/CENPQ/AHCTF1/NUP37	26
R-HSA-68886	M Phase	72/1105	418/10899	4.02531636394147e-06	0.000686819604597513	0.000604856748371205	TUBB1/XPO1/BUB1B/KIF2A/CCP110/CEP135/PPP2R5A/UBE2E1/SMC4/CEP152/CENPE/DYNC1I2/RAD21/NEDD1/CLASP2/CLIP1/CDK1/STAG2/USO1/HSP90AA1/PRKAR2B/AKAP9/CKAP5/NEK7/PPP2CB/PPP1CC/PLK4/CEP290/PDS5A/ARPP19/RB1/MAPRE1/PPP2R2A/KNL1/NUP153/KIF23/NUP160/TUBGCP4/BLZF1/CDCA8/SMC3/CENPF/RANBP2/NDEL1/YWHAE/WAPL/BUB1/SPDL1/SMC2/NUP58/LMNB1/PDS5B/TPR/CEP57/LPIN1/CDC23/NUP205/KIF18A/TNPO1/CENPK/TMPO/HAUS3/CENPC/NUP42/CEP76/CENPQ/KIF20A/AHCTF1/PSMD10/RAB1A/NUP37/FBXO5	72
R-HSA-69618	Mitotic Spindle Checkpoint	28/1105	113/10899	5.58028587322424e-06	0.000846343357439009	0.000745343446458723	XPO1/BUB1B/KIF2A/PPP2R5A/UBE2E1/CENPE/DYNC1I2/CLASP2/CLIP1/CKAP5/PPP2CB/PPP1CC/MAPRE1/KNL1/NUP160/CDCA8/CENPF/RANBP2/NDEL1/BUB1/SPDL1/CDC23/KIF18A/CENPK/CENPC/CENPQ/AHCTF1/NUP37	28
R-HSA-68884	Mitotic Telophase/Cytokinesis	8/1105	13/10899	8.79605013968491e-06	0.00120066084406699	0.0010573778167916	RAD21/STAG2/PDS5A/KIF23/SMC3/WAPL/PDS5B/KIF20A	8
