ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006334	nucleosome assembly	33/1354	121/18903	1.19E-11	2.41E-08	2.34E-08	ANP32B/H2AX/H3C11/H1-5/H1-4/H1-3/H1-2/H4C5/H1-10/H2BC7/H2BC18/H3C3/MACROH2A2/CHAF1A/H2BC9/H4C2/H4C4/H4C6/H2BC21/H4C13/KAT6A/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/H4C1/H3C13/H2BC17/H2BC4/H2BC14	33
BP	GO:0034728	nucleosome organization	37/1354	156/18903	6.17E-11	6.73E-08	6.55E-08	ANP32B/H2AX/H3C11/H1-5/H1-4/H1-3/H1-2/H4C5/H1-10/DMAP1/H2BC7/H2BC18/NFE2/H3C3/MACROH2A2/CHAF1A/H2BC9/H4C2/H4C4/H4C6/H2BC21/SRCAP/H4C13/KAT6A/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/SUPT6H/H4C3/H4C1/H3C13/H2BC17/H2BC4/H2BC14	37
BP	GO:0006119	oxidative phosphorylation	35/1354	147/18903	1.80E-10	1.64E-07	1.60E-07	NDUFAB1/COX7C/COX6C/NDUFS7/NDUFB11/COX5B/NDUFA1/UQCRQ/NDUFB9/ATP5MF/ATP5F1E/COX6B2/NDUFB1/ATP5PO/COX6B1/NDUFB2/UQCC2/NDUFS6/CHCHD10/NDUFB7/ATP5ME/NDUFS8/SDHA/NDUFA3/ATP5F1D/UQCR10/NDUFV1/ANTKMT/NDUFA9/NDUFA13/UQCRHL/NDUFA7/NDUFC2/UQCC3/NDUFA11	35
BP	GO:0061644	protein localization to CENP-A containing chromatin	11/1354	18/18903	4.87E-09	2.66E-06	2.59E-06	H2AC8/H4C5/H4C2/H4C4/H4C6/H4C13/H4C9/H2BC11/H4C3/H4C1/H2AC4	11
BP	GO:0006338	chromatin remodeling	54/1354	373/18903	5.70E-07	0.000129525	0.000126114	ANP32B/H2AX/H3C11/H1-5/H1-4/H1-3/H1-2/H4C5/H1-10/SUV39H1/DMAP1/PADI2/H2BC7/MPND/H2BC18/BCL7C/LMNA/TFPT/NFE2/H3C3/MACROH2A2/CHAF1A/H2BC9/H4C2/CHD4/KMT2D/H4C4/H4C6/H2BC21/SRCAP/H4C13/RAD54L2/KAT6A/H2BC3/H3C7/HCFC1/H2BC10/ZBTB7A/H4C9/H3C2/H2BC11/SUPT6H/H4C3/ASIP/H4C1/DOT1L/NPM2/H3C13/EP400/BICRA/H2BC17/H2BC4/H2BC14/L3MBTL1	54
BP	GO:0045653	negative regulation of megakaryocyte differentiation	8/1354	20/18903	3.92E-05	0.005088862	0.004954846	H4C5/H4C2/H4C4/H4C6/H4C13/H4C9/H4C3/H4C1	8
BP	GO:0030041	actin filament polymerization	23/1354	170/18903	0.002384546	0.135422364	0.131856003	PSTPIP1/CORO1A/AIF1/ARPC3/PYCARD/TMSB10/ARPC1A/CATIP/C15orf62/MICALL2/TMOD4/BAIAP2L2/SPTBN4/CSF3/SPTBN2/BIN1/CDC42EP1/TMSB4Y/CORO7/PIK3R2/HIP1R/HCK/AVIL	23
BP	GO:2000249	regulation of actin cytoskeleton reorganization	9/1354	42/18903	0.002492883	0.14011543	0.136425477	GMFG/HRAS/PHPT1/ABI3/TRPM2/BAIAP2L2/CSF3/HCK/RAPGEF3	9
BP	GO:0007015	actin filament organization	49/1354	454/18903	0.002667069	0.146877355	0.143009326	PSTPIP1/GMFG/CORO1A/AIF1/ID1/ARPC3/ELMO3/PYCARD/RHOBTB2/MICAL1/WASH3P/MYO1F/TMSB10/ARPC1A/MYO1G/WASH6P/HIP1/WASHC1/PXN/SPATC1L/GAS2L1/ESPNL/CATIP/ASAP3/C15orf62/PPP1R9B/FSCN2/MICALL2/TMOD4/BAIAP2L2/SPTBN4/CSF3/SPTBN2/PLEC/BIN1/GHRL/CDC42EP1/RHPN1/TCAP/TMSB4Y/CORO7/PIK3R2/FLNA/HIP1R/HCK/ARHGEF10L/SHANK3/RAPGEF3/AVIL	49
BP	GO:0006936	muscle contraction	39/1354	351/18903	0.004230068	0.198813216	0.193577451	CXCR4/GSTO1/MYL4/MYH11/MYL6/SPHK1/SRI/GPER1/MYOM2/CACNA1C/TNNI3/LTB4R/TACR2/TNNT1/ADRA2A/CHRNG/MYL6B/CACNA1H/P2RX2/RANGRF/TMOD4/DES/BIN1/GHRL/TCAP/CHRNB2/CD38/TNNC2/KCNA1/CCDC78/C12orf57/MYLK2/RNF207/FLNA/SSTR2/KCNJ12/DSP/CASQ1/DMPK	39
