ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-3214815	HDACs deacetylate histones	35/877	94/10899	1.96E-15	2.10E-13	1.77E-13	H2AC16/H2AC14/H2AC8/H3C11/H2AC12/H2AC20/H2AC11/H4C5/H2BC7/H2AC21/H2BC18/H3C3/H2BC9/H4C2/H2AC13/CHD4/H4C4/H4C6/H2BC21/H4C13/NCOR2/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/H3C13/H2BC17/H2AC15/H2BC4/H2BC14	35
R-HSA-2299718	Condensation of Prophase Chromosomes	29/877	74/10899	1.09E-13	5.06E-12	4.28E-12	H2AX/H2AC14/H2AC8/H3C11/H2AJ/H2AC20/H4C5/H2BC7/H3C3/H2BC9/H4C2/H4C4/H4C6/H2BC21/H4C13/H2BC3/H3C7/H2BC10/NCAPH2/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/H3C13/H2BC17/H2BC4/H2BC14	29
R-HSA-212300	PRC2 methylates histones and DNA	28/877	73/10899	5.49E-13	1.86E-11	1.57E-11	H2AX/H2AC14/H2AC8/H3C11/H2AJ/H2AC20/H4C5/H2BC7/H3C3/H2BC9/H4C2/H4C4/H4C6/H2BC21/H4C13/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/H3C13/H2BC17/H2BC4/H2BC14	28
R-HSA-5625740	RHO GTPases activate PKNs	30/877	95/10899	2.69E-11	6.31E-10	5.34E-10	H2AX/H2AC14/H2AC8/H3C11/H2AJ/H2AC20/H4C5/MYH11/MYL6/H2BC7/H3C3/H2BC9/H4C2/H4C4/H4C6/H2BC21/H4C13/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/H3C13/H2BC17/H2BC4/H2BC14	30
R-HSA-5578749	Transcriptional regulation by small RNAs	31/877	106/10899	1.14E-10	2.19E-09	1.85E-09	H2AX/H2AC14/H2AC8/H3C11/H2AJ/H2AC20/POLR2I/H4C5/POLR2L/NUP210/H2BC7/H3C3/H2BC9/H4C2/H4C4/H4C6/H2BC21/H4C13/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/H3C13/H2BC17/H2BC4/H2BC14	31
R-HSA-774815	Nucleosome assembly	24/877	74/10899	1.43E-09	2.41E-08	2.04E-08	H2AX/H2AC14/CENPM/H2AC8/H2AJ/H2AC20/H4C5/H2BC7/H2BC9/H4C2/H4C4/H4C6/H2BC21/H4C13/H2BC3/H2BC10/H4C9/H2BC11/H4C3/H4C1/H2AC4/H2BC17/H2BC4/H2BC14	24
R-HSA-1500620	Meiosis	30/877	118/10899	8.94E-09	1.36E-07	1.15E-07	H2AX/H2AC14/H2AC8/H3C11/H2AJ/H2AC20/H4C5/H2BC7/LMNA/H3C3/H2BC9/H4C2/H4C4/H4C6/H2BC21/H4C13/H2BC3/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/SUN2/H4C1/H2AC4/H3C13/H2BC17/H2BC4/H2BC14	30
R-HSA-211000	Gene Silencing by RNA	32/877	138/10899	3.18E-08	4.55E-07	3.85E-07	H2AX/H2AC14/H2AC8/H3C11/H2AJ/H2AC20/POLR2I/H4C5/POLR2L/NUP210/H2BC7/H3C3/H2BC9/H4C2/H4C4/H4C6/H2BC21/H4C13/H2BC3/TNRC6C/H3C7/H2BC10/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/H3C13/H2BC17/H2BC4/H2BC14	32
R-HSA-4839726	Chromatin organization	48/877	274/10899	1.94E-07	2.58E-06	2.19E-06	H2AC16/H2AX/H2AC14/H2AC8/H3C11/H2AJ/H2AC12/H2AC20/H2AC11/H4C5/SUV39H1/DMAP1/PADI2/H2BC7/H2AC21/H2BC18/H3C3/H2BC9/H4C2/H2AC13/CHD4/SETD1B/KMT2D/H4C4/H4C6/H2BC21/H4C13/NCOR2/KAT6A/H2BC3/H3C7/HCFC1/H2BC10/H4C9/H3C2/H2BC11/H4C3/CCND1/KMT2B/H4C1/DOT1L/H2AC4/H3C13/EP400/H2BC17/H2AC15/H2BC4/H2BC14	48
R-HSA-68875	Mitotic Prophase	31/877	142/10899	2.24E-07	2.94E-06	2.49E-06	H2AX/H2AC14/H2AC8/H3C11/H2AJ/H2AC20/H4C5/NUP210/H2BC7/LMNA/H3C3/H2BC9/H4C2/H4C4/H4C6/H2BC21/H4C13/H2BC3/H3C7/H2BC10/NCAPH2/H4C9/H3C2/H2BC11/H4C3/H4C1/H2AC4/H3C13/H2BC17/H2BC4/H2BC14	31
R-HSA-195258	RHO GTPase Effectors	46/877	327/10899	0.000128339	0.001435985	0.001215135	S100A9/S100A8/KLC3/H2AX/H2AC14/CENPM/H2AC8/CYBA/H3C11/H2AJ/H2AC20/ARPC3/H4C5/RPS27/MYH11/MYL6/TUBA4A/H2BC7/ARPC1A/H3C3/H2BC9/H4C2/H4C4/B9D2/H4C6/H2BC21/H4C13/H2BC3/MAD1L1/H3C7/H2BC10/H4C9/H3C2/H2BC11/RHPN1/H4C3/H4C1/H2AC4/H3C13/FLNA/SPC24/WIPF3/H2BC17/NOX1/H2BC4/H2BC14	46
R-HSA-9759194	Nuclear events mediated by NFE2L2	15/877	79/10899	0.001393967	0.013426613	0.011361646	PSMC5/PSME2/PSMA4/PSMD13/RPS27A/CDKN2A/PSMD4/PSMB6/PSMB8/PSMB3/UBA52/NQO1/PSMB10/TALDO1/NOTCH1	15
R-HSA-453276	Regulation of mitotic cell cycle	16/877	88/10899	0.00158159	0.015025104	0.012714295	ANAPC15/PSMC5/PSME2/PSMA4/PTTG1/PSMD13/RPS27A/PSMD4/PSMB6/PSMB8/PSMB3/UBA52/PSMB10/UBE2S/ANAPC2/FZR1	16
R-HSA-169911	Regulation of Apoptosis	11/877	53/10899	0.002845114	0.023541911	0.019921247	PSMC5/PSME2/PSMA4/PSMD13/RPS27A/PSMD4/PSMB6/PSMB8/PSMB3/UBA52/PSMB10	11
R-HSA-1234174	Cellular response to hypoxia	12/877	75/10899	0.015992676	0.099918205	0.084551131	PSMC5/PSME2/PSMA4/PSMD13/RPS27A/PSMD4/PSMB6/PSMB8/PSMB3/UBA52/PSMB10/ELOB	12
