ID,log2FC
R3HCC1,-2.23360426
HBB,-2.575190283
S100A9,-2.979604404
FILIP1L,4.424198053
HBD,-1.962403425
AQP2,2.659731386
ELANE,-3.421783045
RHOV,-4.163441929
CALB1,2.128073816
PIR,-1.462777617
AZU1,-2.857094448
BCAM,-3.567481805
SCG3,4.748574064
STUB1,-1.518244683
CDC34,-1.685884987
CDKN2D,-1.668658528
EPAS1,2.476023981
P4HA1,2.388018714
ADI1,-1.340898251
DRAP1,-1.948118857
ANP32B,-1.59598348
GFUS,-1.399585492
FAM120A,1.993664787
HAGH,-1.252871044
AGPAT4,-2.115838109
LRRFIP1,1.893687403
SELENBP1,-1.423985759
MT-RNR1,-1.534855525
MPO,-1.837916787
OSBPL6,1.38008386
ISG20,-1.808236777
ACSL4,2.258602496
RABEP1,1.57115667
BMP2K,1.830427517
ARHGEF6,2.073993945
PRAM1,-2.742614761
S100A8,-3.054290453
ARL13B,2.391708513
SCD,1.72480895
HBZ,1.99415555
TLK1,1.358595265
CALU,1.932629035
FBN1,2.102415252
HIF1A,2.592819911
LINC02772,-1.941622933
HBBP1,-1.183858869
DHX15,1.785561559
EBNA1BP2,-1.423661084
CARD16,-1.987203622
DDX3Y,2.457942628
HBA2,-2.370663336
LPO,-2.408442998
TUBB1,2.415727507
NENF,-2.111287775
ANAPC15,-1.931191197
PODXL,1.427696071
JDP2,-1.681284516
NDUFAB1,-1.648092456
COIL,2.093868368
PSTPIP1,-2.368270809
XPO1,1.532469827
RETN,-4.388936681
CRIM1,2.499733585
SSBP1,-1.001869613
IFTAP,-1.240219361
KIT,3.000058307
TESC,-1.394694952
DHTKD1,1.445002305
IFT27,-1.682450253
LGALS9,-1.442249002
BAD,-1.353018151
SMARCAD1,2.419334093
CARS1,-0.98881183
FOSB,-3.933275668
NUS1,1.577177821
HMGB3P16,-3.141826804
PLAC8,-2.089180857
ZDHHC11,-1.784055905
CAPRIN1,1.929567819
CCDC82,1.835220738
GCC2,1.78172731
BNIP3,2.716994636
SQOR,-2.276037513
SLIRP,-1.214054829
NOC2L,-1.782320682
GOLIM4,1.381237791
IQGAP1,1.654017342
PRKAR1A,1.64355796
JAZF1,-1.452707791
LST1,-1.783034966
SMC6,2.135735742
GMFG,-1.453743496
CAP1,2.546184058
PPP1R14B,-1.076639476
DAPK1,1.330462139
GALC,1.691698622
ASPH,2.061351863
SNRPF,-1.243908998
BAZ2B,1.926647321
GMFB,2.960729204
USE1,-1.309401448
ODAD4,-1.546752012
NOC2LP1,-1.580668798
PPP4R3B,1.67313499
RANBP1,-1.163681685
LINC01215,2.49840579
PSMC5,-1.007649699
NARS1,2.142394511
EVA1C,-2.473471274
FRYL,1.663102755
TMEM245,1.642658561
PQBP1,-1.438397633
DEK,1.922767453
METTL26,-1.905648102
BUB1B,1.95660743
PTPN11,1.579915456
ABCC4,1.823433519
DNM1L,1.316480157
CNN1,2.605980388
EI24,1.241065579
ALS2,1.614211699
HYAL3,-1.859180258
MCL1,0.955721029
ANLN,2.668022255
DBT,1.800830435
H2AC16,-3.141229716
SQSTM1,0.722199172
SLC25A38,-1.437297068
CD46,1.775732921
CENPX,-0.939260592
EWSR1,-0.797069524
UHMK1,2.158134174
UBE2Q2,2.084602286
DDX21,1.498202686
ELF1,2.369279454
ADAM17,1.945317266
KLC3,-5.309481892
STAU1,1.115641112
NSRP1,1.215383871
PIN4,-1.309583224
CLINT1,2.110757344
STAM,2.439305892
NCBP2AS2,-1.564318726
GNPTAB,1.202951337
FBXO11,2.081785019
IPO7,1.743405742
MAPK6,2.454761332
JUNB,-0.974581741
HK2,1.567005595
H2AX,-1.118715035
NECTIN1,-1.769850857
TRIP12,1.453277989
TXLNG,1.58122066
TMEM135,2.27595598
SPARC,-1.911326686
NCKAP1,2.103127187
RINT1,2.444592119
BCAT1,1.210931634
INTS2,2.240637254
CSF3R,-2.029473985
SEC23A,2.434640205
HRAT92,-3.064068591
DHRS4,-1.058761178
ERBIN,2.340013251
TBC1D4,2.01533451
ENTPD4,1.545518795
PNRC2,1.794402261
TTYH2,2.084104831
DICER1,1.84130578
PCYOX1,1.861355813
CMYA5,1.950584771
CORO1A,-1.922678698
RLF,1.858603558
H2AC14,-3.340482186
DOCK9,1.479465287
NRDC,0.848786197
BAG4,2.222047662
TUT7,1.375165018
SLK,1.732931102
TOP1,1.540456395
RNF6,2.139261015
SCNM1,-1.195157803
REV3L,2.153828991
MSL1,1.326876022
SNRNP25,-1.122792859
TRAPPC8,2.292970406
C19orf18,-2.805623468
PAXBP1,1.81965059
ROCK1,2.225198375
NDUFAF8,-1.56397098
MFSD14A,2.674164929
WASHC2A,1.015122859
ZNF711,2.527801652
PMAIP1,1.796069537
PARVG,-1.55286501
G0S2,-1.056420918
ADIPOR1,1.093370861
CLTA,-1.033083642
WDR4,-1.559647259
ZMYM4,1.299837922
PSMG4,-1.308482181
PRKAB1,1.033949529
CENPM,-1.17836496
PSME2,-1.215184738
RMI1,3.538331682
SLC2A4,-1.933169202
PRXL2A,1.403420071
MXI1,1.32908063
SPR,-1.413844858
MT-ND4L,1.044609839
DNAJC13,1.523562873
CARD11,-1.848042947
RILP,-1.284655321
DESI2,2.283005761
APOL3,-1.220707285
L3MBTL3,1.649371058
LACC1,2.05209959
DTYMK,-1.203975129
RPL26L1,-1.04036018
MYB,1.601172613
SFMBT2,-1.906989063
BRCA1,1.272363972
