ONTOLOGY,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
CC,GO:0022626,cytosolic ribosome,101,0.64564605,3.020786172,1.00E-10,2.20E-08,1.91E-08,2981,"tags=71%, list=18%, signal=59%",3040/51121/6230/3039/6224/6193/6166/6206/6217/6234/6161/9349/2197/6143/6134/6231/6210/6232/6164/6233/6188/11224/6176/6202/6192/4736/9636/6142/6229/6144/6189/7311/6158/6175/6203/3921/6132/440275/54505/6181/6209/6160/6137/6125/6135/25873/6169/6170/6157/6223/6227/6141/6122/285855/6124/10399/6205/6128/6152/6191/6168/6194/6133/6136/6159/23521/6208/220717/6207/6154/6138/6222
BP,GO:0002181,cytoplasmic translation,155,0.526003956,2.65851617,1.00E-10,2.20E-08,1.91E-08,3125,"tags=54%, list=19%, signal=45%",51121/8661/6230/170506/8662/6224/6193/6206/26986/6217/6234/27335/6161/9349/2197/6143/6134/6231/6210/6232/9147/7458/6164/6233/6188/11224/6176/6202/4736/6142/6229/6144/6189/7311/6158/6175/6203/2107/1968/3921/6132/54505/6181/6209/6160/6137/6125/6135/25873/6169/6170/8666/6157/6223/6227/6141/6122/6124/10399/6205/6128/6152/6191/2332/6168/8668/6194/6133/6136/8664/5315/6159/23521/6208/1975/220717/4690/8562/6207/6154/6138/6222/1819/6167
MF,GO:0003735,structural constituent of ribosome,163,0.508226563,2.567451482,1.00E-10,2.20E-08,1.91E-08,2569,"tags=51%, list=15%, signal=44%",51121/65993/219927/6230/64960/6224/6193/6166/6206/65003/6217/6234/6150/6161/9349/2197/6143/6134/6231/6210/51073/6232/55133/6164/6233/6188/57129/11224/6176/6202/55052/6192/4736/116541/9636/6142/6229/6144/6189/7311/6158/6175/6203/64975/3921/6132/6181/6209/6160/6137/6125/6135/25873/6169/64432/6170/6157/128308/6223/6227/6141/6122/285855/6124/9553/6205/10573/6128/51264/6152/6191/51258/6168/6194/100216546/6133/6136/122704/6159/23521/6208/64928/220717
CC,GO:0044391,ribosomal subunit,184,0.480523998,2.456507338,1.00E-10,2.20E-08,1.91E-08,2569,"tags=49%, list=15%, signal=42%",3040/51121/65993/219927/6230/64960/3039/6224/6193/6166/6206/65003/6217/6234/6150/6161/9349/2197/6143/6134/6231/6210/51073/6232/54998/6164/6233/6188/57129/11224/6176/6202/55052/6192/4736/116541/9636/6142/130916/6229/6144/6189/7311/6158/6175/6203/64975/3921/6132/54505/6181/6209/6160/6137/6125/6135/25873/6169/64432/6170/6157/128308/6223/6227/6141/6122/285855/6124/10399/9553/6205/3396/10573/6128/51264/90480/6152/6191/51258/6168/6194/23107/6133/6136/122704/6159/23521/6208/64928/220717
CC,GO:0005840,ribosome,215,0.466732348,2.420993664,1.00E-10,2.20E-08,1.91E-08,2569,"tags=45%, list=15%, signal=39%",3040/51121/65993/219927/821/6230/64960/3039/6224/6193/6166/6206/65003/6217/6234/6150/6161/9349/2197/6143/6134/6231/6210/51073/6232/54998/6164/6233/6188/57129/11224/6176/6202/55052/6192/4736/116541/9636/6142/8939/130916/6229/6144/6189/7311/7536/6158/6175/6203/64975/3921/6132/440275/54505/6181/6209/6160/6137/6125/6135/25873/6169/6730/64432/6170/6157/128308/6223/6227/5610/6141/6122/285855/6124/10399/9553/6205/3396/10573/6128/51264/90480/6152/6191/51258/6168/6194/100216546/23107/6133/6136/122704/6159/23521/6208/64928/220717
BP,GO:0009060,aerobic respiration,167,0.454482112,2.302424933,1.00E-10,2.20E-08,1.91E-08,2845,"tags=41%, list=17%, signal=35%",3091/4706/55526/664/1350/1345/374291/54539/1329/4694/7381/8801/27089/48/4715/9551/514/125965/4707/539/983/4716/1340/1327/8802/4708/84300/3417/23530/4726/388753/400916/4731/1537/205/7386/4713/1737/6834/8803/2647/4722/521/4728/29997/201626/51142/10632/5160/6389/4696/513/4436/9650/2631/4725/4711/4700/29796/4723/65990/1349/4191/11315/4704/4695/1431/51079/440567
BP,GO:0045333,cellular respiration,205,0.419160781,2.16708974,1.00E-10,2.20E-08,1.91E-08,2858,"tags=38%, list=17%, signal=32%",3091/4706/55526/664/1350/1345/374291/54539/1329/4694/7381/90624/8801/27089/48/4715/9551/514/10165/125965/4707/539/983/4716/1340/23369/1327/8802/4708/84300/3417/23530/4726/388753/400916/4731/1537/205/7386/4713/1737/6834/8803/2647/4722/521/4728/29997/201626/51142/10632/5160/6389/4696/513/2109/4436/9650/2631/4725/4711/4700/29796/205251/4723/65990/1349/4191/11315/2820/84883/4704/4695/1431/51079/440567/27166
CC,GO:1990904,ribonucleoprotein complex,696,0.361253944,2.144001257,1.00E-10,2.20E-08,1.91E-08,3695,"tags=41%, list=22%, signal=33%",1665/10969/3040/7514/81892/26155/8826/6636/6780/84081/23405/79622/51121/672/51690/8661/65993/219927/6230/64960/149986/3039/10250/57461/192670/6632/8662/22913/26065/10209/6224/6193/84549/10146/8899/6166/6206/6029/65003/26986/9128/6217/6234/6150/55692/27335/6161/9349/2197/10465/23658/51729/9092/6143/54913/10856/6134/6231/1977/26993/6210/161424/51073/6232/3188/5317/51322/96764/60625/6627/10907/84292/1859/10189/7153/9908/54998/6164/6233/6188/57129/1656/27042/51645/11224/284454/4809/10728/6176/10885/6202/55052/6192/4736/116541/9636/56949/6142/55272/27341/8939/130916/6229/10992/6144/10011/10565/2091/6189/10528/7311/7536/6158/6175/6203/64975/811/3921/10128/23517/6132/440275/54505/6181/6209/6633/6160/6137/6738/23481/6625/6125/11066/57819/11338/92856/8458/55505/6135/3958/25873/55192/6169/6730/64432/6170/143884/8666/6157/5591/128308/6223/23512/8487/10285/6227/389677/55127/6635/6141/6122/55234/55596/285855/6628/6124/55660/10659/10399/9553/26121/8575/6205/5411/27339/79753/83443/3396/10573/378707/6128/51264/90480/54680/26523/6152/6191/2332/51077/51258/6168/3303/65057/8668/6194/79706/79882/23107/6133/10137/6136/8664/55364/90441/29896/3185/122704/6731/55702/54433/8568/85395/6159/23521/6208/64928/23210/26019/220717/10445/4928/92906/5511/25983/90459/8539/51747/6207/10236/81887/3190/6154/3187/153443/5036/6138/9790/6222/200316/23451/494115/9277/51574/6936/9343/100128537/6167/51362/23185/106660606/27316/2926/6626/87178/64979/8780/55015/10940/79171/10081/8233/4691/51367/22827/8602/5093/678/1655/64506/8761/55131/117246/10291/23398/84545/3192/9716/3608/51096/28987/81576/51154/421/988/6147/57532
BP,GO:0022613,ribonucleoprotein complex biogenesis,449,0.372482348,2.126239289,1.00E-10,2.20E-08,1.91E-08,3411,"tags=38%, list=20%, signal=31%",3669/10969/8161/7514/26155/6636/9188/5303/23405/51121/8661/6230/6733/57461/192670/11137/6632/8662/57418/6193/1654/22894/84549/6217/6234/55692/27335/2971/79577/51575/51729/9092/54913/10856/6134/6839/161424/6232/96764/6627/3320/10907/7458/56915/11168/54955/27042/11224/4809/10728/121053/10885/27292/6202/55052/4736/54984/56949/55272/23160/27341/79033/130916/6229/10992/9169/2091/10528/7536/115939/6175/1968/3921/81875/22803/23517/51504/54505/131870/6209/6633/23481/6125/57819/92856/79039/8451/51335/29997/6732/55505/6135/8886/23064/6169/55695/55341/8666/5591/6223/8487/91746/6227/55127/6635/285855/6628/10659/26121/54606/27339/79753/83443/54700/6059/6128/54680/26523/25929/112479/6152/51077/8668/6194/8450/8664/51068/90441/55702/54433/8568/85395/23521/6208/11056/79863/10419/1975/220717/25983/27043/54512/90459/23223/51747/10772/8562/81887/6154/23016/3326/153443/11340/5036/9790/55164/23451/9277/6936/545/54059/79707/27316/55153/64979/8780/10360/55015/196074/8233/51367/22827
CC,GO:0016607,nuclear speck,382,0.373730717,2.068344522,1.00E-10,2.20E-08,1.91E-08,3535,"tags=38%, list=21%, signal=31%",997/2034/55589/3091/1665/79677/57223/10084/127933/84081/3014/9320/55914/202333/79005/339287/57713/79228/84164/84248/10250/10051/170506/6733/6651/25831/23137/25957/25898/728340/51319/8899/9128/7764/2122/10465/4707/23360/9092/6835/55671/26993/9425/51322/6627/26959/1859/10189/64077/10210/10915/50809/6938/10992/3835/51371/5501/55086/4841/5073/9295/92609/23517/51008/6625/8930/11338/5930/204851/6732/64318/55105/93663/4929/9646/10285/91746/10973/219988/8241/55234/4000/64332/55660/143684/26121/5411/27339/25936/9589/9907/28999/55644/9967/80764/55904/266629/55898/8444/3303/468/55604/49855/79882/6015/6429/79872/23464/57187/5511/23067/64783/10933/9321/8525/10212/8539/51747/10772/9584/10135/64326/9774/1408/54540/23451/9343/580/55421/51362/64852/11325/83932/1452/2869/7994/23091/8446/10482/54892/54942/55893/5093/1655/8204/5566/665
