"Gene","ENTREZID"
"R3HCC1","203069"
"HBB","3043"
"S100A9","6280"
"FILIP1L","11259"
"HBD","3045"
"HBD","100187828"
"AQP2","359"
"ELANE","1991"
"RHOV","171177"
"CALB1","793"
"PIR","8544"
"AZU1","566"
"BCAM","4059"
"SCG3","29106"
"STUB1","10273"
"CDC34","997"
"CDKN2D","1032"
"EPAS1","2034"
"P4HA1","5033"
"ADI1","55256"
"DRAP1","10589"
"ANP32B","10541"
"GFUS","7264"
"FAM120A","23196"
"HAGH","3029"
"AGPAT4","56895"
"LRRFIP1","9208"
"SELENBP1","8991"
"MT-RNR1",NA
"MPO","4353"
"OSBPL6","114880"
"ISG20","3669"
"ACSL4","2182"
"RABEP1","9135"
"BMP2K","55589"
"ARHGEF6","9459"
"PRAM1","84106"
"S100A8","6279"
"ARL13B","200894"
"SCD","6319"
"HBZ","3050"
"TLK1","9874"
"CALU","813"
"FBN1","2200"
"HIF1A","3091"
"LINC02772","105371455"
"HBBP1","3044"
"DHX15","1665"
"EBNA1BP2","10969"
"CARD16","114769"
"DDX3Y","8653"
"HBA2","3040"
"LPO","4025"
"TUBB1","81027"
"NENF","29937"
"ANAPC15","25906"
"PODXL","5420"
"JDP2","122953"
"NDUFAB1","4706"
"COIL","8161"
"PSTPIP1","9051"
"XPO1","7514"
"RETN","56729"
"CRIM1","51232"
"SSBP1","6742"
"IFTAP","119710"
"KIT","3815"
"TESC","54997"
"DHTKD1","55526"
"IFT27","11020"
"LGALS9","3965"
"BAD","572"
"SMARCAD1","56916"
"CARS1","833"
"FOSB","2354"
"NUS1","116150"
"HMGB3P16","100873900"
"PLAC8","51316"
"ZDHHC11","79844"
"CAPRIN1","4076"
"CCDC82","79780"
"GCC2","9648"
"BNIP3","664"
"SQOR","58472"
"SLIRP","81892"
"NOC2L","26155"
"GOLIM4","27333"
"IQGAP1","8826"
"PRKAR1A","5573"
"JAZF1","221895"
"LST1","7940"
"SMC6","79677"
"GMFG","9535"
"CAP1","10487"
"PPP1R14B","26472"
"DAPK1","1612"
"GALC","2581"
"ASPH","444"
"SNRPF","6636"
"BAZ2B","29994"
"GMFB","2764"
"USE1","55850"
"ODAD4","83538"
"NOC2LP1","643276"
"PPP4R3B","57223"
"RANBP1","5902"
"LINC01215","101929623"
"PSMC5","5705"
"NARS1","4677"
"EVA1C","59271"
"FRYL","285527"
"TMEM245","23731"
"PQBP1","10084"
"DEK","7913"
"METTL26","84326"
"BUB1B","701"
"PTPN11","5781"
"ABCC4","10257"
"DNM1L","10059"
"CNN1","1264"
"EI24","9538"
"ALS2","57679"
"HYAL3","8372"
"MCL1","4170"
"ANLN","54443"
