id,GSM1618288,GSM1618289,GSM1618290,GSM1618291,GSM1618292,GSM1618293,GSM1618294,GSM1618295,GSM1618296,GSM1618297
Type,0,0,0,7,7,7,8,8,14,14
TMEM233,6.180274,6.102233,6.199427,6.178614,6.262713,6.354763,6.499639,6.345181,11.26275,11.21593
TRIM10,5.544127,5.55078,5.441899,5.691285,5.733929,5.573546,6.384906,6.292265,10.663097,10.915916
WNK3,5.344928,5.557494,5.396338,9.703742,9.396083,9.657656,9.329801,9.536873,4.706232,4.645711
LYN,11.25495,11.29047,11.36499,10.94344,10.80375,10.99069,10.52829,10.5182,6.719303,6.930315
SOX6,4.916771,4.850336,4.906314,5.155148,5.187078,5.114891,5.688731,5.610706,9.209417,9.550061
ART4,3.792663,3.893589,3.870675,4.090749,4.440863,4.285352,5.72372,5.901425,9.974365,10.21399
ERO1L,9.713326,9.684852,9.705616,9.854978,9.82047,9.9784,9.315647,9.226174,4.906087,5.317323
CDK6,11.4868,11.5642,11.60669,10.8628,10.89931,10.97518,10.56438,10.42595,7.733245,7.701929
FAM35A,8.03862,8.202686,8.354424,9.436357,9.544283,9.549785,9.401022,9.173886,5.643009,5.464059
MYB,11.26304,11.26477,11.35232,11.24707,11.03535,11.27869,10.78695,10.96512,7.669333,7.582248
ULBP1,5.570079,5.533175,5.540203,5.82786,5.749498,5.825157,6.33604,6.09335,9.072071,9.215269
TMEM123,10.99366,10.97913,11.0676,10.22266,10.11383,10.19043,9.844329,9.703877,7.19991,7.21478
PUS7,7.565754,7.682542,7.738996,9.303078,9.264436,9.244944,9.231449,9.104887,6.118711,5.823718
NDRG3,9.345688,9.397732,9.400154,9.843615,10.00541,9.923091,9.734325,9.712185,6.913026,7.103539
CERS6,10.07286,10.09566,10.11464,9.692716,9.74908,9.7743,9.567998,9.502697,6.974195,7.123652
RYK,9.747648,9.73982,9.80843,10.49495,10.58061,10.54729,10.45486,10.41695,8.101388,8.011265
TOM1L1,5.224795,5.540835,5.355413,9.063047,8.908589,8.993359,9.053223,8.983513,5.993217,6.059065
PDSS1,7.764413,7.809642,7.766391,9.354777,9.227694,9.337185,9.07776,9.21413,6.705234,6.777073
SLC14A1,6.653818,6.50519,6.34976,6.717713,6.212049,6.720178,6.140929,6.233432,10.55453,10.47446
ANO6,9.204742,9.032422,9.057141,8.893368,8.907031,8.877863,8.658869,8.504326,6.144206,6.11834
NARS2,9.257843,9.423491,9.439795,9.337935,9.408951,9.352679,9.400867,9.23228,6.796724,6.70177
UBE2H,8.567069,8.595986,8.632434,7.48486,7.380081,7.335258,7.496393,7.589458,10.39668,10.76817
FZD3,6.372284,6.468091,6.456049,9.000374,8.951689,9.151361,8.523525,8.729648,5.733506,5.915311
RIOK3,8.960972,9.089472,9.097169,8.846565,8.744963,8.666043,9.105227,9.140876,11.53157,11.6564
IFIT1B,4.123921,3.821739,3.783526,3.670744,3.416171,3.757196,3.908367,3.368367,8.230913,8.471687
MINA,7.243955,7.3448,7.467144,8.184744,8.210855,8.264872,8.107783,7.999969,5.633626,5.642612
PLSCR4,7.457762,7.630383,7.598052,6.196503,6.118728,6.097589,6.607274,6.542599,9.058863,8.916759
SEC23A,8.87046,9.097734,9.006492,8.984017,8.955427,8.820019,8.408769,8.147845,5.431621,5.470922
POLR1B,8.336689,8.379907,8.438692,9.120274,8.955351,9.069568,8.940979,8.836132,6.642876,6.629934
