Gene	hs_proerythroblast_1	hs_proerythroblast_2	hs_proerythroblast_3	hs_early_basophilic_1	hs_early_basophilic_2	hs_early_basophilic_3	hs_late_basophilic_1	hs_late_basophilic_2	hs_late_basophilic_3	hs_polychromatic_1	hs_polychromatic_2	hs_polychromatic_3	hs_orthochromatic_1	hs_orthochromatic_2	hs_orthochromatic_3
A1BG	19	0	5	9	0	1	6	0	0	6	0	3	3	0	0
A1BG-AS1	19	1	1	3	0	0	0	2	0	0	0	0	0	1	1
A1CF	6	0	0	1	0	0	0	0	0	1	0	0	0	0	0
A2LD1	334	72	50	561	77	47	628	154	78	213	30	33	23	1	2
A2M	0	2	0	25	4	4	78	10	1	40	0	3	76	1	0
A2ML1	133	9	30	122	12	27	154	27	19	94	17	6	86	7	14
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	9947	3591	2549	12315	4670	3068	5860	4279	2292	158	961	448	18	99	137
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	19962	1906	2942	24326	2704	3473	19426	3098	3118	7556	1040	1267	1961	327	445
AACS	11849	1614	1504	10483	1567	1537	6636	1308	1062	15018	1420	1668	4723	308	403
AACSP1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AADAC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	219	28	47	219	27	37	121	25	41	25	9	3	2	2	0
AAGAB	10983	1467	1783	12642	1794	1930	8872	1793	1750	4547	972	1014	2135	410	593
AAK1	3956	477	473	4106	616	488	4772	809	575	17215	4281	4041	21192	3233	3980
AAMP	15304	1468	2371	13430	1498	2130	9410	1444	1572	9556	1303	1762	10115	831	1200
AANAT	1	0	2	2	0	0	0	0	0	0	0	1	2	0	0
AARS	54066	7658	9492	119055	13303	13041	181934	20312	19907	138565	11985	17675	70309	2700	3558
AARS2	8323	900	1506	8884	1217	1499	6196	1334	1254	1569	224	275	130	33	29
AARSD1	6656	1025	1434	7300	1020	1446	3899	808	894	381	87	81	159	20	21
AASDH	3263	366	764	3767	501	778	3102	534	773	1415	233	327	303	62	82
AASDHPPT	14056	2876	3171	14528	2870	2858	7666	2283	2168	2964	597	664	748	183	199
AASS	382	72	129	354	105	173	289	123	162	539	125	229	197	31	43
AATF	15363	1779	2675	17361	2002	2595	12670	1986	2202	7209	913	1039	2171	193	210
AATK	0	0	1	2	0	0	3	0	1	4	0	0	4	0	0
AATK-AS1	0	0	0	2	0	1	2	1	0	0	0	0	0	0	0
ABAT	727	97	154	1038	115	136	1254	218	215	2259	389	366	943	155	230
ABCA1	8	2	0	39	1	1	73	11	11	48	9	8	8	3	3
ABCA10	16	1	8	21	4	11	10	6	4	6	2	7	7	1	0
ABCA11P	695	88	112	688	122	111	523	105	86	206	30	25	19	4	4
ABCA12	0	0	1	0	3	1	1	1	2	6	1	1	4	2	1
ABCA13	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
ABCA17P	8	0	0	11	1	0	15	5	2	5	4	5	2	1	2
ABCA2	1502	109	237	1024	109	204	314	41	44	4	1	1	2	0	2
ABCA3	107	12	15	95	11	4	66	10	8	11	1	2	3	1	1
ABCA4	40	2	11	65	6	13	70	10	9	21	2	3	1	0	0
ABCA5	1066	248	275	1585	333	394	1342	464	416	407	229	179	80	40	34
ABCA6	0	0	2	1	0	0	0	0	0	9	1	1	13	0	5
ABCA7	40731	3886	7196	56562	6703	9343	63060	9343	10079	37768	5784	6817	15741	1998	3019
ABCA8	0	0	0	0	0	0	0	0	0	2	3	5	64	7	8
ABCA9	0	0	0	0	0	0	4	0	0	0	2	1	11	0	3
ABCB1	29	1	1	68	6	11	56	10	5	45	10	24	88	59	81
ABCB10	59629	12944	12290	103806	18951	16595	131444	27101	26325	77106	18080	17523	15456	4734	6131
ABCB11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	5038	529	637	7107	533	831	5775	392	790	823	22	53	67	7	2
ABCB5	10	0	6	89	5	7	387	42	52	359	184	173	30	21	28
ABCB6	12389	1043	2261	24999	2058	3550	41963	4115	5950	80271	10932	20113	82978	14605	21172
ABCB7	9134	1702	1887	11796	2140	2042	12205	2523	2164	7768	1589	1517	1936	444	661
ABCB8	11719	970	1495	13259	1251	1738	9833	1445	1509	2975	465	579	666	93	125
ABCB9	10420	715	1300	9131	803	1238	3532	400	587	264	37	66	436	53	79
ABCC1	12021	690	1955	8935	625	1320	4072	316	602	595	46	71	1439	29	49
ABCC10	5248	547	991	4294	651	895	2711	550	522	365	64	52	159	17	20
ABCC11	0	1	2	4	0	2	2	0	1	40	3	6	35	1	2
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	8	0	0	175	0	0	970	10	7	5503	547	598	2639	404	599
ABCC2	87	8	25	47	8	21	11	5	12	21	5	6	33	8	9
ABCC3	0	0	0	1	3	1	6	0	1	20	2	3	62	10	6
ABCC4	19561	2271	3158	19162	2603	2688	18870	2504	2437	71887	11221	15643	28170	3978	5035
ABCC5	40064	5083	7956	54615	7529	9694	45302	9091	9661	12283	3002	3419	4687	1028	1404
ABCC6	32	0	4	15	2	5	6	1	3	1	0	0	8	0	0
ABCC6P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1	1513	52	226	1147	74	162	788	46	109	139	10	11	371	9	20
